Time,Miami,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:13.0, ,70-63,J. Smith makes free throw 1 of 2,,3,70,63,7,1667.0
8:13.0, ,70-64,J. Smith makes free throw 2 of 2,,3,70,64,6,1667.0
8:01.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),73-64, ,,3,73,64,9,1679.0
7:45.0, ,73-64,Shooting foul by D. Robinson (drawn by D. Brooks),,3,73,64,9,1695.0
7:45.0, ,73-65,D. Brooks makes free throw 1 of 2,,3,73,65,8,1695.0
7:45.0, ,73-66,D. Brooks makes free throw 2 of 2,,3,73,66,7,1695.0
7:35.0,J. Butler makes 3-pt jump shot from 23 ft (assist by N. Jović),76-66, ,,3,76,66,10,1705.0
7:17.0, ,76-66,J. Green misses 2-pt layup from 5 ft (block by N. Jović),,3,76,66,10,1723.0
7:17.0,Defensive rebound by Team,76-66, ,,3,76,66,10,1723.0
6:59.0,J. Butler misses 3-pt jump shot from 26 ft,76-66, ,,3,76,66,10,1741.0
6:57.0, ,76-66,Defensive rebound by F. VanVleet,,3,76,66,10,1743.0
6:48.0, ,76-66,F. VanVleet misses 2-pt jump shot from 14 ft,,3,76,66,10,1752.0
6:48.0,Defensive rebound by J. Butler,76-66, ,,3,76,66,10,1752.0
6:37.0,Def 3 sec tech foul by Team,76-66, ,,3,76,66,10,1763.0
6:37.0,J. Butler makes technical free throw,77-66, ,,3,77,66,11,1763.0
6:37.0, ,77-66,Houston full timeout,,3,77,66,11,1763.0
6:37.0, ,77-66,J. Landale enters the game for J. Green,,3,77,66,11,1763.0
6:28.0,N. Jović misses 3-pt jump shot from 24 ft,77-66, ,,3,77,66,11,1772.0
6:27.0, ,77-66,Defensive rebound by J. Smith,,3,77,66,11,1773.0
6:09.0, ,77-69,F. VanVleet makes 3-pt jump shot from 24 ft (assist by J. Landale),,3,77,69,8,1791.0
5:51.0,N. Jović makes 3-pt jump shot from 23 ft (assist by T. Rozier),80-69, ,,3,80,69,11,1809.0
5:32.0, ,80-69,J. Green misses 2-pt jump shot from 13 ft,,3,80,69,11,1828.0
5:31.0,Defensive rebound by N. Jović,80-69, ,,3,80,69,11,1829.0
5:18.0,D. Robinson misses 3-pt jump shot from 26 ft,80-69, ,,3,80,69,11,1842.0
5:17.0, ,80-69,Defensive rebound by D. Brooks,,3,80,69,11,1843.0
5:07.0, ,80-71,J. Green makes 2-pt dunk from 3 ft (assist by D. Brooks),,3,80,71,9,1853.0
4:56.0,N. Jović makes 3-pt jump shot from 26 ft (assist by J. Butler),83-71, ,,3,83,71,12,1864.0
4:40.0, ,83-71,Shooting foul by D. Robinson (drawn by D. Brooks),,3,83,71,12,1880.0
4:40.0, ,83-72,D. Brooks makes free throw 1 of 2,,3,83,72,11,1880.0
4:40.0,K. Love enters the game for B. Adebayo,83-72, ,,3,83,72,11,1880.0
4:40.0,C. Martin enters the game for N. Jović,83-72, ,,3,83,72,11,1880.0
4:40.0, ,83-72,C. Whitmore enters the game for J. Green,,3,83,72,11,1880.0
4:40.0, ,83-73,D. Brooks makes free throw 2 of 2,,3,83,73,10,1880.0
4:23.0,T. Rozier misses 2-pt jump shot from 8 ft,83-73, ,,3,83,73,10,1897.0
4:20.0, ,83-73,Defensive rebound by F. VanVleet,,3,83,73,10,1900.0
4:14.0, ,83-76,F. VanVleet makes 3-pt jump shot from 26 ft,,3,83,76,7,1906.0
3:58.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by J. Butler),86-76, ,,3,86,76,10,1922.0
3:45.0, ,86-76,F. VanVleet misses 2-pt jump shot from 4 ft,,3,86,76,10,1935.0
3:43.0,Defensive rebound by T. Rozier,86-76, ,,3,86,76,10,1937.0
3:29.0,J. Butler misses 3-pt jump shot from 22 ft,86-76, ,,3,86,76,10,1951.0
3:28.0, ,86-76,Defensive rebound by J. Landale,,3,86,76,10,1952.0
3:22.0, ,86-76,D. Brooks misses 3-pt jump shot from 26 ft,,3,86,76,10,1958.0
3:22.0, ,86-76,Offensive rebound by C. Whitmore,,3,86,76,10,1958.0
3:22.0, ,86-76,C. Whitmore misses 2-pt dunk at rim,,3,86,76,10,1958.0
3:21.0,Defensive rebound by J. Butler,86-76, ,,3,86,76,10,1959.0
