Time,Charlotte,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:06.0,Personal foul by K. Love (drawn by I. Smith),57-78, ,,3,78,57,21,1854.0
5:06.0, ,57-78,J. Cain enters the game for D. Robinson,,3,78,57,21,1854.0
4:57.0,I. Smith makes 2-pt jump shot from 8 ft,59-78, ,,3,78,59,19,1863.0
4:35.0, ,59-78,J. Cain misses 3-pt jump shot from 23 ft,,3,78,59,19,1885.0
4:32.0,Defensive rebound by N. Richards,59-78, ,,3,78,59,19,1888.0
4:24.0,B. McGowens makes 3-pt jump shot from 23 ft (assist by G. Hayward),62-78, ,,3,78,62,16,1896.0
4:08.0, ,62-78,K. Love misses 2-pt hook shot from 3 ft (block by N. Richards),,3,78,62,16,1912.0
4:06.0,Defensive rebound by N. Richards,62-78, ,,3,78,62,16,1914.0
4:03.0,G. Hayward makes 2-pt dunk at rim (assist by I. Smith),64-78, ,,3,78,64,14,1917.0
4:03.0, ,64-78,Miami full timeout,,3,78,64,14,1917.0
4:03.0,M. Bridges enters the game for G. Hayward,64-78, ,,3,78,64,14,1917.0
4:03.0,J. Thor enters the game for N. Richards,64-78, ,,3,78,64,14,1917.0
3:45.0, ,64-78,K. Love misses 3-pt jump shot from 26 ft,,3,78,64,14,1935.0
3:42.0,Defensive rebound by J. Thor,64-78, ,,3,78,64,14,1938.0
3:25.0,B. Miller makes 2-pt jump shot from 15 ft (assist by M. Bridges),66-78, ,,3,78,66,12,1955.0
3:07.0, ,66-78,Shooting foul by I. Smith (drawn by J. Butler),,3,78,66,12,1973.0
3:07.0, ,66-79,J. Butler makes free throw 1 of 2,,3,79,66,13,1973.0
3:07.0,T. Rozier enters the game for B. Miller,66-79, ,,3,79,66,13,1973.0
