Time,Houston,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:58.0, ,46-54,J. Richardson makes 3-pt jump shot from 25 ft (assist by T. Herro),,2,54,46,8,1202.0
3:36.0,J. Tate makes 3-pt jump shot from 23 ft (assist by J. Green),49-54, ,,2,54,49,5,1224.0
3:14.0, ,49-54,Shooting foul by A. Sengun (drawn by K. Love),,2,54,49,5,1246.0
3:14.0, ,49-55,K. Love makes free throw 1 of 2,,2,55,49,6,1246.0
3:14.0,J. Green enters the game for A. Sengun,49-55, ,,2,55,49,6,1246.0
3:14.0, ,49-55,J. Jaquez enters the game for J. Richardson,,2,55,49,6,1246.0
3:14.0, ,49-56,K. Love makes free throw 2 of 2,,2,56,49,7,1246.0
3:00.0,J. Smith misses 2-pt jump shot from 15 ft,49-56, ,,2,56,49,7,1260.0
2:57.0, ,49-56,Defensive rebound by H. Highsmith,,2,56,49,7,1263.0
2:40.0, ,49-56,Shooting foul by J. Green (drawn by K. Lowry),,2,56,49,7,1280.0
2:40.0,Houston full timeout,49-56, ,,2,56,49,7,1280.0
2:40.0,C. Whitmore enters the game for J. Green,49-56, ,,2,56,49,7,1280.0
2:40.0, ,49-56,K. Lowry misses free throw 1 of 2,,2,56,49,7,1280.0
2:40.0, ,49-56,Offensive rebound by Team,,2,56,49,7,1280.0
2:40.0, ,49-57,K. Lowry makes free throw 2 of 2,,2,57,49,8,1280.0
2:27.0,J. Green misses 2-pt jump shot from 16 ft,49-57, ,,2,57,49,8,1293.0
2:24.0, ,49-57,Defensive rebound by K. Love,,2,57,49,8,1296.0
2:21.0, ,49-57,T. Herro misses 2-pt layup from 6 ft (block by F. VanVleet),,2,57,49,8,1299.0
2:21.0,Defensive rebound by Team,49-57, ,,2,57,49,8,1299.0
2:06.0,J. Tate misses 3-pt jump shot from 24 ft,49-57, ,,2,57,49,8,1314.0
2:02.0,Offensive rebound by C. Whitmore,49-57, ,,2,57,49,8,1318.0
2:00.0,C. Whitmore makes 2-pt layup from 5 ft,51-57, ,,2,57,51,6,1320.0
1:45.0, ,51-59,T. Herro makes 2-pt jump shot from 9 ft,,2,59,51,8,1335.0
1:27.0,J. Smith makes 2-pt jump shot from 19 ft (assist by F. VanVleet),53-59, ,,2,59,53,6,1353.0
1:16.0, ,53-59,J. Jaquez misses 2-pt layup from 5 ft,,2,59,53,6,1364.0
1:16.0, ,53-59,Offensive rebound by K. Love,,2,59,53,6,1364.0
1:13.0, ,53-59,Turnover by K. Love (lost ball; steal by C. Whitmore),,2,59,53,6,1367.0
1:10.0,Offensive foul by J. Green (drawn by K. Lowry),53-59, ,,2,59,53,6,1370.0
1:10.0,Turnover by J. Green (offensive foul),53-59, ,,2,59,53,6,1370.0
1:10.0,A. Holiday enters the game for J. Green,53-59, ,,2,59,53,6,1370.0
1:10.0, ,53-59,N. Jović enters the game for K. Love,,2,59,53,6,1370.0
0:55.0, ,53-59,Personal foul by A. Holiday (drawn by N. Jović),,2,59,53,6,1385.0
0:55.0, ,53-59,N. Jović misses free throw 1 of 2,,2,59,53,6,1385.0
0:55.0, ,53-59,Offensive rebound by Team,,2,59,53,6,1385.0
0:55.0, ,53-59,N. Jović misses free throw 2 of 2,,2,59,53,6,1385.0
0:53.0,Defensive rebound by C. Whitmore,53-59, ,,2,59,53,6,1387.0
0:31.0,A. Holiday makes 3-pt jump shot from 25 ft (assist by F. VanVleet),56-59, ,,2,59,56,3,1409.0
0:10.0, ,56-59,T. Herro misses 3-pt jump shot from 27 ft,,2,59,56,3,1430.0
0:08.0,Defensive rebound by J. Smith,56-59, ,,2,59,56,3,1432.0
0:02.0,F. VanVleet misses 2-pt jump shot from 16 ft,56-59, ,,2,59,56,3,1438.0
