Time,Brooklyn,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:57.0,C. Thomas misses 2-pt layup from 4 ft,38-53, ,,2,53,38,15,1263.0
2:56.0,Offensive rebound by Team,38-53, ,,2,53,38,15,1264.0
2:56.0,Brooklyn full timeout,38-53, ,,2,53,38,15,1264.0
2:56.0,D. Sharpe enters the game for B. Simmons,38-53, ,,2,53,38,15,1264.0
2:56.0, ,38-53,T. Herro enters the game for D. Robinson,,2,53,38,15,1264.0
2:52.0,Turnover by C. Thomas (step out of bounds),38-53, ,,2,53,38,15,1268.0
2:33.0, ,38-53,J. Jaquez misses 3-pt jump shot from 26 ft,,2,53,38,15,1287.0
2:29.0,Defensive rebound by D. Sharpe,38-53, ,,2,53,38,15,1291.0
2:24.0,Turnover by L. Walker (lost ball; steal by K. Lowry),38-53, ,,2,53,38,15,1296.0
2:18.0, ,38-53,T. Herro misses 2-pt layup from 3 ft (block by J. Wilson),,2,53,38,15,1302.0
2:18.0, ,38-53,Offensive rebound by Team,,2,53,38,15,1302.0
2:17.0, ,38-53,Turnover by K. Lowry (bad pass),,2,53,38,15,1303.0
1:56.0,Turnover by R. O'Neale (bad pass; steal by B. Adebayo),38-53, ,,2,53,38,15,1324.0
1:51.0, ,38-53,Turnover by B. Adebayo (bad pass; steal by D. Sharpe),,2,53,38,15,1329.0
1:43.0,C. Thomas misses 2-pt layup from 3 ft (block by B. Adebayo),38-53, ,,2,53,38,15,1337.0
1:39.0, ,38-53,Defensive rebound by J. Jaquez,,2,53,38,15,1341.0
1:38.0, ,38-53,Turnover by J. Jaquez (bad pass; steal by L. Walker),,2,53,38,15,1342.0
1:37.0,C. Thomas misses 3-pt jump shot from 23 ft,38-53, ,,2,53,38,15,1343.0
1:36.0,Offensive rebound by D. Sharpe,38-53, ,,2,53,38,15,1344.0
1:35.0,D. Sharpe misses 2-pt layup from 3 ft,38-53, ,,2,53,38,15,1345.0
1:34.0,Offensive rebound by L. Walker,38-53, ,,2,53,38,15,1346.0
1:32.0,Shooting foul by K. Lowry (drawn by L. Walker),38-53, ,,2,53,38,15,1348.0
1:32.0,L. Walker makes free throw 1 of 2,39-53, ,,2,53,39,14,1348.0
1:32.0,A. Brooks enters the game for J. Wilson,39-53, ,,2,53,39,14,1348.0
1:32.0,L. Walker makes free throw 2 of 2,40-53, ,,2,53,40,13,1348.0
1:16.0, ,40-56,T. Herro makes 3-pt jump shot from 27 ft (assist by B. Adebayo),,2,56,40,16,1364.0
0:58.0,A. Brooks makes 3-pt jump shot from 26 ft (assist by C. Thomas),43-56, ,,2,56,43,13,1382.0
0:44.0, ,43-56,J. Butler misses 2-pt layup from 5 ft (block by R. O'Neale),,2,56,43,13,1396.0
0:40.0,Defensive rebound by R. O'Neale,43-56, ,,2,56,43,13,1400.0
0:31.0,R. O'Neale makes 3-pt jump shot from 26 ft,46-56, ,,2,56,46,10,1409.0
0:10.0, ,46-56,J. Jaquez misses 3-pt jump shot from 23 ft,,2,56,46,10,1430.0
0:06.0, ,46-56,Offensive rebound by B. Adebayo,,2,56,46,10,1434.0
0:02.0, ,46-56,B. Adebayo misses 2-pt jump shot from 14 ft,,2,56,46,10,1438.0
0:01.0,Defensive rebound by D. Sharpe,46-56, ,,2,56,46,10,1439.0
0:00.0,C. Thomas misses 3-pt jump shot from 60 ft,46-56, ,,2,56,46,10,1440.0
0:00.0,Offensive rebound by Team,46-56, ,,2,56,46,10,1440.0
