Time,Minnesota,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:21.0,Turnover by T. Brown (bad pass; steal by D. Robinson),28-42, ,,2,42,28,14,879.0
9:10.0, ,28-45,D. Robinson makes 3-pt jump shot from 24 ft (assist by H. Highsmith),,2,45,28,17,890.0
9:09.0,Minnesota full timeout,28-45, ,,2,45,28,17,891.0
9:09.0,M. Conley enters the game for N. Alexander-Walker,28-45, ,,2,45,28,17,891.0
9:09.0,A. Edwards enters the game for K. Anderson,28-45, ,,2,45,28,17,891.0
9:09.0,R. Gobert enters the game for T. Brown,28-45, ,,2,45,28,17,891.0
9:09.0,J. McDaniels enters the game for N. Reid,28-45, ,,2,45,28,17,891.0
9:04.0,Turnover by J. McDaniels (bad pass; steal by H. Highsmith),28-45, ,,2,45,28,17,896.0
8:55.0, ,28-45,Turnover by J. Jaquez (bad pass; steal by K. Towns),,2,45,28,17,905.0
8:50.0,K. Towns makes 2-pt dunk from 1 ft (assist by J. McDaniels),30-45, ,,2,45,30,15,910.0
8:50.0,Shooting foul by J. Richardson (drawn by K. Towns),30-45, ,,2,45,30,15,910.0
8:50.0,K. Towns makes free throw 1 of 1,31-45, ,,2,45,31,14,910.0
8:36.0, ,31-45,Turnover by J. Jaquez (bad pass; steal by R. Gobert),,2,45,31,14,924.0
8:15.0,K. Towns misses 2-pt layup from 3 ft (block by H. Highsmith),31-45, ,,2,45,31,14,945.0
8:15.0,Offensive rebound by K. Towns,31-45, ,,2,45,31,14,945.0
8:15.0,Shooting foul by H. Highsmith (drawn by K. Towns),31-45, ,,2,45,31,14,945.0
8:15.0,K. Towns makes free throw 1 of 2,32-45, ,,2,45,32,13,945.0
8:15.0,K. Towns makes free throw 2 of 2,33-45, ,,2,45,33,12,945.0
8:03.0, ,33-45,Turnover by D. Robinson (bad pass; steal by M. Conley),,2,45,33,12,957.0
7:59.0,J. McDaniels makes 2-pt layup from 2 ft (assist by M. Conley),35-45, ,,2,45,35,10,961.0
7:58.0, ,35-45,Miami full timeout,,2,45,35,10,962.0
7:45.0, ,35-45,D. Robinson misses 3-pt jump shot from 27 ft,,2,45,35,10,975.0
7:42.0,Defensive rebound by R. Gobert,35-45, ,,2,45,35,10,978.0
7:29.0,A. Edwards misses 2-pt jump shot from 11 ft,35-45, ,,2,45,35,10,991.0
7:27.0, ,35-45,Defensive rebound by J. Richardson,,2,45,35,10,993.0
7:20.0, ,35-47,J. Richardson makes 2-pt jump shot from 13 ft,,2,47,35,12,1000.0
7:02.0,M. Conley makes 3-pt jump shot from 28 ft (assist by J. McDaniels),38-47, ,,2,47,38,9,1018.0
6:46.0, ,38-49,B. Adebayo makes 2-pt jump shot from 13 ft (assist by D. Robinson),,2,49,38,11,1034.0
6:28.0,A. Edwards misses 3-pt jump shot from 26 ft,38-49, ,,2,49,38,11,1052.0
