Time,Memphis,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:10.0, ,63-56,Personal foul by J. Konchar (drawn by H. Highsmith),,3,56,63,-7,1730.0
6:53.0, ,63-56,B. Adebayo misses 2-pt jump shot from 6 ft,,3,56,63,-7,1747.0
6:52.0, ,63-56,Offensive rebound by B. Adebayo,,3,56,63,-7,1748.0
6:50.0, ,63-56,Shooting foul by J. Jackson (drawn by B. Adebayo),,3,56,63,-7,1750.0
6:50.0, ,63-56,Miami full timeout,,3,56,63,-7,1750.0
6:50.0,X. Tillman enters the game for J. Jackson,63-56, ,,3,56,63,-7,1750.0
6:50.0, ,63-56,B. Adebayo misses free throw 1 of 2,,3,56,63,-7,1750.0
6:50.0, ,63-56,Offensive rebound by Team,,3,56,63,-7,1750.0
6:50.0, ,63-56,B. Adebayo misses free throw 2 of 2,,3,56,63,-7,1750.0
6:47.0,Defensive rebound by J. Konchar,63-56, ,,3,56,63,-7,1753.0
6:35.0,D. Roddy misses 3-pt jump shot from 24 ft,63-56, ,,3,56,63,-7,1765.0
6:32.0, ,63-56,Defensive rebound by B. Adebayo,,3,56,63,-7,1768.0
6:22.0, ,63-56,Shooting foul by J. Konchar (drawn by B. Adebayo),,3,56,63,-7,1778.0
6:22.0, ,63-57,B. Adebayo makes free throw 1 of 2,,3,57,63,-6,1778.0
6:22.0, ,63-58,B. Adebayo makes free throw 2 of 2,,3,58,63,-5,1778.0
6:09.0,D. Roddy makes 3-pt jump shot from 27 ft (assist by J. Konchar),66-58, ,,3,58,66,-8,1791.0
5:58.0, ,66-58,B. Adebayo misses 2-pt layup from 1 ft,,3,58,66,-8,1802.0
5:56.0,Defensive rebound by V. Williams,66-58, ,,3,58,66,-8,1804.0
5:49.0,D. Roddy misses 2-pt layup from 2 ft,66-58, ,,3,58,66,-8,1811.0
5:46.0, ,66-58,Defensive rebound by B. Adebayo,,3,58,66,-8,1814.0
5:45.0, ,66-58,Personal foul by X. Tillman (drawn by J. Butler),,3,58,66,-8,1815.0
5:45.0, ,66-58,J. Butler misses free throw 1 of 2,,3,58,66,-8,1815.0
