Time,Detroit,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:53.0, ,60-66,Defensive rebound by F. VanVleet,,3,60,66,-6,1567.0
9:48.0, ,60-66,F. VanVleet misses 2-pt jump shot from 4 ft,,3,60,66,-6,1572.0
9:46.0,Defensive rebound by Team,60-66, ,,3,60,66,-6,1574.0
9:31.0,Shooting foul by J. Tate (drawn by J. Ivey),60-66, ,,3,60,66,-6,1589.0
9:31.0,J. Ivey makes free throw 1 of 2,61-66, ,,3,61,66,-5,1589.0
9:31.0,J. Ivey makes free throw 2 of 2,62-66, ,,3,62,66,-4,1589.0
9:18.0, ,62-69,J. Smith makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,3,62,69,-7,1602.0
9:09.0,Personal foul by J. Smith (drawn by K. Knox),62-69, ,,3,62,69,-7,1611.0
9:01.0,Turnover by B. Bogdanović (lost ball; steal by A. Sengun),62-69, ,,3,62,69,-7,1619.0
8:54.0, ,62-71,A. Sengun makes 2-pt layup at rim (assist by F. VanVleet),,3,62,71,-9,1626.0
8:54.0, ,62-71,Shooting foul by J. Duren (drawn by A. Sengun),,3,62,71,-9,1626.0
8:54.0,J. Wiseman enters the game for J. Duren,62-71, ,,3,62,71,-9,1626.0
8:54.0,Violation by Team (delay of game),62-71, ,,3,62,71,-9,1626.0
8:54.0, ,62-72,A. Sengun makes free throw 1 of 1,,3,62,72,-10,1626.0
8:34.0,K. Knox makes 2-pt layup from 1 ft (assist by J. Ivey),64-72, ,,3,64,72,-8,1646.0
8:21.0, ,64-74,A. Sengun makes 2-pt hook shot from 2 ft (assist by F. VanVleet),,3,64,74,-10,1659.0
8:07.0,Turnover by J. Ivey (lost ball; steal by F. VanVleet),64-74, ,,3,64,74,-10,1673.0
8:03.0, ,64-74,Personal foul by J. Ivey (drawn by J. Green),,3,64,74,-10,1677.0
7:47.0, ,64-76,A. Sengun makes 2-pt jump shot from 11 ft,,3,64,76,-12,1693.0
7:27.0,C. Cunningham misses 2-pt jump shot from 9 ft,64-76, ,,3,64,76,-12,1713.0
7:25.0,Offensive rebound by J. Ivey,64-76, ,,3,64,76,-12,1715.0
7:25.0,Personal foul by J. Tate (drawn by J. Ivey),64-76, ,,3,64,76,-12,1715.0
