Time,Detroit,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:43.0, ,61-47,Defensive rebound by Team,,3,61,47,14,1577.0
9:43.0, ,61-47,J. Butler enters the game for J. Poole,,3,61,47,14,1577.0
9:26.0, ,61-49,K. Kuzma makes 2-pt layup from 3 ft (assist by J. Butler),,3,61,49,12,1594.0
9:16.0,Offensive foul by J. Duren (drawn by J. Butler),61-49, ,,3,61,49,12,1604.0
9:16.0,Turnover by J. Duren (offensive foul),61-49, ,,3,61,49,12,1604.0
9:06.0, ,61-49,Turnover by K. Kuzma (lost ball; steal by T. Evbuomwan),,3,61,49,12,1614.0
8:52.0,C. Cunningham makes 2-pt jump shot from 17 ft,63-49, ,,3,63,49,14,1628.0
8:42.0, ,63-51,J. Butler makes 2-pt jump shot from 18 ft,,3,63,51,12,1638.0
8:36.0,Offensive foul by T. Brown (drawn by D. Avdija),63-51, ,,3,63,51,12,1644.0
8:36.0,Turnover by T. Brown (offensive foul),63-51, ,,3,63,51,12,1644.0
8:23.0, ,63-53,M. Bagley makes 2-pt dunk from 3 ft (assist by J. Butler),,3,63,53,10,1657.0
8:23.0,Detroit full timeout,63-53, ,,3,63,53,10,1657.0
8:09.0,C. Cunningham misses 2-pt jump shot from 13 ft,63-53, ,,3,63,53,10,1671.0
8:06.0, ,63-53,Defensive rebound by M. Bagley,,3,63,53,10,1674.0
7:53.0, ,63-55,K. Kuzma makes 2-pt jump shot from 5 ft (assist by D. Avdija),,3,63,55,8,1687.0
7:35.0,C. Cunningham makes 3-pt jump shot from 30 ft (assist by J. Ivey),66-55, ,,3,66,55,11,1705.0
7:23.0, ,66-55,Shooting foul by T. Evbuomwan (drawn by K. Kuzma),,3,66,55,11,1717.0
7:23.0, ,66-55,K. Kuzma misses free throw 1 of 2,,3,66,55,11,1717.0
7:23.0, ,66-55,Offensive rebound by Team,,3,66,55,11,1717.0
7:23.0,C. Metu enters the game for T. Brown,66-55, ,,3,66,55,11,1717.0
7:23.0, ,66-56,K. Kuzma makes free throw 2 of 2,,3,66,56,10,1717.0
7:10.0,J. Ivey misses 2-pt jump shot from 9 ft,66-56, ,,3,66,56,10,1730.0
7:07.0, ,66-56,Defensive rebound by K. Kuzma,,3,66,56,10,1733.0
7:01.0, ,66-56,K. Kuzma misses 2-pt layup from 2 ft,,3,66,56,10,1739.0
6:58.0,Defensive rebound by C. Cunningham,66-56, ,,3,66,56,10,1742.0
6:51.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by C. Cunningham),69-56, ,,3,69,56,13,1749.0
6:34.0, ,69-58,M. Bagley makes 2-pt layup from 2 ft (assist by D. Avdija),,3,69,58,11,1766.0
6:20.0,Turnover by T. Evbuomwan (out of bounds lost ball),69-58, ,,3,69,58,11,1780.0
6:20.0, ,69-58,A. Gill enters the game for M. Bagley,,3,69,58,11,1780.0
5:55.0, ,69-60,D. Avdija makes 2-pt layup from 3 ft,,3,69,60,9,1805.0
5:44.0,C. Cunningham misses 2-pt layup from 2 ft,69-60, ,,3,69,60,9,1816.0
5:38.0,Offensive rebound by J. Duren,69-60, ,,3,69,60,9,1822.0
5:38.0,J. Duren misses 2-pt dunk at rim,69-60, ,,3,69,60,9,1822.0
5:37.0, ,69-60,Defensive rebound by D. Avdija,,3,69,60,9,1823.0
5:37.0, ,69-62,K. Kuzma makes 2-pt dunk from 2 ft (assist by D. Avdija),,3,69,62,7,1823.0
5:17.0,C. Cunningham makes 2-pt layup from 4 ft,71-62, ,,3,71,62,9,1843.0
4:56.0, ,71-62,D. Avdija misses 2-pt layup from 2 ft (block by J. Ivey),,3,71,62,9,1864.0
4:52.0,Defensive rebound by J. Ivey,71-62, ,,3,71,62,9,1868.0
4:49.0,C. Cunningham misses 3-pt jump shot from 24 ft,71-62, ,,3,71,62,9,1871.0
4:47.0,Offensive rebound by Team,71-62, ,,3,71,62,9,1873.0
4:47.0, ,71-62,J. Poole enters the game for D. Avdija,,3,71,62,9,1873.0
4:42.0,J. Ivey misses 2-pt layup from 5 ft (block by K. Kuzma),71-62, ,,3,71,62,9,1878.0
4:42.0,Offensive rebound by Team,71-62, ,,3,71,62,9,1878.0
4:39.0,C. Cunningham misses 2-pt jump shot from 14 ft,71-62, ,,3,71,62,9,1881.0
4:37.0, ,71-62,Defensive rebound by J. Poole,,3,71,62,9,1883.0
4:34.0, ,71-62,Turnover by K. Kuzma (out of bounds lost ball),,3,71,62,9,1886.0
4:20.0,Personal foul by C. Kispert (drawn by J. Duren),71-62, ,,3,71,62,9,1900.0
4:09.0,C. Cunningham makes 2-pt jump shot from 15 ft,73-62, ,,3,73,62,11,1911.0
