Time,Oklahoma City,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:42.0,C. Holmgren misses 3-pt jump shot from 25 ft,67-78, ,,3,78,67,11,1578.0
9:39.0, ,67-78,Defensive rebound by J. Duren,,3,78,67,11,1581.0
9:35.0, ,67-81,J. Ivey makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,3,81,67,14,1585.0
9:34.0,Oklahoma City full timeout,67-81, ,,3,81,67,14,1586.0
9:34.0,K. Johnson enters the game for J. Giddey,67-81, ,,3,81,67,14,1586.0
9:34.0,J. Williams enters the game for C. Holmgren,67-81, ,,3,81,67,14,1586.0
9:34.0,K. Williams enters the game for J. Williams,67-81, ,,3,81,67,14,1586.0
9:13.0,S. Gilgeous-Alexander makes 2-pt jump shot from 17 ft,69-81, ,,3,81,69,12,1607.0
9:13.0,Shooting foul by I. Stewart (drawn by S. Gilgeous-Alexander),69-81, ,,3,81,69,12,1607.0
9:13.0,S. Gilgeous-Alexander makes free throw 1 of 1,70-81, ,,3,81,70,11,1607.0
8:52.0, ,70-81,I. Stewart misses 3-pt jump shot from 22 ft,,3,81,70,11,1628.0
8:49.0,Defensive rebound by K. Williams,70-81, ,,3,81,70,11,1631.0
8:43.0,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft,72-81, ,,3,81,72,9,1637.0
8:26.0, ,72-83,J. Duren makes 2-pt jump shot from 14 ft (assist by J. Ivey),,3,83,72,11,1654.0
8:12.0,J. Williams misses 3-pt jump shot from 25 ft,72-83, ,,3,83,72,11,1668.0
8:09.0, ,72-83,Defensive rebound by K. Hayes,,3,83,72,11,1671.0
8:05.0, ,72-83,Turnover by B. Bogdanović (lost ball; steal by S. Gilgeous-Alexander),,3,83,72,11,1675.0
8:01.0,S. Gilgeous-Alexander misses 2-pt layup from 5 ft (block by J. Duren),72-83, ,,3,83,72,11,1679.0
8:00.0,Offensive rebound by S. Gilgeous-Alexander,72-83, ,,3,83,72,11,1680.0
7:59.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,72-83, ,,3,83,72,11,1681.0
7:58.0,Offensive rebound by S. Gilgeous-Alexander,72-83, ,,3,83,72,11,1682.0
7:57.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,74-83, ,,3,83,74,9,1683.0
7:43.0, ,74-83,Turnover by J. Duren (bad pass; steal by K. Williams),,3,83,74,9,1697.0
7:27.0,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,76-83, ,,3,83,76,7,1713.0
