Time,Denver,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:36.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,65-66, ,,3,66,65,1,1704.0
7:33.0, ,65-66,Defensive rebound by A. Thompson,,3,66,65,1,1707.0
7:30.0, ,65-66,A. Thompson misses 2-pt layup from 3 ft,,3,66,65,1,1710.0
7:27.0,Defensive rebound by M. Porter,65-66, ,,3,66,65,1,1713.0
7:23.0,C. Braun makes 3-pt jump shot from 27 ft (assist by M. Porter),68-66, ,Lead change,3,66,68,-2,1717.0
6:58.0, ,68-66,Turnover by C. Cunningham (lost ball; steal by K. Caldwell-Pope),,3,66,68,-2,1742.0
6:46.0,M. Porter makes 3-pt jump shot from 27 ft (assist by A. Gordon),71-66, ,,3,66,71,-5,1754.0
6:46.0, ,71-66,Detroit full timeout,,3,66,71,-5,1754.0
6:46.0, ,71-66,I. Livers enters the game for M. Bagley,,3,66,71,-5,1754.0
6:32.0, ,71-66,A. Thompson misses 2-pt layup from 2 ft,,3,66,71,-5,1768.0
6:30.0, ,71-66,Offensive rebound by A. Thompson,,3,66,71,-5,1770.0
6:30.0, ,71-68,A. Thompson makes 2-pt layup at rim,,3,68,71,-3,1770.0
6:05.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,71-68, ,,3,68,71,-3,1795.0
6:03.0,Offensive rebound by A. Gordon,71-68, ,,3,68,71,-3,1797.0
5:57.0,C. Braun misses 2-pt jump shot from 12 ft,71-68, ,,3,68,71,-3,1803.0
5:55.0, ,71-68,Defensive rebound by C. Cunningham,,3,68,71,-3,1805.0
5:50.0, ,71-68,C. Cunningham misses 2-pt layup from 2 ft,,3,68,71,-3,1810.0
5:48.0,Defensive rebound by R. Jackson,71-68, ,,3,68,71,-3,1812.0
5:32.0,K. Caldwell-Pope makes 2-pt jump shot from 10 ft,73-68, ,,3,68,73,-5,1828.0
5:09.0, ,73-70,A. Thompson makes 2-pt dunk from 4 ft (assist by I. Stewart),,3,70,73,-3,1851.0
4:58.0,Personal foul by A. Thompson (drawn by R. Jackson),73-70, ,,3,70,73,-3,1862.0
4:58.0,J. Pickett enters the game for R. Jackson,73-70, ,,3,70,73,-3,1862.0
4:58.0, ,73-70,S. Umude enters the game for A. Thompson,,3,70,73,-3,1862.0
4:49.0,M. Porter misses 3-pt jump shot from 27 ft,73-70, ,,3,70,73,-3,1871.0
4:46.0, ,73-70,Defensive rebound by I. Stewart,,3,70,73,-3,1874.0
4:44.0, ,73-70,Offensive foul by J. Ivey (drawn by J. Pickett),,3,70,73,-3,1876.0
4:44.0, ,73-70,Turnover by J. Ivey (offensive foul),,3,70,73,-3,1876.0
4:44.0, ,73-70,A. Burks enters the game for J. Ivey,,3,70,73,-3,1876.0
