Time,Detroit,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:28.0,A. Thompson enters the game for K. Hayes,28-34, ,,2,28,34,-6,932.0
8:28.0, ,28-35,T. Maxey makes free throw 2 of 2,,2,28,35,-7,932.0
8:17.0,J. Wiseman makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),30-35, ,,2,30,35,-5,943.0
8:01.0, ,30-35,T. Maxey misses 3-pt jump shot from 26 ft,,2,30,35,-5,959.0
8:00.0, ,30-35,Offensive rebound by P. Reed,,2,30,35,-5,960.0
7:57.0, ,30-38,M. Morris makes 3-pt jump shot from 24 ft (assist by K. Oubre),,2,30,38,-8,963.0
7:38.0,Turnover by B. Bogdanović (bad pass; steal by M. Morris),30-38, ,,2,30,38,-8,982.0
7:24.0, ,30-38,K. Oubre misses 3-pt jump shot from 26 ft,,2,30,38,-8,996.0
7:20.0,Defensive rebound by B. Bogdanović,30-38, ,,2,30,38,-8,1000.0
7:15.0,Turnover by J. Ivey (lost ball; steal by R. Covington),30-38, ,,2,30,38,-8,1005.0
7:11.0, ,30-40,T. Maxey makes 2-pt layup from 1 ft (assist by M. Morris),,2,30,40,-10,1009.0
7:11.0,Detroit full timeout,30-40, ,,2,30,40,-10,1009.0
7:11.0,I. Livers enters the game for J. Ivey,30-40, ,,2,30,40,-10,1009.0
6:55.0,C. Cunningham makes 2-pt layup from 2 ft (assist by J. Wiseman),32-40, ,,2,32,40,-8,1025.0
6:55.0,I. Stewart enters the game for J. Wiseman,32-40, ,,2,32,40,-8,1025.0
6:40.0, ,32-40,Personal foul by I. Livers (drawn by K. Oubre),,2,32,40,-8,1040.0
6:30.0, ,32-40,R. Covington misses 2-pt jump shot from 6 ft,,2,32,40,-8,1050.0
6:30.0, ,32-40,Offensive rebound by R. Covington,,2,32,40,-8,1050.0
6:29.0, ,32-43,K. Oubre makes 3-pt jump shot from 26 ft (assist by P. Reed),,2,32,43,-11,1051.0
6:02.0,A. Thompson makes 2-pt layup from 1 ft (assist by C. Cunningham),34-43, ,,2,34,43,-9,1078.0
5:49.0, ,34-43,T. Maxey misses 2-pt jump shot from 5 ft,,2,34,43,-9,1091.0
5:49.0, ,34-43,Offensive rebound by Team,,2,34,43,-9,1091.0
5:49.0, ,34-43,N. Batum enters the game for K. Oubre,,2,34,43,-9,1091.0
5:49.0, ,34-43,J. Embiid enters the game for P. Reed,,2,34,43,-9,1091.0
