Time,Detroit,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:40.0,Offensive rebound by A. Thompson,38-44, ,,2,38,44,-6,980.0
7:40.0,A. Thompson misses 2-pt layup at rim (block by J. Valančiūnas),38-44, ,,2,38,44,-6,980.0
7:39.0, ,38-44,Defensive rebound by J. Valančiūnas,,2,38,44,-6,981.0
7:25.0, ,38-44,D. Seabron misses 2-pt jump shot from 12 ft,,2,38,44,-6,995.0
7:21.0, ,38-44,Offensive rebound by J. Valančiūnas,,2,38,44,-6,999.0
7:21.0, ,38-46,J. Valančiūnas makes 2-pt layup at rim,,2,38,46,-8,999.0
7:14.0,Shooting foul by J. Valančiūnas (drawn by I. Stewart),38-46, ,,2,38,46,-8,1006.0
7:14.0,I. Stewart misses free throw 1 of 2,38-46, ,,2,38,46,-8,1006.0
7:14.0,Offensive rebound by Team,38-46, ,,2,38,46,-8,1006.0
7:14.0,I. Stewart misses free throw 2 of 2,38-46, ,,2,38,46,-8,1006.0
7:12.0, ,38-46,Defensive rebound by J. Valančiūnas,,2,38,46,-8,1008.0
6:56.0, ,38-49,M. Ryan makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,2,38,49,-11,1024.0
6:33.0, ,38-49,New Orleans full timeout,,2,38,49,-11,1047.0
6:33.0,J. Ivey enters the game for K. Hayes,38-49, ,,2,38,49,-11,1047.0
6:30.0,Jump ball: M. Sasser vs. M. Ryan (J. Duren gains possession),38-49,,,2,38,49,-11,1050.0
6:26.0,M. Sasser misses 3-pt jump shot from 26 ft,38-49, ,,2,38,49,-11,1054.0
6:23.0, ,38-49,Defensive rebound by K. Lewis,,2,38,49,-11,1057.0
6:10.0, ,38-51,J. Valančiūnas makes 2-pt layup from 5 ft,,2,38,51,-13,1070.0
6:00.0,Turnover by I. Stewart (step out of bounds),38-51, ,,2,38,51,-13,1080.0
6:00.0, ,38-51,J. Hawkins enters the game for M. Ryan,,2,38,51,-13,1080.0
5:46.0, ,38-54,J. Hawkins makes 3-pt jump shot from 25 ft (assist by D. Daniels),,2,38,54,-16,1094.0
5:27.0,I. Stewart misses 3-pt jump shot from 26 ft,38-54, ,,2,38,54,-16,1113.0
5:27.0, ,38-54,Defensive rebound by K. Lewis,,2,38,54,-16,1113.0
5:15.0, ,38-57,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by K. Lewis),,2,38,57,-19,1125.0
5:15.0,Detroit full timeout,38-57, ,,2,38,57,-19,1125.0
5:15.0,M. Bagley enters the game for J. Duren,38-57, ,,2,38,57,-19,1125.0
4:58.0,I. Stewart misses 2-pt jump shot from 14 ft,38-57, ,,2,38,57,-19,1142.0
4:55.0, ,38-57,Defensive rebound by J. Valančiūnas,,2,38,57,-19,1145.0
4:37.0, ,38-57,D. Daniels misses 2-pt hook shot from 6 ft,,2,38,57,-19,1163.0
4:34.0,Defensive rebound by M. Bagley,38-57, ,,2,38,57,-19,1166.0
4:26.0,A. Thompson misses 3-pt jump shot from 26 ft,38-57, ,,2,38,57,-19,1174.0
4:22.0, ,38-57,Defensive rebound by D. Daniels,,2,38,57,-19,1178.0
4:20.0, ,38-57,Shooting foul by M. Sasser (drawn by D. Seabron),,2,38,57,-19,1180.0
4:20.0, ,38-58,D. Seabron makes free throw 1 of 2,,2,38,58,-20,1180.0
4:20.0,J. Harris enters the game for M. Sasser,38-58, ,,2,38,58,-20,1180.0
4:20.0,K. Hayes enters the game for I. Stewart,38-58, ,,2,38,58,-20,1180.0
4:20.0, ,38-58,C. McCollum enters the game for K. Lewis,,2,38,58,-20,1180.0
4:20.0, ,38-58,L. Nance enters the game for J. Valančiūnas,,2,38,58,-20,1180.0
4:20.0, ,38-59,D. Seabron makes free throw 2 of 2,,2,38,59,-21,1180.0
4:07.0,J. Harris makes 3-pt jump shot from 23 ft (assist by K. Hayes),41-59, ,,2,41,59,-18,1193.0
3:54.0, ,41-59,J. Hawkins misses 2-pt jump shot from 18 ft,,2,41,59,-18,1206.0
3:50.0,Defensive rebound by M. Bagley,41-59, ,,2,41,59,-18,1210.0
3:40.0,M. Bagley misses 2-pt layup from 4 ft,41-59, ,,2,41,59,-18,1220.0
3:36.0,Offensive rebound by A. Thompson,41-59, ,,2,41,59,-18,1224.0
3:36.0,A. Thompson misses 2-pt layup at rim,41-59, ,,2,41,59,-18,1224.0
3:35.0,Offensive rebound by A. Thompson,41-59, ,,2,41,59,-18,1225.0
3:24.0,J. Harris misses 3-pt jump shot from 27 ft,41-59, ,,2,41,59,-18,1236.0
3:21.0,Offensive rebound by M. Bagley,41-59, ,,2,41,59,-18,1239.0
3:20.0,Turnover by M. Bagley (bad pass),41-59, ,,2,41,59,-18,1240.0
3:20.0, ,41-59,H. Jones enters the game for D. Daniels,,2,41,59,-18,1240.0
3:20.0, ,41-59,M. Ryan enters the game for D. Seabron,,2,41,59,-18,1240.0
3:05.0, ,41-61,C. McCollum makes 2-pt jump shot from 10 ft,,2,41,61,-20,1255.0
2:46.0,J. Ivey misses 3-pt jump shot from 26 ft,41-61, ,,2,41,61,-20,1274.0
2:46.0,Offensive rebound by K. Hayes,41-61, ,,2,41,61,-20,1274.0
2:41.0,M. Bagley makes 2-pt dunk from 2 ft (assist by K. Hayes),43-61, ,,2,43,61,-18,1279.0
2:28.0, ,43-63,C. McCollum makes 2-pt layup from 4 ft (assist by M. Ryan),,2,43,63,-20,1292.0
2:17.0,K. Hayes misses 3-pt jump shot from 24 ft,43-63, ,,2,43,63,-20,1303.0
2:17.0,Offensive rebound by J. Ivey,43-63, ,,2,43,63,-20,1303.0
2:08.0,J. Ivey makes 2-pt layup at rim,45-63, ,,2,45,63,-18,1312.0
1:51.0, ,45-65,C. McCollum makes 2-pt layup from 5 ft,,2,45,65,-20,1329.0
1:35.0,J. Harris misses 3-pt jump shot from 23 ft,45-65, ,,2,45,65,-20,1345.0
1:32.0, ,45-65,Defensive rebound by M. Ryan,,2,45,65,-20,1348.0
1:18.0, ,45-68,C. McCollum makes 3-pt jump shot from 26 ft (assist by L. Nance),,2,45,68,-23,1362.0
1:00.0,J. Ivey misses 3-pt jump shot from 25 ft (block by H. Jones),45-68, ,,2,45,68,-23,1380.0
1:00.0, ,45-68,Defensive rebound by H. Jones,,2,45,68,-23,1380.0
1:00.0, ,45-68,Personal foul by J. Harris (drawn by H. Jones),,2,45,68,-23,1380.0
1:00.0, ,45-69,H. Jones makes free throw 1 of 2,,2,45,69,-24,1380.0
1:00.0,S. Umude enters the game for J. Ivey,45-69, ,,2,45,69,-24,1380.0
1:00.0, ,45-70,H. Jones makes free throw 2 of 2,,2,45,70,-25,1380.0
0:44.0,S. Umude misses 3-pt jump shot from 26 ft,45-70, ,,2,45,70,-25,1396.0
0:41.0, ,45-70,Defensive rebound by C. McCollum,,2,45,70,-25,1399.0
0:36.0, ,45-70,C. McCollum misses 2-pt layup from 10 ft (block by A. Thompson),,2,45,70,-25,1404.0
0:36.0,Defensive rebound by Team,45-70, ,,2,45,70,-25,1404.0
0:36.0,C. Cunningham enters the game for M. Bagley,45-70, ,,2,45,70,-25,1404.0
0:36.0,J. Duren enters the game for S. Umude,45-70, ,,2,45,70,-25,1404.0
0:30.0,A. Thompson makes 2-pt layup from 3 ft (assist by K. Hayes),47-70, ,,2,47,70,-23,1410.0
0:22.0, ,47-70,Personal foul by A. Thompson (drawn by C. McCollum),,2,47,70,-23,1418.0
0:22.0, ,47-71,C. McCollum makes free throw 1 of 2,,2,47,71,-24,1418.0
0:22.0, ,47-71,D. Daniels enters the game for M. Ryan,,2,47,71,-24,1418.0
0:22.0, ,47-72,C. McCollum makes free throw 2 of 2,,2,47,72,-25,1418.0
0:01.0,A. Thompson makes 2-pt jump shot from 8 ft (assist by C. Cunningham),49-72, ,,2,49,72,-23,1439.0
0:00.0, ,49-72,L. Nance misses 3-pt jump shot from 59 ft,,2,49,72,-23,1440.0
0:00.0, ,49-72,Offensive rebound by Team,,2,49,72,-23,1440.0
0:00.0,End of 2nd quarter,49-72,,,2,49,72,-23,1440.0
12:00.0,Start of 3rd quarter,49-72,,,3,49,72,-23,1440.0
11:47.0,Shooting foul by H. Jones (drawn by J. Duren),49-72, ,,3,49,72,-23,1453.0
11:47.0,J. Duren makes free throw 1 of 2,50-72, ,,3,50,72,-22,1453.0
11:47.0,J. Duren makes free throw 2 of 2,51-72, ,,3,51,72,-21,1453.0
11:31.0, ,51-75,C. McCollum makes 3-pt jump shot from 25 ft (assist by H. Jones),,3,51,75,-24,1469.0
11:15.0,Offensive foul by J. Duren (drawn by J. Hawkins),51-75, ,,3,51,75,-24,1485.0
11:15.0,Turnover by J. Duren (offensive foul),51-75, ,,3,51,75,-24,1485.0
11:00.0, ,51-75,Personal foul by J. Duren (drawn by J. Valančiūnas),,3,51,75,-24,1500.0
10:53.0, ,51-75,J. Valančiūnas misses 2-pt dunk from 5 ft (block by I. Stewart),,3,51,75,-24,1507.0
10:50.0,Defensive rebound by C. Cunningham,51-75, ,,3,51,75,-24,1510.0
10:48.0,Shooting foul by H. Jones (drawn by A. Thompson),51-75, ,,3,51,75,-24,1512.0
10:48.0,A. Thompson misses free throw 1 of 2,51-75, ,,3,51,75,-24,1512.0
10:48.0,Offensive rebound by Team,51-75, ,,3,51,75,-24,1512.0
10:48.0,A. Thompson makes free throw 2 of 2,52-75, ,,3,52,75,-23,1512.0
10:35.0, ,52-75,C. McCollum misses 2-pt jump shot from 5 ft,,3,52,75,-23,1525.0
10:33.0,Defensive rebound by J. Duren,52-75, ,,3,52,75,-23,1527.0
10:19.0,A. Thompson misses 2-pt jump shot from 21 ft,52-75, ,,3,52,75,-23,1541.0
10:18.0, ,52-75,Defensive rebound by Team,,3,52,75,-23,1542.0
10:12.0, ,52-75,Personal foul by I. Stewart (drawn by J. Valančiūnas),,3,52,75,-23,1548.0
10:06.0, ,52-75,J. Hawkins misses 2-pt jump shot from 14 ft,,3,52,75,-23,1554.0
10:04.0,Defensive rebound by I. Stewart,52-75, ,,3,52,75,-23,1556.0
9:58.0,Shooting foul by J. Valančiūnas (drawn by C. Cunningham),52-75, ,,3,52,75,-23,1562.0
9:58.0,C. Cunningham makes free throw 1 of 2,53-75, ,,3,53,75,-22,1562.0
9:58.0,C. Cunningham makes free throw 2 of 2,54-75, ,,3,54,75,-21,1562.0
9:47.0, ,54-75,C. McCollum misses 2-pt jump shot from 5 ft,,3,54,75,-21,1573.0
9:43.0,Defensive rebound by I. Stewart,54-75, ,,3,54,75,-21,1577.0
9:41.0,C. Cunningham misses 3-pt jump shot from 26 ft,54-75, ,,3,54,75,-21,1579.0
9:39.0,Offensive rebound by Team,54-75, ,,3,54,75,-21,1581.0
9:37.0,K. Hayes makes 2-pt jump shot from 16 ft (assist by A. Thompson),56-75, ,,3,56,75,-19,1583.0
9:14.0, ,56-75,Violation by Team (kicked ball),,3,56,75,-19,1606.0
8:59.0,C. Cunningham makes 2-pt jump shot from 19 ft (assist by A. Thompson),58-75, ,,3,58,75,-17,1621.0
8:57.0, ,58-75,New Orleans full timeout,,3,58,75,-17,1623.0
8:42.0, ,58-75,Shooting foul by A. Thompson (drawn by J. Valančiūnas),,3,58,75,-17,1638.0
8:42.0, ,58-76,J. Valančiūnas makes free throw 1 of 2,,3,58,76,-18,1638.0
8:42.0, ,58-77,J. Valančiūnas makes free throw 2 of 2,,3,58,77,-19,1638.0
8:30.0,Turnover by C. Cunningham (bad pass; steal by H. Jones),58-77, ,,3,58,77,-19,1650.0
8:26.0, ,58-79,H. Jones makes 2-pt layup from 3 ft,,3,58,79,-21,1654.0
8:26.0,Violation by Team (def goaltending),58-79, ,,3,58,79,-21,1654.0
8:13.0,A. Thompson makes 2-pt layup from 2 ft (assist by K. Hayes),60-79, ,,3,60,79,-19,1667.0
7:55.0, ,60-81,J. Valančiūnas makes 2-pt jump shot from 7 ft (assist by C. McCollum),,3,60,81,-21,1685.0
7:44.0,Turnover by C. Cunningham (bad pass),60-81, ,,3,60,81,-21,1696.0
7:26.0, ,60-81,Turnover by M. Ryan (bad pass; steal by C. Cunningham),,3,60,81,-21,1714.0
