event,TeamScore,opponentScore,pointDifference,elapsedTime,opponent,id
,56,50,6,1216.0,NJN,202311040BRK
,57,50,7,1244.0,NJN,202311040BRK
,58,50,8,1244.0,NJN,202311040BRK
,58,51,7,1254.0,NJN,202311040BRK
,58,54,4,1290.0,NJN,202311040BRK
,60,54,6,1308.0,NJN,202311040BRK
,62,54,8,1324.0,NJN,202311040BRK
,62,55,7,1345.0,NJN,202311040BRK
,62,56,6,1345.0,NJN,202311040BRK
,62,58,4,1370.0,NJN,202311040BRK
,65,58,7,1375.0,NJN,202311040BRK
,66,58,8,1402.0,NJN,202311040BRK
,67,58,9,1402.0,NJN,202311040BRK
,70,58,12,1440.0,NJN,202311040BRK
,70,60,10,1462.0,NJN,202311040BRK
,70,63,7,1493.0,NJN,202311040BRK
,70,66,4,1520.0,NJN,202311040BRK
,72,66,6,1543.0,NJN,202311040BRK
,72,69,3,1554.0,NJN,202311040BRK
,74,69,5,1571.0,NJN,202311040BRK
,74,71,3,1665.0,NJN,202311040BRK
,76,71,5,1676.0,NJN,202311040BRK
,76,73,3,1684.0,NJN,202311040BRK
,79,73,6,1720.0,NJN,202311040BRK
,79,75,4,1748.0,NJN,202311040BRK
,82,75,7,1766.0,NJN,202311040BRK
,82,77,5,1781.0,NJN,202311040BRK
,85,77,8,1834.0,NJN,202311040BRK
,85,79,6,1853.0,NJN,202311040BRK
,85,82,3,1898.0,NJN,202311040BRK
,86,82,4,1913.0,NJN,202311040BRK
,87,82,5,1913.0,NJN,202311040BRK
,87,84,3,1960.0,NJN,202311040BRK
,87,86,1,2015.0,NJN,202311040BRK
,89,86,3,2026.0,NJN,202311040BRK
,91,86,5,2046.0,NJN,202311040BRK
,91,88,3,2061.0,NJN,202311040BRK
,92,88,4,2179.0,NJN,202311040BRK
,93,88,5,2179.0,NJN,202311040BRK
,93,90,3,2269.0,NJN,202311040BRK
,95,90,5,2289.0,NJN,202311040BRK
,96,90,6,2289.0,NJN,202311040BRK
,96,92,4,2376.0,NJN,202311040BRK
,96,95,1,2413.0,NJN,202311040BRK
,99,95,4,2433.0,NJN,202311040BRK
,99,97,2,2447.0,NJN,202311040BRK
,101,97,4,2463.0,NJN,202311040BRK
,104,97,7,2489.0,NJN,202311040BRK
,107,97,10,2544.0,NJN,202311040BRK
,107,99,8,2555.0,NJN,202311040BRK
,109,99,10,2569.0,NJN,202311040BRK
,110,99,11,2570.0,NJN,202311040BRK
,110,102,8,2592.0,NJN,202311040BRK
,112,102,10,2649.0,NJN,202311040BRK
,113,102,11,2700.0,NJN,202311040BRK
,113,105,8,2711.0,NJN,202311040BRK
,115,105,10,2750.0,NJN,202311040BRK
,117,105,12,2780.0,NJN,202311040BRK
,119,105,14,2792.0,NJN,202311040BRK
,119,106,13,2792.0,NJN,202311040BRK
,119,109,10,2802.0,NJN,202311040BRK
,120,109,11,2815.0,NJN,202311040BRK
,121,109,12,2815.0,NJN,202311040BRK
,121,112,9,2823.0,NJN,202311040BRK
,124,112,12,2846.0,NJN,202311040BRK
,124,114,10,2862.0,NJN,202311040BRK
F,124,114,10,2880.0,NJN,202311040BRK
,0,0,0,0.0,MIN,202311060MIN
,2,0,2,23.0,MIN,202311060MIN
,4,0,4,41.0,MIN,202311060MIN
,4,2,2,82.0,MIN,202311060MIN
,4,3,1,82.0,MIN,202311060MIN
,5,3,2,104.0,MIN,202311060MIN
,6,3,3,104.0,MIN,202311060MIN
,6,5,1,136.0,MIN,202311060MIN
