Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
6:04.0,88-62,,3,88,62,26,1796.0,A. Horford makes 3-pt jump shot from 26 ft (assist by D. White),LA Clippers,202312230LAC
12:00.0,68-51,,3,68,51,17,1440.0,Start of 3rd quarter,LA Clippers,202312230LAC
6:00.0,126-95,,4,126,95,31,2520.0, ,LA Clippers,202312230LAC
12:00.0,106-81,,4,106,81,25,2160.0,Start of 4th quarter,LA Clippers,202312230LAC
0:00.0,145-108,,4,145,108,37,2880.0,End of 4th quarter,LA Clippers,202312230LAC
6:03.0,21-10,,1,21,10,11,357.0, ,LA Lakers,202312250LAL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: K. Porziņģis vs. A. Davis (J. Brown gains possession),LA Lakers,202312250LAL
6:11.0,47-41,,2,47,41,6,1069.0, ,LA Lakers,202312250LAL
12:00.0,32-23,,2,32,23,9,720.0,Start of 2nd quarter,LA Lakers,202312250LAL
6:00.0,81-72,,3,81,72,9,1800.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by D. White),LA Lakers,202312250LAL
12:00.0,58-57,,3,58,57,1,1440.0,Start of 3rd quarter,LA Lakers,202312250LAL
6:11.0,111-100,,4,111,100,11,2509.0, ,LA Lakers,202312250LAL
12:00.0,99-90,,4,99,90,9,2160.0,Start of 4th quarter,LA Lakers,202312250LAL
0:00.0,126-115,,4,126,115,11,2880.0, ,LA Lakers,202312250LAL
6:09.0,16-13,,1,13,16,-3,351.0,J. Holiday makes 2-pt layup from 6 ft,Detroit,202312280BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Duren vs. K. Porziņģis (J. Ivey gains possession),Detroit,202312280BOS
6:04.0,46-37,,2,37,46,-9,1076.0,Turnover by J. Holiday (lost ball; steal by C. Cunningham),Detroit,202312280BOS
12:00.0,30-27,,2,27,30,-3,720.0,Start of 2nd quarter,Detroit,202312280BOS
6:15.0,77-70,,3,70,77,-7,1785.0,D. White makes 3-pt jump shot from 26 ft,Detroit,202312280BOS
12:00.0,66-47,,3,47,66,-19,1440.0,Start of 3rd quarter,Detroit,202312280BOS
6:07.0,97-96,,4,96,97,-1,2513.0,Defensive rebound by K. Porziņģis,Detroit,202312280BOS
12:00.0,82-82,,4,82,82,0,2160.0,Start of 4th quarter,Detroit,202312280BOS
0:00.0,122-128,,5,128,122,6,3180.0,End of 1st overtime,Detroit,202312280BOS
0:00.0,122-128,,5,128,122,6,3180.0, ,Detroit,202312280BOS
6:09.0,11-14,,1,14,11,3,351.0, ,Toronto,202312290BOS
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Poeltl vs. L. Kornet (O. Anunoby gains possession),Toronto,202312290BOS
6:00.0,34-49,,2,49,34,15,1080.0, ,Toronto,202312290BOS
12:00.0,20-35,,2,35,20,15,720.0,Start of 2nd quarter,Toronto,202312290BOS
6:19.0,71-86,,3,86,71,15,1781.0, ,Toronto,202312290BOS
12:00.0,53-68,,3,68,53,15,1440.0,Start of 3rd quarter,Toronto,202312290BOS
