Time,Score,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime,Notes,OpponentName,id
12:00.0,26-33,,2,26,33,-7,720.0,Start of 2nd quarter,Miami,202312220MIA
6:13.0,73-70,,3,73,70,3,1787.0, ,Miami,202312220MIA
12:00.0,60-62,,3,60,62,-2,1440.0,Start of 3rd quarter,Miami,202312220MIA
6:02.0,98-104,,4,98,104,-6,2518.0,C. Capela makes 2-pt dunk at rim,Miami,202312220MIA
12:00.0,86-88,,4,86,88,-2,2160.0,Start of 4th quarter,Miami,202312220MIA
0:00.0,113-122,,4,113,122,-9,2880.0, ,Miami,202312220MIA
6:05.0,12-17,,1,17,12,5,355.0,Defensive rebound by D. Murray,Memphis,202312230ATL
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: J. Jackson vs. C. Capela (D. Bane gains possession),Memphis,202312230ATL
6:05.0,41-43,,2,43,41,2,1075.0, ,Memphis,202312230ATL
12:00.0,25-32,,2,32,25,7,720.0,Start of 2nd quarter,Memphis,202312230ATL
6:02.0,70-72,,3,72,70,2,1798.0, ,Memphis,202312230ATL
12:00.0,50-60,,3,60,50,10,1440.0,Start of 3rd quarter,Memphis,202312230ATL
6:08.0,110-106,,4,106,110,-4,2512.0, ,Memphis,202312230ATL
12:00.0,90-93,,4,93,90,3,2160.0,Start of 4th quarter,Memphis,202312230ATL
0:00.0,125-119,,4,119,125,-6,2880.0,End of 4th quarter,Memphis,202312230ATL
6:02.0,7-10,,1,7,10,-3,358.0,Defensive rebound by D. Murray,Chicago,202312260CHI
12:00.0,0-0,,1,0,0,0,0.0,Jump ball: C. Capela vs. A. Drummond (C. White gains possession),Chicago,202312260CHI
6:08.0,37-38,,2,37,38,-1,1072.0,Defensive rebound by S. Bey,Chicago,202312260CHI
12:00.0,17-28,,2,17,28,-11,720.0,Start of 2nd quarter,Chicago,202312260CHI
6:06.0,69-64,,3,69,64,5,1794.0, ,Chicago,202312260CHI
12:00.0,56-50,,3,56,50,6,1440.0,Start of 3rd quarter,Chicago,202312260CHI
6:05.0,99-103,,4,99,103,-4,2515.0, ,Chicago,202312260CHI
12:00.0,85-83,,4,85,83,2,2160.0,Start of 4th quarter,Chicago,202312260CHI
