Time,Miami,Score,Chicago,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
11:07.0, ,72-76,D. Jones makes 2-pt layup from 2 ft (assist by C. White),,4,72,76,-4,2213.0
11:07.0,Technical foul by D. Dedmon,72-76, ,,4,72,76,-4,2213.0
11:07.0, ,72-76,Shooting foul by G. Vincent (drawn by D. Jones),,4,72,76,-4,2213.0
11:07.0,B. Adebayo enters the game for D. Dedmon,72-76, ,,4,72,76,-4,2213.0
11:07.0, ,72-76,Instant Replay (Request: Ruling Stands),,4,72,76,-4,2213.0
11:07.0, ,72-77,D. DeRozan makes technical free throw,,4,72,77,-5,2213.0
11:07.0,D. Dedmon ejected from game,72-77, ,,4,72,77,-5,2213.0
11:07.0, ,72-78,D. Jones makes free throw 1 of 1,,4,72,78,-6,2213.0
10:50.0,C. Martin misses 2-pt jump shot from 21 ft,72-78, ,,4,72,78,-6,2230.0
10:45.0,Offensive rebound by K. Lowry,72-78, ,,4,72,78,-6,2235.0
10:43.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by K. Lowry),75-78, ,,4,75,78,-3,2237.0
10:24.0, ,75-80,D. Jones makes 2-pt dunk from 2 ft (assist by A. Caruso),,4,75,80,-5,2256.0
10:16.0,Shooting foul by C. White (drawn by G. Vincent),75-80, ,,4,75,80,-5,2264.0
10:16.0,G. Vincent makes free throw 1 of 2,76-80, ,,4,76,80,-4,2264.0
10:16.0,G. Vincent makes free throw 2 of 2,77-80, ,,4,77,80,-3,2264.0
9:59.0, ,77-80,D. DeRozan misses 2-pt jump shot from 17 ft,,4,77,80,-3,2281.0
9:57.0,Defensive rebound by K. Lowry,77-80, ,,4,77,80,-3,2283.0
9:56.0,Offensive foul by K. Lowry (drawn by C. White),77-80, ,,4,77,80,-3,2284.0
9:56.0,Turnover by K. Lowry (offensive foul),77-80, ,,4,77,80,-3,2284.0
9:41.0, ,77-80,L. Ball misses 3-pt jump shot from 26 ft,,4,77,80,-3,2299.0
9:39.0, ,77-80,Offensive rebound by A. Caruso,,4,77,80,-3,2301.0
9:32.0, ,77-80,C. White misses 2-pt hook shot from 5 ft,,4,77,80,-3,2308.0
9:30.0,Defensive rebound by B. Adebayo,77-80, ,,4,77,80,-3,2310.0
9:23.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by K. Lowry),80-80, ,Tie,4,80,80,0,2317.0
9:21.0, ,80-80,Chicago full timeout,,4,80,80,0,2319.0
9:21.0, ,80-80,Z. LaVine enters the game for C. White,,4,80,80,0,2319.0
8:57.0, ,80-80,D. DeRozan misses 3-pt jump shot from 22 ft,,4,80,80,0,2343.0
8:55.0,Defensive rebound by C. Martin,80-80, ,,4,80,80,0,2345.0
8:55.0,Personal foul by D. DeRozan (drawn by K. Lowry),80-80, ,,4,80,80,0,2345.0
8:46.0,G. Vincent makes 3-pt jump shot from 28 ft (assist by K. Lowry),83-80, ,Lead change,4,83,80,3,2354.0
