Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:49.0,T. Maxey makes 2-pt layup from 2 ft (assist by M. Thybulle),53-58, ,,3,58,53,5,1691.0
7:49.0, ,53-58,Violation by Team (def goaltending),,3,58,53,5,1691.0
7:49.0, ,53-58,Miami full timeout,,3,58,53,5,1691.0
7:31.0, ,53-60,J. Butler makes 2-pt jump shot from 11 ft,,3,60,53,7,1709.0
7:08.0,Turnover by T. Harris (lost ball; steal by J. Butler),53-60, ,,3,60,53,7,1732.0
7:01.0, ,53-62,J. Butler makes 2-pt layup from 1 ft,,3,62,53,9,1739.0
6:49.0,Shooting foul by P. Tucker (drawn by J. Embiid),53-62, ,,3,62,53,9,1751.0
6:49.0,J. Embiid makes free throw 1 of 2,54-62, ,,3,62,54,8,1751.0
6:49.0,J. Embiid makes free throw 2 of 2,55-62, ,,3,62,55,7,1751.0
6:22.0, ,55-62,J. Butler misses 2-pt jump shot from 23 ft,,3,62,55,7,1778.0
6:19.0,Defensive rebound by F. Korkmaz,55-62, ,,3,62,55,7,1781.0
6:15.0,T. Harris misses 3-pt jump shot from 26 ft,55-62, ,,3,62,55,7,1785.0
6:12.0, ,55-62,Defensive rebound by B. Adebayo,,3,62,55,7,1788.0
6:00.0, ,55-62,Shooting foul by T. Maxey (drawn by J. Butler),,3,62,55,7,1800.0
6:00.0, ,55-62,J. Butler misses free throw 1 of 2,,3,62,55,7,1800.0
6:00.0, ,55-62,Offensive rebound by Team,,3,62,55,7,1800.0
6:00.0, ,55-62,T. Herro enters the game for D. Robinson,,3,62,55,7,1800.0
6:00.0, ,55-63,J. Butler makes free throw 2 of 2,,3,63,55,8,1800.0
5:44.0,T. Maxey misses 2-pt hook shot from 5 ft,55-63, ,,3,63,55,8,1816.0
5:42.0, ,55-63,Defensive rebound by T. Herro,,3,63,55,8,1818.0
5:35.0, ,55-65,T. Herro makes 2-pt jump shot from 11 ft (assist by J. Butler),,3,65,55,10,1825.0
5:35.0,Philadelphia full timeout,55-65, ,,3,65,55,10,1825.0
5:35.0,G. Niang enters the game for T. Harris,55-65, ,,3,65,55,10,1825.0
5:25.0,G. Niang misses 3-pt jump shot from 26 ft,55-65, ,,3,65,55,10,1835.0
5:22.0, ,55-65,Defensive rebound by P. Tucker,,3,65,55,10,1838.0
5:06.0, ,55-65,B. Adebayo misses 2-pt jump shot from 12 ft,,3,65,55,10,1854.0
5:03.0,Defensive rebound by J. Embiid,55-65, ,,3,65,55,10,1857.0
4:57.0,T. Maxey misses 2-pt jump shot from 8 ft,55-65, ,,3,65,55,10,1863.0
4:57.0, ,55-65,Defensive rebound by Team,,3,65,55,10,1863.0
4:57.0,Loose ball foul by J. Embiid (drawn by B. Adebayo),55-65, ,,3,65,55,10,1863.0
4:57.0,S. Milton enters the game for T. Maxey,55-65, ,,3,65,55,10,1863.0
4:47.0, ,55-65,Shooting foul by J. Embiid (drawn by J. Butler),,3,65,55,10,1873.0
4:47.0, ,55-65,J. Butler misses free throw 1 of 2,,3,65,55,10,1873.0
4:47.0, ,55-65,Offensive rebound by Team,,3,65,55,10,1873.0
4:47.0,D. Green enters the game for F. Korkmaz,55-65, ,,3,65,55,10,1873.0
4:47.0, ,55-66,J. Butler makes free throw 2 of 2,,3,66,55,11,1873.0
4:31.0,G. Niang makes 2-pt jump shot from 5 ft,57-66, ,,3,66,57,9,1889.0
4:19.0,Violation by Team (kicked ball),57-66, ,,3,66,57,9,1901.0
4:19.0,I. Joe enters the game for M. Thybulle,57-66, ,,3,66,57,9,1901.0
4:19.0, ,57-66,M. Strus enters the game for G. Vincent,,3,66,57,9,1901.0
4:07.0, ,57-66,T. Herro misses 3-pt jump shot from 30 ft,,3,66,57,9,1913.0
4:02.0,Defensive rebound by J. Embiid,57-66, ,,3,66,57,9,1918.0
3:47.0,Turnover by I. Joe (bad pass),57-66, ,,3,66,57,9,1933.0
3:32.0, ,57-68,T. Herro makes 2-pt jump shot from 11 ft (assist by J. Butler),,3,68,57,11,1948.0
3:20.0,G. Niang misses 3-pt jump shot from 27 ft,57-68, ,,3,68,57,11,1960.0
