Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:56.0, ,63-70,Shooting foul by D. Garland (drawn by J. Butler),,3,70,63,7,1864.0
4:56.0, ,63-70,J. Butler misses free throw 1 of 2,,3,70,63,7,1864.0
4:56.0, ,63-70,Offensive rebound by Team,,3,70,63,7,1864.0
4:56.0,K. Love enters the game for E. Mobley,63-70, ,,3,70,63,7,1864.0
4:56.0, ,63-71,J. Butler makes free throw 2 of 2,,3,71,63,8,1864.0
4:36.0,D. Garland misses 2-pt jump shot from 6 ft,63-71, ,,3,71,63,8,1884.0
4:36.0,Offensive rebound by K. Love,63-71, ,,3,71,63,8,1884.0
4:36.0,Shooting foul by P. Tucker (drawn by K. Love),63-71, ,,3,71,63,8,1884.0
4:36.0,K. Love makes free throw 1 of 2,64-71, ,,3,71,64,7,1884.0
4:36.0,K. Love makes free throw 2 of 2,65-71, ,,3,71,65,6,1884.0
4:24.0, ,65-71,J. Butler misses 2-pt jump shot from 7 ft,,3,71,65,6,1896.0
