Time,Miami,Score,Brooklyn,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
0:50.0,J. Butler misses 2-pt jump shot from 4 ft,49-48, ,,2,49,48,1,1390.0
0:48.0, ,49-48,Defensive rebound by B. Brown,,2,49,48,1,1392.0
0:45.0, ,49-48,P. Mills misses 3-pt jump shot from 23 ft,,2,49,48,1,1395.0
0:41.0,Defensive rebound by T. Herro,49-48, ,,2,49,48,1,1399.0
0:37.0,Turnover by T. Herro (lost ball; steal by B. Brown),49-48, ,,2,49,48,1,1403.0
0:34.0, ,49-50,B. Griffin makes 2-pt dunk from 1 ft (assist by J. Harden),Lead change,2,49,50,-1,1406.0
0:34.0, ,49-50,Shooting foul by K. Lowry (drawn by B. Griffin),,2,49,50,-1,1406.0
0:34.0, ,49-51,B. Griffin makes free throw 1 of 1,,2,49,51,-2,1406.0
0:29.0,T. Herro misses 3-pt jump shot from 24 ft,49-51, ,,2,49,51,-2,1411.0
0:26.0, ,49-51,Defensive rebound by B. Griffin,,2,49,51,-2,1414.0
0:07.0, ,49-51,J. Harden misses 3-pt jump shot from 28 ft,,2,49,51,-2,1433.0
0:04.0,Defensive rebound by B. Adebayo,49-51, ,,2,49,51,-2,1436.0
0:01.0,Turnover by B. Adebayo (bad pass),49-51, ,,2,49,51,-2,1439.0
0:00.0,End of 2nd quarter,49-51,,,2,49,51,-2,1440.0
12:00.0,Start of 3rd quarter,49-51,,,3,49,51,-2,1440.0
11:46.0, ,49-54,K. Durant makes 3-pt jump shot from 26 ft (assist by J. Harden),,3,49,54,-5,1454.0
11:31.0,Personal foul by J. Harden (drawn by B. Adebayo),49-54, ,,3,49,54,-5,1469.0
11:21.0,B. Adebayo misses 2-pt jump shot from 19 ft,49-54, ,,3,49,54,-5,1479.0
11:17.0, ,49-54,Defensive rebound by J. Harden,,3,49,54,-5,1483.0
11:09.0, ,49-57,J. Harris makes 3-pt jump shot from 24 ft (assist by B. Griffin),,3,49,57,-8,1491.0
10:55.0,Shooting foul by J. Harden (drawn by B. Adebayo),49-57, ,,3,49,57,-8,1505.0
10:55.0,B. Adebayo makes free throw 1 of 2,50-57, ,,3,50,57,-7,1505.0
10:55.0,B. Adebayo makes free throw 2 of 2,51-57, ,,3,51,57,-6,1505.0
10:36.0, ,51-57,B. Griffin misses 3-pt jump shot from 23 ft,,3,51,57,-6,1524.0
10:33.0,Defensive rebound by B. Adebayo,51-57, ,,3,51,57,-6,1527.0
10:30.0,Shooting foul by B. Griffin (drawn by B. Adebayo),51-57, ,,3,51,57,-6,1530.0
10:30.0,B. Adebayo makes free throw 1 of 2,52-57, ,,3,52,57,-5,1530.0
10:30.0,B. Adebayo makes free throw 2 of 2,53-57, ,,3,53,57,-4,1530.0
10:18.0, ,53-57,B. Griffin misses 3-pt jump shot from 24 ft,,3,53,57,-4,1542.0
10:14.0,Defensive rebound by P. Tucker,53-57, ,,3,53,57,-4,1546.0
10:12.0,K. Lowry makes 3-pt jump shot from 25 ft,56-57, ,,3,56,57,-1,1548.0
9:54.0, ,56-57,J. Harris misses 3-pt jump shot from 25 ft,,3,56,57,-1,1566.0
9:51.0,Defensive rebound by J. Butler,56-57, ,,3,56,57,-1,1569.0
9:46.0,Personal foul by B. Brown (drawn by J. Butler),56-57, ,,3,56,57,-1,1574.0
9:33.0,Offensive foul by J. Butler (drawn by B. Griffin),56-57, ,,3,56,57,-1,1587.0
9:33.0,Turnover by J. Butler (offensive foul),56-57, ,,3,56,57,-1,1587.0
9:19.0, ,56-57,J. Harden misses 3-pt jump shot from 28 ft,,3,56,57,-1,1601.0
9:15.0,Defensive rebound by K. Lowry,56-57, ,,3,56,57,-1,1605.0
9:09.0,P. Tucker misses 3-pt jump shot from 23 ft,56-57, ,,3,56,57,-1,1611.0
9:07.0, ,56-57,Defensive rebound by Team,,3,56,57,-1,1613.0
8:54.0, ,56-57,K. Durant misses 2-pt jump shot from 18 ft,,3,56,57,-1,1626.0
8:52.0,Defensive rebound by J. Butler,56-57, ,,3,56,57,-1,1628.0
8:36.0,P. Tucker makes 2-pt jump shot from 11 ft (assist by K. Lowry),58-57, ,Lead change,3,58,57,1,1644.0
