Time,Golden State,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
7:32.0, ,71-67,Technical foul by E. Spoelstra,,3,67,71,-4,1708.0
7:32.0, ,71-67,Instant Replay,,3,67,71,-4,1708.0
7:32.0,S. Curry makes technical free throw,72-67, ,,3,67,72,-5,1708.0
7:32.0,S. Curry makes free throw 1 of 2,73-67, ,,3,67,73,-6,1708.0
7:32.0,J. Wiseman enters the game for K. Looney,73-67, ,,3,67,73,-6,1708.0
7:32.0,S. Curry makes free throw 2 of 2,74-67, ,,3,67,74,-7,1708.0
7:20.0, ,74-70,M. Strus makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,70,74,-4,1720.0
7:08.0,S. Curry makes 3-pt jump shot from 30 ft,77-70, ,,3,70,77,-7,1732.0
6:53.0, ,77-70,K. Lowry misses 3-pt jump shot from 25 ft,,3,70,77,-7,1747.0
6:52.0, ,77-70,Offensive rebound by Team,,3,70,77,-7,1748.0
6:52.0,Loose ball foul by K. Thompson (drawn by M. Strus),77-70, ,,3,70,77,-7,1748.0
6:52.0, ,77-70,Miami full timeout,,3,70,77,-7,1748.0
6:34.0, ,77-72,K. Lowry makes 2-pt jump shot from 14 ft,,3,72,77,-5,1766.0
6:20.0,J. Wiseman makes 2-pt dunk from 1 ft (assist by S. Curry),79-72, ,,3,72,79,-7,1780.0
6:03.0, ,79-72,Turnover by J. Butler (lost ball; steal by K. Thompson),,3,72,79,-7,1797.0
5:58.0,A. Wiggins makes 3-pt jump shot from 24 ft (assist by S. Curry),82-72, ,,3,72,82,-10,1802.0
5:58.0, ,82-72,Miami full timeout,,3,72,82,-10,1802.0
5:58.0, ,82-72,G. Vincent enters the game for C. Martin,,3,72,82,-10,1802.0
5:43.0, ,82-74,M. Strus makes 2-pt dunk from 1 ft (assist by B. Adebayo),,3,74,82,-8,1817.0
5:21.0,K. Thompson makes 2-pt jump shot from 11 ft (assist by S. Curry),84-74, ,,3,74,84,-10,1839.0
5:03.0, ,84-74,G. Vincent misses 3-pt jump shot from 23 ft,,3,74,84,-10,1857.0
