Time,Miami,Score,LA Clippers,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
4:12.0,M. Strus enters the game for C. Martin,75-74, ,,3,75,74,1,1908.0
4:12.0,G. Vincent enters the game for O. Robinson,75-74, ,,3,75,74,1,1908.0
3:50.0,Turnover by V. Oladipo (bad pass),75-74, ,,3,75,74,1,1930.0
3:28.0, ,75-77,P. George makes 3-pt jump shot from 28 ft,Lead change,3,75,77,-2,1952.0
3:00.0,V. Oladipo misses 2-pt jump shot from 23 ft,75-77, ,,3,75,77,-2,1980.0
2:58.0, ,75-77,Defensive rebound by I. Zubac,,3,75,77,-2,1982.0
2:47.0, ,75-77,P. George misses 3-pt jump shot from 27 ft,,3,75,77,-2,1993.0
2:44.0,Defensive rebound by B. Adebayo,75-77, ,,3,75,77,-2,1996.0
2:37.0,J. Butler makes 2-pt layup from 4 ft (assist by V. Oladipo),77-77, ,Tie,3,77,77,0,2003.0
2:37.0,Shooting foul by P. George (drawn by J. Butler),77-77, ,,3,77,77,0,2003.0
2:37.0,J. Butler misses free throw 1 of 1,77-77, ,,3,77,77,0,2003.0
2:33.0,Offensive rebound by M. Strus,77-77, ,,3,77,77,0,2007.0
2:26.0,B. Adebayo misses 2-pt jump shot from 12 ft,77-77, ,,3,77,77,0,2014.0
2:23.0, ,77-77,Defensive rebound by I. Zubac,,3,77,77,0,2017.0
2:03.0, ,77-79,R. Jackson makes 2-pt jump shot from 10 ft,,3,77,79,-2,2037.0
1:49.0,Shooting foul by I. Zubac (drawn by J. Butler),77-79, ,,3,77,79,-2,2051.0
1:49.0,J. Butler misses free throw 1 of 2,77-79, ,,3,77,79,-2,2051.0
1:49.0,Offensive rebound by Team,77-79, ,,3,77,79,-2,2051.0
1:49.0,T. Herro enters the game for M. Strus,77-79, ,,3,77,79,-2,2051.0
1:49.0, ,77-79,N. Batum enters the game for T. Mann,,3,77,79,-2,2051.0
1:49.0, ,77-79,N. Powell enters the game for I. Zubac,,3,77,79,-2,2051.0
1:49.0,J. Butler makes free throw 2 of 2,78-79, ,,3,78,79,-1,2051.0
1:40.0, ,78-79,Shooting foul by B. Adebayo (drawn by P. George),,3,78,79,-1,2060.0
