Time,Miami,Score,New York,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
6:51.0, ,39-35,J. Randle misses 3-pt jump shot from 24 ft,,2,39,35,4,1029.0
6:49.0,Defensive rebound by B. Adebayo,39-35, ,,2,39,35,4,1031.0
6:29.0,G. Vincent misses 3-pt jump shot from 25 ft,39-35, ,,2,39,35,4,1051.0
6:27.0, ,39-35,Defensive rebound by I. Quickley,,2,39,35,4,1053.0
6:07.0, ,39-37,Q. Grimes makes 2-pt layup from 3 ft (assist by I. Quickley),,2,39,37,2,1073.0
5:48.0,M. Strus misses 3-pt jump shot from 25 ft,39-37, ,,2,39,37,2,1092.0
5:46.0, ,39-37,Defensive rebound by J. Sims,,2,39,37,2,1094.0
5:38.0, ,39-37,E. Fournier misses 3-pt jump shot from 23 ft,,2,39,37,2,1102.0
5:36.0,Defensive rebound by G. Vincent,39-37, ,,2,39,37,2,1104.0
5:29.0,Personal foul by E. Fournier (drawn by B. Adebayo),39-37, ,,2,39,37,2,1111.0
5:29.0,J. Butler enters the game for B. Adebayo,39-37, ,,2,39,37,2,1111.0
5:29.0,U. Haslem enters the game for T. Herro,39-37, ,,2,39,37,2,1111.0
5:29.0,C. Martin enters the game for H. Highsmith,39-37, ,,2,39,37,2,1111.0
5:29.0, ,39-37,R. Barrett enters the game for E. Fournier,,2,39,37,2,1111.0
5:29.0,Violation by Team (delay of game),39-37, ,,2,39,37,2,1111.0
5:21.0,M. Strus makes 3-pt jump shot from 25 ft (assist by G. Vincent),42-37, ,,2,42,37,5,1119.0
5:00.0, ,42-37,Personal foul by G. Vincent (drawn by R. Barrett),,2,42,37,5,1140.0
4:53.0, ,42-37,Personal foul by C. Martin (drawn by J. Randle),,2,42,37,5,1147.0
4:53.0,K. Lowry enters the game for M. Strus,42-37, ,,2,42,37,5,1147.0
4:45.0, ,42-37,J. Randle misses 3-pt jump shot from 23 ft,,2,42,37,5,1155.0
4:43.0,Defensive rebound by G. Vincent,42-37, ,,2,42,37,5,1157.0
4:23.0,C. Martin misses 3-pt jump shot from 25 ft,42-37, ,,2,42,37,5,1177.0
4:22.0, ,42-37,Defensive rebound by Team,,2,42,37,5,1178.0
4:01.0, ,42-40,I. Quickley makes 3-pt jump shot from 23 ft (assist by R. Barrett),,2,42,40,2,1199.0
3:32.0,G. Vincent makes 2-pt jump shot from 17 ft,44-40, ,,2,44,40,4,1228.0
3:21.0, ,44-40,Turnover by J. Randle (bad pass),,2,44,40,4,1239.0
3:21.0,T. Herro enters the game for G. Vincent,44-40, ,,2,44,40,4,1239.0
2:55.0,K. Lowry misses 2-pt jump shot from 21 ft,44-40, ,,2,44,40,4,1265.0
2:53.0, ,44-40,Defensive rebound by I. Quickley,,2,44,40,4,1267.0
2:42.0, ,44-40,Offensive foul by R. Barrett (drawn by C. Martin),,2,44,40,4,1278.0
2:42.0, ,44-40,Turnover by R. Barrett (offensive foul),,2,44,40,4,1278.0
2:42.0,Miami full timeout,44-40, ,,2,44,40,4,1278.0
2:27.0,J. Butler misses 2-pt jump shot from 11 ft,44-40, ,,2,44,40,4,1293.0
2:25.0,Offensive rebound by U. Haslem,44-40, ,,2,44,40,4,1295.0
