Time,Atlanta,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:12.0,Offensive rebound by C. Capela,79-65, ,,3,79,65,14,1488.0
11:07.0,T. Young misses 3-pt jump shot from 25 ft,79-65, ,,3,79,65,14,1493.0
11:05.0, ,79-65,Defensive rebound by A. Sengun,,3,79,65,14,1495.0
10:58.0, ,79-68,J. Smith makes 3-pt jump shot from 27 ft (assist by F. VanVleet),,3,79,68,11,1502.0
10:43.0,Personal foul by F. VanVleet (drawn by D. Hunter),79-68, ,,3,79,68,11,1517.0
10:40.0,D. Murray misses 2-pt jump shot from 3 ft (block by J. Green),79-68, ,,3,79,68,11,1520.0
10:39.0,Offensive rebound by D. Murray,79-68, ,,3,79,68,11,1521.0
10:31.0,S. Bey misses 2-pt jump shot from 11 ft,79-68, ,,3,79,68,11,1529.0
10:30.0, ,79-68,Defensive rebound by J. Smith,,3,79,68,11,1530.0
10:21.0, ,79-70,F. VanVleet makes 2-pt jump shot from 14 ft,,3,79,70,9,1539.0
10:13.0,Personal foul by D. Brooks (drawn by T. Young),79-70, ,,3,79,70,9,1547.0
10:09.0,Shooting foul by D. Brooks (drawn by T. Young),79-70, ,,3,79,70,9,1551.0
10:09.0,T. Young misses free throw 1 of 2,79-70, ,,3,79,70,9,1551.0
10:09.0,Offensive rebound by Team,79-70, ,,3,79,70,9,1551.0
10:09.0, ,79-70,J. Tate enters the game for D. Brooks,,3,79,70,9,1551.0
10:09.0,T. Young makes free throw 2 of 2,80-70, ,,3,80,70,10,1551.0
9:57.0, ,80-70,Personal foul by T. Young (drawn by J. Smith),,3,80,70,10,1563.0
9:49.0, ,80-70,F. VanVleet misses 3-pt jump shot from 26 ft,,3,80,70,10,1571.0
9:48.0, ,80-70,Offensive rebound by A. Sengun,,3,80,70,10,1572.0
9:45.0, ,80-73,J. Green makes 3-pt jump shot from 25 ft (assist by A. Sengun),,3,80,73,7,1575.0
9:32.0,T. Young makes 2-pt layup from 6 ft (assist by C. Capela),82-73, ,,3,82,73,9,1588.0
9:17.0, ,82-75,A. Sengun makes 2-pt jump shot from 14 ft,,3,82,75,7,1603.0
8:58.0,D. Murray makes 2-pt jump shot from 16 ft (assist by C. Capela),84-75, ,,3,84,75,9,1622.0
8:43.0, ,84-77,A. Sengun makes 2-pt jump shot from 6 ft,,3,84,77,7,1637.0
