Time,Atlanta,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:10.0, ,68-81,D. Mitchell misses 2-pt jump shot from 4 ft,,3,68,81,-13,1790.0
6:07.0, ,68-81,Offensive rebound by J. Allen,,3,68,81,-13,1793.0
6:04.0, ,68-81,M. Strus misses 3-pt jump shot from 26 ft,,3,68,81,-13,1796.0
6:02.0,Defensive rebound by S. Bey,68-81, ,,3,68,81,-13,1798.0
5:55.0,S. Bey misses 2-pt jump shot from 14 ft,68-81, ,,3,68,81,-13,1805.0
5:52.0, ,68-81,Defensive rebound by Team,,3,68,81,-13,1808.0
5:52.0,W. Matthews enters the game for S. Bey,68-81, ,,3,68,81,-13,1808.0
5:52.0,P. Mills enters the game for T. Young,68-81, ,,3,68,81,-13,1808.0
5:52.0, ,68-81,C. LeVert enters the game for D. Wade,,3,68,81,-13,1808.0
5:39.0, ,68-81,Personal foul by W. Matthews (drawn by J. Allen),,3,68,81,-13,1821.0
5:38.0, ,68-81,Turnover by C. LeVert (bad pass),,3,68,81,-13,1822.0
5:38.0,B. Fernando enters the game for O. Okongwu,68-81, ,,3,68,81,-13,1822.0
5:26.0,B. Fernando misses 2-pt jump shot from 10 ft,68-81, ,,3,68,81,-13,1834.0
