Time,Philadelphia,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:54.0, ,39-41,J. Johnson makes 2-pt dunk from 2 ft (assist by T. Young),Lead change,2,41,39,2,906.0
8:40.0,T. Harris makes 2-pt jump shot from 12 ft,41-41, ,Tie,2,41,41,0,920.0
8:19.0, ,41-41,Turnover by T. Young (bad pass; steal by T. Maxey),,2,41,41,0,941.0
8:14.0,T. Harris makes 2-pt layup from 1 ft (assist by T. Maxey),43-41, ,Lead change,2,41,43,-2,946.0
8:14.0, ,43-41,Atlanta full timeout,,2,41,43,-2,946.0
8:14.0, ,43-41,S. Bey enters the game for B. Fernando,,2,41,43,-2,946.0
8:14.0, ,43-41,D. Murray enters the game for J. Johnson,,2,41,43,-2,946.0
8:14.0, ,43-41,O. Okongwu enters the game for T. Young,,2,41,43,-2,946.0
7:55.0, ,43-41,Turnover by B. Bogdanović (out of bounds lost ball),,2,41,43,-2,965.0
7:36.0,T. Harris makes 2-pt jump shot from 12 ft,45-41, ,,2,41,45,-4,984.0
7:15.0, ,45-41,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,41,45,-4,1005.0
7:11.0,Defensive rebound by T. Maxey,45-41, ,,2,41,45,-4,1009.0
7:04.0,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Maxey),48-41, ,,2,41,48,-7,1016.0
6:50.0, ,48-43,B. Bogdanović makes 2-pt layup from 1 ft (assist by O. Okongwu),,2,43,48,-5,1030.0
6:50.0, ,48-43,Shooting foul by J. Springer (drawn by B. Bogdanović),,2,43,48,-5,1030.0
6:50.0,N. Batum enters the game for J. Springer,48-43, ,,2,43,48,-5,1030.0
6:50.0, ,48-43,B. Bogdanović misses free throw 1 of 1,,2,43,48,-5,1030.0
6:47.0,Defensive rebound by T. Maxey,48-43, ,,2,43,48,-5,1033.0
6:35.0,D. Melton misses 2-pt jump shot from 19 ft,48-43, ,,2,43,48,-5,1045.0
6:33.0, ,48-43,Defensive rebound by D. Murray,,2,43,48,-5,1047.0
6:25.0, ,48-45,D. Murray makes 2-pt jump shot from 3 ft,,2,45,48,-3,1055.0
6:09.0,T. Maxey misses 2-pt layup from 2 ft,48-45, ,,2,45,48,-3,1071.0
6:06.0,Offensive rebound by N. Batum,48-45, ,,2,45,48,-3,1074.0
6:06.0,N. Batum misses 2-pt layup at rim,48-45, ,,2,45,48,-3,1074.0
6:05.0,Offensive rebound by M. Morris,48-45, ,,2,45,48,-3,1075.0
6:04.0,M. Morris makes 2-pt jump shot from 13 ft,50-45, ,,2,45,50,-5,1076.0
5:52.0, ,50-47,S. Bey makes 2-pt dunk from 1 ft (assist by T. Forrest),,2,47,50,-3,1088.0
5:27.0,T. Maxey misses 3-pt jump shot from 29 ft,50-47, ,,2,47,50,-3,1113.0
5:24.0, ,50-47,Defensive rebound by D. Murray,,2,47,50,-3,1116.0
5:06.0, ,50-47,B. Bogdanović misses 3-pt jump shot from 28 ft,,2,47,50,-3,1134.0
5:05.0, ,50-47,Offensive rebound by S. Bey,,2,47,50,-3,1135.0
5:00.0, ,50-47,Turnover by D. Murray (discontinued dribble),,2,47,50,-3,1140.0
5:00.0, ,50-47,J. Johnson enters the game for B. Bogdanović,,2,47,50,-3,1140.0
5:00.0, ,50-47,T. Young enters the game for T. Forrest,,2,47,50,-3,1140.0
5:00.0, ,50-47,Violation by Team (delay of game),,2,47,50,-3,1140.0
4:42.0,T. Harris misses 2-pt jump shot from 9 ft,50-47, ,,2,47,50,-3,1158.0
4:39.0,Offensive rebound by D. Melton,50-47, ,,2,47,50,-3,1161.0
4:38.0,M. Morris misses 3-pt jump shot from 25 ft,50-47, ,,2,47,50,-3,1162.0
4:34.0, ,50-47,Defensive rebound by J. Johnson,,2,47,50,-3,1166.0
4:22.0, ,50-50,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Young),Tie,2,50,50,0,1178.0
4:11.0,Shooting foul by D. Murray (drawn by T. Maxey),50-50, ,,2,50,50,0,1189.0
4:11.0,T. Maxey makes free throw 1 of 2,51-50, ,,2,50,51,-1,1189.0
4:11.0,K. Oubre enters the game for D. Melton,51-50, ,,2,50,51,-1,1189.0
4:11.0,P. Reed enters the game for M. Morris,51-50, ,,2,50,51,-1,1189.0
4:11.0,T. Maxey makes free throw 2 of 2,52-50, ,,2,50,52,-2,1189.0
3:57.0, ,52-50,T. Young misses 3-pt jump shot from 24 ft,,2,50,52,-2,1203.0
3:54.0,Defensive rebound by P. Reed,52-50, ,,2,50,52,-2,1206.0
3:47.0,P. Reed makes 2-pt layup from 1 ft (assist by T. Maxey),54-50, ,,2,50,54,-4,1213.0
3:35.0, ,54-52,S. Bey makes 2-pt layup from 2 ft (assist by J. Johnson),,2,52,54,-2,1225.0
3:26.0,Offensive foul by N. Batum (drawn by J. Johnson),54-52, ,,2,52,54,-2,1234.0
3:26.0,Turnover by N. Batum (offensive foul),54-52, ,,2,52,54,-2,1234.0
3:06.0, ,54-55,D. Murray makes 3-pt jump shot from 26 ft (assist by T. Young),Lead change,2,55,54,1,1254.0
2:54.0,K. Oubre misses 3-pt jump shot from 26 ft,54-55, ,,2,55,54,1,1266.0
2:52.0, ,54-55,Defensive rebound by J. Johnson,,2,55,54,1,1268.0
2:46.0, ,54-58,T. Young makes 3-pt jump shot from 26 ft (assist by J. Johnson),,2,58,54,4,1274.0
2:44.0,Philadelphia full timeout,54-58, ,,2,58,54,4,1276.0
2:23.0,P. Reed misses 3-pt jump shot from 24 ft,54-58, ,,2,58,54,4,1297.0
2:20.0, ,54-58,Defensive rebound by J. Johnson,,2,58,54,4,1300.0
2:08.0, ,54-58,Turnover by T. Young (bad pass; steal by P. Reed),,2,58,54,4,1312.0
2:00.0,P. Reed misses 2-pt layup from 1 ft,54-58, ,,2,58,54,4,1320.0
1:55.0, ,54-58,Defensive rebound by S. Bey,,2,58,54,4,1325.0
1:48.0, ,54-58,D. Murray misses 2-pt layup from 2 ft,,2,58,54,4,1332.0
1:45.0, ,54-58,Offensive rebound by O. Okongwu,,2,58,54,4,1335.0
1:45.0, ,54-58,O. Okongwu misses 2-pt layup at rim,,2,58,54,4,1335.0
1:44.0,Defensive rebound by P. Reed,54-58, ,,2,58,54,4,1336.0
1:34.0,T. Harris misses 2-pt jump shot from 4 ft,54-58, ,,2,58,54,4,1346.0
1:31.0, ,54-58,Defensive rebound by J. Johnson,,2,58,54,4,1349.0
1:23.0, ,54-58,J. Johnson misses 2-pt jump shot from 11 ft (block by T. Harris),,2,58,54,4,1357.0
1:19.0, ,54-58,Offensive rebound by S. Bey,,2,58,54,4,1361.0
