Time,Atlanta,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:00.0,End of 2nd quarter,57-65,,,2,57,65,-8,1440.0
12:00.0,Start of 3rd quarter,57-65,,,3,57,65,-8,1440.0
11:38.0,Turnover by J. Johnson (traveling),57-65, ,,3,57,65,-8,1462.0
11:16.0, ,57-65,L. Dončić misses 2-pt jump shot from 14 ft,,3,57,65,-8,1484.0
11:14.0,Defensive rebound by C. Capela,57-65, ,,3,57,65,-8,1486.0
11:05.0,B. Bogdanović makes 2-pt jump shot from 17 ft,59-65, ,,3,59,65,-6,1495.0
10:51.0, ,59-67,K. Irving makes 2-pt jump shot from 19 ft,,3,59,67,-8,1509.0
10:37.0,Turnover by B. Bogdanović (bad pass; steal by D. Gafford),59-67, ,,3,59,67,-8,1523.0
10:32.0, ,59-69,D. Gafford makes 2-pt dunk from 1 ft (assist by P. Washington),,3,59,69,-10,1528.0
10:17.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Murray),62-69, ,,3,62,69,-7,1543.0
10:07.0, ,62-69,Turnover by D. Jones (bad pass; steal by J. Johnson),,3,62,69,-7,1553.0
10:02.0,D. Hunter misses 3-pt jump shot from 25 ft,62-69, ,,3,62,69,-7,1558.0
9:58.0, ,62-69,Defensive rebound by P. Washington,,3,62,69,-7,1562.0
9:53.0, ,62-71,D. Gafford makes 2-pt dunk from 2 ft (assist by P. Washington),,3,62,71,-9,1567.0
9:37.0,J. Johnson misses 2-pt layup from 4 ft,62-71, ,,3,62,71,-9,1583.0
9:32.0,Offensive rebound by C. Capela,62-71, ,,3,62,71,-9,1588.0
9:32.0,C. Capela misses 2-pt layup at rim,62-71, ,,3,62,71,-9,1588.0
9:31.0, ,62-71,Defensive rebound by D. Jones,,3,62,71,-9,1589.0
9:20.0, ,62-71,D. Gafford misses 2-pt layup from 2 ft,,3,62,71,-9,1600.0
9:18.0,Defensive rebound by J. Johnson,62-71, ,,3,62,71,-9,1602.0
9:17.0,Turnover by D. Hunter (step out of bounds),62-71, ,,3,62,71,-9,1603.0
9:07.0, ,62-71,K. Irving misses 3-pt jump shot from 25 ft,,3,62,71,-9,1613.0
9:03.0,Defensive rebound by D. Murray,62-71, ,,3,62,71,-9,1617.0
8:59.0,Turnover by D. Hunter (step out of bounds),62-71, ,,3,62,71,-9,1621.0
8:41.0, ,62-71,P. Washington misses 2-pt layup from 5 ft (block by C. Capela),,3,62,71,-9,1639.0
8:39.0,Defensive rebound by D. Hunter,62-71, ,,3,62,71,-9,1641.0
8:33.0,Turnover by B. Bogdanović (bad pass; steal by L. Dončić),62-71, ,,3,62,71,-9,1647.0
8:29.0, ,62-73,D. Jones makes 2-pt dunk from 1 ft (assist by P. Washington),,3,62,73,-11,1651.0
8:29.0,Atlanta full timeout,62-73, ,,3,62,73,-11,1651.0
8:14.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Murray),65-73, ,,3,65,73,-8,1666.0
