Time,Houston,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:08.0, ,42-48,S. Bey makes 2-pt layup from 4 ft (assist by D. Murray),,2,48,42,6,1252.0
2:49.0,D. Brooks misses 3-pt jump shot from 24 ft,42-48, ,,2,48,42,6,1271.0
2:45.0,Offensive rebound by J. Smith,42-48, ,,2,48,42,6,1275.0
2:45.0,J. Smith makes 2-pt layup at rim,44-48, ,,2,48,44,4,1275.0
2:45.0, ,44-48,Atlanta full timeout,,2,48,44,4,1275.0
2:45.0,A. Thompson enters the game for A. Holiday,44-48, ,,2,48,44,4,1275.0
2:24.0, ,44-48,J. Johnson misses 3-pt jump shot from 23 ft,,2,48,44,4,1296.0
2:20.0,Defensive rebound by J. Green,44-48, ,,2,48,44,4,1300.0
2:15.0,J. Green makes 2-pt layup from 2 ft (assist by J. Green),46-48, ,,2,48,46,2,1305.0
2:04.0, ,46-50,D. Murray makes 2-pt layup from 4 ft,,2,50,46,4,1316.0
2:04.0,Violation by Team (def goaltending),46-50, ,,2,50,46,4,1316.0
1:50.0,D. Brooks misses 3-pt jump shot from 26 ft,46-50, ,,2,50,46,4,1330.0
1:47.0, ,46-50,Defensive rebound by J. Johnson,,2,50,46,4,1333.0
1:43.0, ,46-50,T. Young misses 3-pt jump shot from 31 ft,,2,50,46,4,1337.0
1:41.0,Defensive rebound by A. Thompson,46-50, ,,2,50,46,4,1339.0
1:31.0,D. Brooks makes 3-pt jump shot from 26 ft (assist by A. Thompson),49-50, ,,2,50,49,1,1349.0
1:15.0, ,49-53,D. Murray makes 3-pt jump shot from 23 ft (assist by T. Young),,2,53,49,4,1365.0
0:52.0,J. Green misses 3-pt jump shot from 26 ft,49-53, ,,2,53,49,4,1388.0
0:51.0, ,49-53,Defensive rebound by Team,,2,53,49,4,1389.0
0:42.0, ,49-53,Shooting foul by J. Green (drawn by S. Bey),,2,53,49,4,1398.0
0:42.0, ,49-54,S. Bey makes free throw 1 of 2,,2,54,49,5,1398.0
0:42.0, ,49-55,S. Bey makes free throw 2 of 2,,2,55,49,6,1398.0
0:29.0,J. Green misses 2-pt layup from 1 ft (block by J. Johnson),49-55, ,,2,55,49,6,1411.0
0:27.0, ,49-55,Defensive rebound by Team,,2,55,49,6,1413.0
0:03.0, ,49-55,T. Young misses 3-pt jump shot from 26 ft,,2,55,49,6,1437.0
0:01.0, ,49-55,Offensive rebound by J. Johnson,,2,55,49,6,1439.0
0:01.0, ,49-57,J. Johnson makes 2-pt dunk at rim,,2,57,49,8,1439.0
0:00.0,J. Green misses 3-pt jump shot from 52 ft,49-57, ,,2,57,49,8,1440.0
0:00.0,Offensive rebound by Team,49-57, ,,2,57,49,8,1440.0
0:00.0,End of 2nd quarter,49-57,,,2,57,49,8,1440.0
12:00.0,Start of 3rd quarter,49-57,,,3,57,49,8,1440.0
11:40.0, ,49-60,T. Young makes 3-pt jump shot from 29 ft,,3,60,49,11,1460.0
11:23.0,J. Smith misses 3-pt jump shot from 25 ft,49-60, ,,3,60,49,11,1477.0
11:20.0, ,49-60,Defensive rebound by S. Bey,,3,60,49,11,1480.0
11:18.0, ,49-62,J. Johnson makes 2-pt dunk from 1 ft (assist by S. Bey),,3,62,49,13,1482.0
11:05.0,D. Brooks misses 3-pt jump shot from 23 ft,49-62, ,,3,62,49,13,1495.0
11:02.0, ,49-62,Defensive rebound by D. Murray,,3,62,49,13,1498.0
10:55.0, ,49-62,Def 3 sec tech foul by Team,,3,62,49,13,1505.0
10:55.0, ,49-62,T. Young misses technical free throw,,3,62,49,13,1505.0
10:55.0, ,49-62,Offensive rebound by Team,,3,62,49,13,1505.0
10:51.0, ,49-62,Shooting foul by A. Thompson (drawn by D. Murray),,3,62,49,13,1509.0
10:51.0, ,49-62,Instant Replay (Request: Ruling Stands),,3,62,49,13,1509.0
10:51.0, ,49-63,D. Murray makes free throw 1 of 3,,3,63,49,14,1509.0
10:51.0, ,49-64,D. Murray makes free throw 2 of 3,,3,64,49,15,1509.0
10:51.0, ,49-64,D. Murray misses free throw 3 of 3,,3,64,49,15,1509.0
10:49.0,Defensive rebound by A. Thompson,49-64, ,,3,64,49,15,1511.0
10:34.0,J. Smith makes 3-pt jump shot from 25 ft (assist by J. Green),52-64, ,,3,64,52,12,1526.0
10:21.0, ,52-64,S. Bey misses 2-pt dunk from 1 ft (block by J. Smith),,3,64,52,12,1539.0
10:18.0,Defensive rebound by J. Smith,52-64, ,,3,64,52,12,1542.0
10:18.0,Turnover by J. Smith (bad pass; steal by T. Young),52-64, ,,3,64,52,12,1542.0
10:14.0, ,52-64,S. Bey misses 3-pt jump shot from 23 ft,,3,64,52,12,1546.0
10:10.0, ,52-64,Offensive rebound by J. Johnson,,3,64,52,12,1550.0
10:09.0, ,52-64,Shooting foul by J. Green (drawn by O. Okongwu),,3,64,52,12,1551.0
10:09.0, ,52-64,O. Okongwu misses free throw 1 of 2,,3,64,52,12,1551.0
10:09.0, ,52-64,Offensive rebound by Team,,3,64,52,12,1551.0
10:09.0, ,52-64,O. Okongwu misses free throw 2 of 2,,3,64,52,12,1551.0
10:07.0,Defensive rebound by J. Smith,52-64, ,,3,64,52,12,1553.0
9:55.0,J. Smith makes 2-pt layup from 3 ft (assist by J. Green),54-64, ,,3,64,54,10,1565.0
9:40.0, ,54-66,T. Young makes 2-pt layup from 2 ft (assist by O. Okongwu),,3,66,54,12,1580.0
9:35.0,Offensive foul by J. Green (drawn by D. Murray),54-66, ,,3,66,54,12,1585.0
9:35.0,Turnover by J. Green (offensive foul),54-66, ,,3,66,54,12,1585.0
9:20.0, ,54-66,D. Murray misses 2-pt jump shot from 20 ft,,3,66,54,12,1600.0
9:16.0,Defensive rebound by J. Green,54-66, ,,3,66,54,12,1604.0
9:03.0,J. Green makes 3-pt jump shot from 23 ft (assist by D. Brooks),57-66, ,,3,66,57,9,1617.0
8:47.0, ,57-68,T. Young makes 2-pt layup from 7 ft,,3,68,57,11,1633.0
8:34.0,J. Green misses 3-pt jump shot from 25 ft,57-68, ,,3,68,57,11,1646.0
8:31.0, ,57-68,Defensive rebound by O. Okongwu,,3,68,57,11,1649.0
8:22.0, ,57-68,T. Young misses 3-pt jump shot from 26 ft,,3,68,57,11,1658.0
8:19.0,Defensive rebound by A. Thompson,57-68, ,,3,68,57,11,1661.0
8:15.0,A. Thompson makes 2-pt dunk from 1 ft,59-68, ,,3,68,59,9,1665.0
7:56.0, ,59-68,O. Okongwu misses 2-pt hook shot from 8 ft,,3,68,59,9,1684.0
7:52.0, ,59-68,Offensive rebound by S. Bey,,3,68,59,9,1688.0
7:45.0, ,59-70,D. Murray makes 2-pt jump shot from 4 ft,,3,70,59,11,1695.0
7:29.0,J. Green makes 3-pt jump shot from 24 ft (assist by J. Green),62-70, ,,3,70,62,8,1711.0
7:14.0, ,62-70,Shooting foul by A. Thompson (drawn by T. Young),,3,70,62,8,1726.0
7:14.0, ,62-71,T. Young makes free throw 1 of 2,,3,71,62,9,1726.0
7:14.0, ,62-71,T. Young misses free throw 2 of 2,,3,71,62,9,1726.0
7:11.0,Defensive rebound by J. Green,62-71, ,,3,71,62,9,1729.0
7:00.0,Turnover by A. Thompson (bad pass; steal by D. Murray),62-71, ,,3,71,62,9,1740.0
6:55.0, ,62-71,S. Bey misses 3-pt jump shot from 23 ft,,3,71,62,9,1745.0
6:51.0,Defensive rebound by J. Smith,62-71, ,,3,71,62,9,1749.0
6:42.0,J. Green makes 2-pt layup from 1 ft (assist by J. Smith),64-71, ,,3,71,64,7,1758.0
6:42.0,Shooting foul by O. Okongwu (drawn by J. Green),64-71, ,,3,71,64,7,1758.0
6:42.0, ,64-71,Atlanta full timeout,,3,71,64,7,1758.0
6:42.0,A. Holiday enters the game for A. Thompson,64-71, ,,3,71,64,7,1758.0
6:42.0, ,64-71,B. Bogdanović enters the game for O. Okongwu,,3,71,64,7,1758.0
6:42.0, ,64-71,K. Bufkin enters the game for T. Young,,3,71,64,7,1758.0
6:42.0,J. Green makes free throw 1 of 1,65-71, ,,3,71,65,6,1758.0
6:30.0, ,65-74,D. Murray makes 3-pt jump shot from 23 ft (assist by J. Johnson),,3,74,65,9,1770.0
6:11.0,D. Brooks misses 2-pt jump shot from 21 ft,65-74, ,,3,74,65,9,1789.0
6:08.0, ,65-74,Defensive rebound by D. Murray,,3,74,65,9,1792.0
5:57.0, ,65-77,K. Bufkin makes 3-pt jump shot from 25 ft (assist by J. Johnson),,3,77,65,12,1803.0
5:41.0,J. Green makes 3-pt jump shot from 25 ft,68-77, ,,3,77,68,9,1819.0
