Time,Sacramento,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:13.0, ,56-73,Shooting foul by D. Fox (drawn by T. Young),,3,73,56,17,1487.0
11:13.0, ,56-74,T. Young makes free throw 1 of 1,,3,74,56,18,1487.0
10:58.0,D. Sabonis makes 2-pt jump shot from 12 ft,58-74, ,,3,74,58,16,1502.0
10:39.0, ,58-74,Turnover by C. Capela (lost ball; steal by D. Fox),,3,74,58,16,1521.0
10:35.0,D. Fox misses 3-pt jump shot from 26 ft,58-74, ,,3,74,58,16,1525.0
10:32.0, ,58-74,Defensive rebound by D. Murray,,3,74,58,16,1528.0
10:26.0, ,58-74,D. Murray misses 2-pt jump shot from 5 ft,,3,74,58,16,1534.0
10:22.0,Defensive rebound by K. Murray,58-74, ,,3,74,58,16,1538.0
10:17.0,K. Huerter misses 2-pt layup from 2 ft,58-74, ,,3,74,58,16,1543.0
10:14.0,Offensive rebound by D. Sabonis,58-74, ,,3,74,58,16,1546.0
10:12.0,K. Huerter makes 3-pt jump shot from 24 ft (assist by D. Sabonis),61-74, ,,3,74,61,13,1548.0
9:49.0, ,61-76,D. Murray makes 2-pt jump shot from 8 ft (assist by S. Bey),,3,76,61,15,1571.0
9:29.0,K. Murray misses 2-pt jump shot from 20 ft,61-76, ,,3,76,61,15,1591.0
9:27.0, ,61-76,Defensive rebound by J. Johnson,,3,76,61,15,1593.0
9:24.0, ,61-76,Turnover by J. Johnson (lost ball; steal by K. Murray),,3,76,61,15,1596.0
9:17.0,D. Fox misses 3-pt jump shot from 25 ft,61-76, ,,3,76,61,15,1603.0
9:14.0, ,61-76,Defensive rebound by J. Johnson,,3,76,61,15,1606.0
9:07.0, ,61-76,D. Murray misses 2-pt layup from 4 ft,,3,76,61,15,1613.0
9:04.0,Defensive rebound by D. Sabonis,61-76, ,,3,76,61,15,1616.0
8:54.0,K. Murray misses 2-pt jump shot from 7 ft,61-76, ,,3,76,61,15,1626.0
8:51.0, ,61-76,Defensive rebound by S. Bey,,3,76,61,15,1629.0
8:43.0, ,61-78,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,3,78,61,17,1637.0
8:43.0,Sacramento full timeout,61-78, ,,3,78,61,17,1637.0
8:29.0,K. Huerter makes 2-pt jump shot from 11 ft (assist by D. Sabonis),63-78, ,,3,78,63,15,1651.0
8:15.0, ,63-78,Turnover by J. Johnson (traveling),,3,78,63,15,1665.0
8:05.0,D. Fox misses 2-pt jump shot from 18 ft,63-78, ,,3,78,63,15,1675.0
8:01.0, ,63-78,Defensive rebound by C. Capela,,3,78,63,15,1679.0
7:53.0, ,63-78,S. Bey misses 3-pt jump shot from 23 ft,,3,78,63,15,1687.0
7:50.0,Defensive rebound by K. Huerter,63-78, ,,3,78,63,15,1690.0
7:43.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Fox),65-78, ,,3,78,65,13,1697.0
7:26.0, ,65-78,T. Young misses 3-pt jump shot from 26 ft,,3,78,65,13,1714.0
7:22.0,Defensive rebound by K. Murray,65-78, ,,3,78,65,13,1718.0
7:20.0,Shooting foul by T. Young (drawn by H. Barnes),65-78, ,,3,78,65,13,1720.0
7:20.0,H. Barnes makes free throw 1 of 2,66-78, ,,3,78,66,12,1720.0
7:20.0,M. Monk enters the game for K. Huerter,66-78, ,,3,78,66,12,1720.0
7:20.0,H. Barnes makes free throw 2 of 2,67-78, ,,3,78,67,11,1720.0
7:07.0, ,67-78,C. Capela misses 2-pt hook shot from 4 ft,,3,78,67,11,1733.0
7:02.0,Defensive rebound by D. Fox,67-78, ,,3,78,67,11,1738.0
6:57.0,K. Murray misses 3-pt jump shot from 22 ft,67-78, ,,3,78,67,11,1743.0
6:56.0, ,67-78,Defensive rebound by Team,,3,78,67,11,1744.0
6:56.0,Loose ball foul by H. Barnes (drawn by T. Young),67-78, ,,3,78,67,11,1744.0
6:43.0, ,67-78,C. Capela misses 2-pt layup from 8 ft,,3,78,67,11,1757.0
6:42.0, ,67-78,Offensive rebound by Team,,3,78,67,11,1758.0
6:40.0, ,67-78,D. Murray misses 3-pt jump shot from 23 ft,,3,78,67,11,1760.0
6:37.0,Defensive rebound by D. Sabonis,67-78, ,,3,78,67,11,1763.0
6:34.0,Shooting foul by J. Johnson (drawn by D. Fox),67-78, ,,3,78,67,11,1766.0
6:34.0,D. Fox makes free throw 1 of 2,68-78, ,,3,78,68,10,1766.0
6:34.0, ,68-78,B. Bogdanović enters the game for J. Johnson,,3,78,68,10,1766.0
6:34.0, ,68-78,G. Mathews enters the game for T. Young,,3,78,68,10,1766.0
6:34.0,D. Fox makes free throw 2 of 2,69-78, ,,3,78,69,9,1766.0
6:22.0, ,69-78,Turnover by D. Murray (bad pass; steal by D. Fox),,3,78,69,9,1778.0
6:16.0,D. Fox makes 2-pt layup from 1 ft,71-78, ,,3,78,71,7,1784.0
6:16.0,Shooting foul by D. Murray (drawn by D. Fox),71-78, ,,3,78,71,7,1784.0
6:16.0, ,71-78,Atlanta full timeout,,3,78,71,7,1784.0
6:16.0, ,71-78,O. Okongwu enters the game for C. Capela,,3,78,71,7,1784.0
6:16.0,D. Fox misses free throw 1 of 1,71-78, ,,3,78,71,7,1784.0
6:12.0, ,71-78,Defensive rebound by B. Bogdanović,,3,78,71,7,1788.0
6:09.0, ,71-78,Personal foul by D. Sabonis (drawn by O. Okongwu),,3,78,71,7,1791.0
5:51.0, ,71-81,S. Bey makes 3-pt jump shot from 23 ft (assist by O. Okongwu),,3,81,71,10,1809.0
