Time,LA Lakers,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:58.0,Defensive rebound by J. Hayes,58-78, ,,3,78,58,20,1622.0
8:53.0,T. Prince misses 3-pt jump shot from 23 ft,58-78, ,,3,78,58,20,1627.0
8:50.0, ,58-78,Defensive rebound by C. Capela,,3,78,58,20,1630.0
8:41.0, ,58-78,Turnover by D. Murray (bad pass; steal by L. James),,3,78,58,20,1639.0
8:37.0,L. James makes 2-pt layup from 1 ft,60-78, ,,3,78,60,18,1643.0
8:30.0, ,60-80,T. Young makes 2-pt layup from 2 ft,,3,80,60,20,1650.0
8:19.0,A. Reaves makes 3-pt jump shot from 26 ft,63-80, ,,3,80,63,17,1661.0
8:07.0, ,63-80,Personal foul by A. Reaves (drawn by C. Capela),,3,80,63,17,1673.0
8:01.0, ,63-80,T. Young misses 2-pt layup from 3 ft,,3,80,63,17,1679.0
7:57.0, ,63-80,Offensive rebound by C. Capela,,3,80,63,17,1683.0
7:57.0, ,63-80,C. Capela misses 2-pt layup at rim,,3,80,63,17,1683.0
7:56.0,Defensive rebound by T. Prince,63-80, ,,3,80,63,17,1684.0
7:54.0,Shooting foul by S. Bey (drawn by L. James),63-80, ,,3,80,63,17,1686.0
7:54.0,L. James makes free throw 1 of 2,64-80, ,,3,80,64,16,1686.0
7:54.0,L. James misses free throw 2 of 2,64-80, ,,3,80,64,16,1686.0
7:51.0, ,64-80,Defensive rebound by S. Bey,,3,80,64,16,1689.0
7:37.0, ,64-80,Shooting foul by L. James (drawn by S. Bey),,3,80,64,16,1703.0
7:37.0, ,64-81,S. Bey makes free throw 1 of 2,,3,81,64,17,1703.0
7:37.0, ,64-82,S. Bey makes free throw 2 of 2,,3,82,64,18,1703.0
7:30.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Hayes),67-82, ,,3,82,67,15,1710.0
7:16.0, ,67-82,T. Young misses 2-pt jump shot from 6 ft,,3,82,67,15,1724.0
7:12.0, ,67-82,Offensive rebound by C. Capela,,3,82,67,15,1728.0
7:12.0, ,67-84,C. Capela makes 2-pt layup at rim,,3,84,67,17,1728.0
6:59.0,Turnover by A. Reaves (bad pass; steal by J. Johnson),67-84, ,,3,84,67,17,1741.0
6:54.0, ,67-87,T. Young makes 3-pt jump shot from 25 ft (assist by J. Johnson),,3,87,67,20,1746.0
6:41.0,L. James makes 3-pt jump shot from 26 ft (assist by D. Russell),70-87, ,,3,87,70,17,1759.0
6:28.0, ,70-87,J. Johnson misses 2-pt layup from 5 ft (block by J. Hayes),,3,87,70,17,1772.0
6:27.0, ,70-87,Offensive rebound by Team,,3,87,70,17,1773.0
6:27.0,J. Vanderbilt enters the game for A. Reaves,70-87, ,,3,87,70,17,1773.0
6:27.0, ,70-87,B. Bogdanović enters the game for J. Johnson,,3,87,70,17,1773.0
6:27.0, ,70-87,D. Hunter enters the game for T. Young,,3,87,70,17,1773.0
6:22.0, ,70-87,D. Murray misses 2-pt jump shot from 16 ft,,3,87,70,17,1778.0
6:20.0,Defensive rebound by L. James,70-87, ,,3,87,70,17,1780.0
6:13.0,L. James misses 3-pt jump shot from 26 ft,70-87, ,,3,87,70,17,1787.0
6:10.0, ,70-87,Defensive rebound by D. Murray,,3,87,70,17,1790.0
6:07.0, ,70-87,S. Bey misses 3-pt jump shot from 26 ft,,3,87,70,17,1793.0
6:04.0,Defensive rebound by T. Prince,70-87, ,,3,87,70,17,1796.0
5:54.0,D. Russell makes 2-pt jump shot from 13 ft,72-87, ,,3,87,72,15,1806.0
5:54.0, ,72-87,Atlanta full timeout,,3,87,72,15,1806.0
5:54.0,M. Christie enters the game for J. Hayes,72-87, ,,3,87,72,15,1806.0
5:54.0,C. Wood enters the game for T. Prince,72-87, ,,3,87,72,15,1806.0
5:54.0, ,72-87,O. Okongwu enters the game for C. Capela,,3,87,72,15,1806.0
5:40.0, ,72-87,B. Bogdanović misses 2-pt jump shot from 16 ft,,3,87,72,15,1820.0
5:37.0,Defensive rebound by L. James,72-87, ,,3,87,72,15,1823.0
5:29.0,C. Wood makes 2-pt dunk from 2 ft (assist by J. Vanderbilt),74-87, ,,3,87,74,13,1831.0
5:15.0, ,74-87,S. Bey misses 2-pt layup from 2 ft (block by M. Christie),,3,87,74,13,1845.0
5:12.0, ,74-87,Offensive rebound by S. Bey,,3,87,74,13,1848.0
5:11.0, ,74-90,D. Hunter makes 3-pt jump shot from 26 ft (assist by S. Bey),,3,90,74,16,1849.0
4:52.0,C. Wood misses 2-pt layup from 1 ft (block by O. Okongwu),74-90, ,,3,90,74,16,1868.0
4:50.0, ,74-90,Defensive rebound by O. Okongwu,,3,90,74,16,1870.0
4:46.0, ,74-90,S. Bey misses 3-pt jump shot from 26 ft,,3,90,74,16,1874.0
