Time,Atlanta,Score,Denver,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:51.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by C. Capela),56-66, ,,2,56,66,-10,1389.0
0:34.0, ,56-69,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by J. Murray),,2,56,69,-13,1406.0
0:29.0,D. Murray misses 3-pt jump shot from 25 ft (block by P. Watson),56-69, ,,2,56,69,-13,1411.0
0:25.0, ,56-69,Defensive rebound by J. Murray,,2,56,69,-13,1415.0
0:19.0, ,56-69,Turnover by J. Murray (lost ball; steal by D. Murray),,2,56,69,-13,1421.0
0:01.0,J. Johnson misses 3-pt jump shot from 23 ft,56-69, ,,2,56,69,-13,1439.0
0:01.0, ,56-69,Defensive rebound by N. Jokić,,2,56,69,-13,1439.0
0:00.0,End of 2nd quarter,56-69,,,2,56,69,-13,1440.0
12:00.0,Start of 3rd quarter,56-69,,,3,56,69,-13,1440.0
11:45.0, ,56-69,Turnover by J. Murray (bad pass; steal by B. Bogdanović),,3,56,69,-13,1455.0
11:43.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Murray),58-69, ,,3,58,69,-11,1457.0
11:22.0, ,58-72,N. Jokić makes 3-pt jump shot from 26 ft (assist by C. Braun),,3,58,72,-14,1478.0
11:04.0,C. Capela makes 2-pt layup from 1 ft (assist by B. Bogdanović),60-72, ,,3,60,72,-12,1496.0
11:04.0,Shooting foul by N. Jokić (drawn by C. Capela),60-72, ,,3,60,72,-12,1496.0
11:04.0,C. Capela makes free throw 1 of 1,61-72, ,,3,61,72,-11,1496.0
10:47.0, ,61-75,M. Porter makes 3-pt jump shot from 22 ft (assist by N. Jokić),,3,61,75,-14,1513.0
10:31.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by D. Murray),64-75, ,,3,64,75,-11,1529.0
10:19.0, ,64-78,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by N. Jokić),,3,64,78,-14,1541.0
9:54.0,J. Johnson makes 2-pt jump shot from 11 ft (assist by D. Murray),66-78, ,,3,66,78,-12,1566.0
9:45.0, ,66-78,Turnover by N. Jokić (out of bounds lost ball),,3,66,78,-12,1575.0
9:38.0,Offensive foul by B. Bogdanović (drawn by C. Braun),66-78, ,,3,66,78,-12,1582.0
9:38.0,Turnover by B. Bogdanović (offensive foul),66-78, ,,3,66,78,-12,1582.0
9:28.0, ,66-78,Turnover by J. Murray (bad pass; steal by C. Capela),,3,66,78,-12,1592.0
9:23.0,C. Capela makes 2-pt layup from 1 ft (assist by D. Murray),68-78, ,,3,68,78,-10,1597.0
9:23.0, ,68-78,Denver full timeout,,3,68,78,-10,1597.0
9:11.0, ,68-78,M. Porter misses 3-pt jump shot from 25 ft,,3,68,78,-10,1609.0
9:08.0, ,68-78,Offensive rebound by N. Jokić,,3,68,78,-10,1612.0
9:06.0, ,68-78,M. Porter misses 2-pt layup from 4 ft (block by D. Murray),,3,68,78,-10,1614.0
9:04.0, ,68-78,Offensive rebound by Team,,3,68,78,-10,1616.0
8:57.0, ,68-80,N. Jokić makes 2-pt jump shot from 15 ft,,3,68,80,-12,1623.0
8:40.0,D. Murray makes 3-pt jump shot from 27 ft (assist by D. Hunter),71-80, ,,3,71,80,-9,1640.0
8:29.0, ,71-82,J. Murray makes 2-pt layup from 4 ft,,3,71,82,-11,1651.0
8:29.0, ,71-82,Shooting foul by D. Hunter (drawn by J. Murray),,3,71,82,-11,1651.0
8:29.0, ,71-83,J. Murray makes free throw 1 of 1,,3,71,83,-12,1651.0
8:10.0,D. Murray misses 3-pt jump shot from 25 ft,71-83, ,,3,71,83,-12,1670.0
8:07.0, ,71-83,Defensive rebound by N. Jokić,,3,71,83,-12,1673.0
8:00.0, ,71-85,J. Murray makes 2-pt jump shot from 20 ft (assist by N. Jokić),,3,71,85,-14,1680.0
7:45.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Johnson),74-85, ,,3,74,85,-11,1695.0
7:25.0, ,74-85,N. Jokić misses 2-pt jump shot from 16 ft,,3,74,85,-11,1715.0
7:23.0,Defensive rebound by B. Bogdanović,74-85, ,,3,74,85,-11,1717.0
7:18.0,J. Johnson misses 2-pt layup from 2 ft (block by J. Murray),74-85, ,,3,74,85,-11,1722.0
7:13.0, ,74-85,Defensive rebound by N. Jokić,,3,74,85,-11,1727.0
7:09.0, ,74-88,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by M. Porter),,3,74,88,-14,1731.0
6:55.0,D. Hunter misses 3-pt jump shot from 24 ft,74-88, ,,3,74,88,-14,1745.0
6:52.0, ,74-88,Defensive rebound by M. Porter,,3,74,88,-14,1748.0
6:48.0, ,74-88,Personal foul by B. Bogdanović (drawn by M. Porter),,3,74,88,-14,1752.0
6:48.0,V. Krejci enters the game for B. Bogdanović,74-88, ,,3,74,88,-14,1752.0
6:48.0,G. Mathews enters the game for J. Johnson,74-88, ,,3,74,88,-14,1752.0
6:45.0, ,74-88,M. Porter misses 3-pt jump shot from 28 ft,,3,74,88,-14,1755.0
6:42.0,Defensive rebound by V. Krejci,74-88, ,,3,74,88,-14,1758.0
6:34.0,D. Murray misses 2-pt jump shot from 3 ft,74-88, ,,3,74,88,-14,1766.0
6:32.0, ,74-88,Defensive rebound by N. Jokić,,3,74,88,-14,1768.0
6:30.0, ,74-90,M. Porter makes 2-pt dunk from 1 ft (assist by N. Jokić),,3,74,90,-16,1770.0
6:13.0,G. Mathews makes 2-pt jump shot from 15 ft (assist by C. Capela),76-90, ,,3,76,90,-14,1787.0
5:55.0, ,76-93,C. Braun makes 3-pt jump shot from 23 ft (assist by J. Murray),,3,76,93,-17,1805.0
5:54.0,Atlanta full timeout,76-93, ,,3,76,93,-17,1806.0
5:54.0, ,76-93,R. Jackson enters the game for J. Murray,,3,76,93,-17,1806.0
5:41.0,D. Murray makes 2-pt layup from 1 ft (assist by V. Krejci),78-93, ,,3,78,93,-15,1819.0
5:17.0, ,78-93,N. Jokić misses 2-pt jump shot from 19 ft,,3,78,93,-15,1843.0
