Time,Denver,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:22.0, ,57-64,D. White makes 2-pt jump shot from 10 ft,,3,64,57,7,1538.0
10:11.0,M. Porter makes 2-pt dunk at rim (assist by N. Jokić),59-64, ,,3,64,59,5,1549.0
10:11.0,Shooting foul by K. Porziņģis (drawn by M. Porter),59-64, ,,3,64,59,5,1549.0
10:11.0,M. Porter misses free throw 1 of 1,59-64, ,,3,64,59,5,1549.0
10:11.0, ,59-64,Defensive rebound by J. Tatum,,3,64,59,5,1549.0
9:58.0, ,59-64,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,64,59,5,1562.0
9:55.0,Defensive rebound by J. Murray,59-64, ,,3,64,59,5,1565.0
9:38.0,J. Murray makes 3-pt jump shot from 27 ft (assist by N. Jokić),62-64, ,,3,64,62,2,1582.0
9:24.0, ,62-64,J. Holiday misses 3-pt jump shot from 25 ft,,3,64,62,2,1596.0
9:21.0,Defensive rebound by A. Gordon,62-64, ,,3,64,62,2,1599.0
9:13.0,M. Porter misses 3-pt jump shot from 25 ft,62-64, ,,3,64,62,2,1607.0
9:11.0, ,62-64,Defensive rebound by D. White,,3,64,62,2,1609.0
8:57.0, ,62-66,J. Brown makes 2-pt layup from 4 ft,,3,66,62,4,1623.0
8:42.0,N. Jokić makes 2-pt hook shot from 3 ft,64-66, ,,3,66,64,2,1638.0
8:23.0, ,64-66,K. Porziņģis misses 2-pt hook shot from 7 ft,,3,66,64,2,1657.0
8:22.0,Defensive rebound by N. Jokić,64-66, ,,3,66,64,2,1658.0
8:10.0,Turnover by N. Jokić (bad pass; steal by D. White),64-66, ,,3,66,64,2,1670.0
8:05.0, ,64-68,J. Tatum makes 2-pt layup from 3 ft,,3,68,64,4,1675.0
7:46.0,K. Caldwell-Pope misses 3-pt jump shot from 28 ft,64-68, ,,3,68,64,4,1694.0
7:43.0,Offensive rebound by M. Porter,64-68, ,,3,68,64,4,1697.0
7:34.0,J. Murray makes 2-pt layup from 6 ft,66-68, ,,3,68,66,2,1706.0
7:15.0, ,66-68,J. Tatum misses 2-pt layup from 6 ft,,3,68,66,2,1725.0
7:13.0,Defensive rebound by K. Caldwell-Pope,66-68, ,,3,68,66,2,1727.0
7:00.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by J. Murray),69-68, ,Lead change,3,68,69,-1,1740.0
6:57.0, ,69-68,Boston full timeout,,3,68,69,-1,1743.0
6:57.0, ,69-68,A. Horford enters the game for J. Holiday,,3,68,69,-1,1743.0
6:46.0, ,69-68,Personal foul by M. Porter (drawn by K. Porziņģis),,3,68,69,-1,1754.0
6:35.0, ,69-68,J. Brown misses 3-pt jump shot from 25 ft,,3,68,69,-1,1765.0
6:32.0, ,69-68,Offensive rebound by A. Horford,,3,68,69,-1,1768.0
6:31.0, ,69-68,D. White misses 3-pt jump shot from 26 ft,,3,68,69,-1,1769.0
6:28.0, ,69-68,Offensive rebound by K. Porziņģis,,3,68,69,-1,1772.0
6:21.0, ,69-71,D. White makes 3-pt jump shot from 27 ft (assist by A. Horford),Lead change,3,71,69,2,1779.0
6:00.0,N. Jokić misses 2-pt jump shot from 8 ft,69-71, ,,3,71,69,2,1800.0
5:59.0, ,69-71,Defensive rebound by A. Horford,,3,71,69,2,1801.0
5:50.0, ,69-71,D. White misses 3-pt jump shot from 27 ft,,3,71,69,2,1810.0
5:47.0,Defensive rebound by K. Caldwell-Pope,69-71, ,,3,71,69,2,1813.0
5:42.0,Offensive foul by A. Gordon (drawn by D. White),69-71, ,,3,71,69,2,1818.0
5:42.0,Turnover by A. Gordon (offensive foul),69-71, ,,3,71,69,2,1818.0
5:30.0, ,69-74,A. Horford makes 3-pt jump shot from 27 ft (assist by D. White),,3,74,69,5,1830.0
5:10.0,A. Gordon misses 3-pt jump shot from 25 ft,69-74, ,,3,74,69,5,1850.0
5:08.0, ,69-74,Defensive rebound by J. Brown,,3,74,69,5,1852.0
4:54.0, ,69-76,D. White makes 2-pt jump shot from 8 ft (assist by K. Porziņģis),,3,76,69,7,1866.0
4:54.0, ,69-76,Shooting foul by M. Porter (drawn by D. White),,3,76,69,7,1866.0
4:54.0,R. Jackson enters the game for J. Murray,69-76, ,,3,76,69,7,1866.0
4:54.0, ,69-76,S. Hauser enters the game for K. Porziņģis,,3,76,69,7,1866.0
4:54.0, ,69-76,J. Holiday enters the game for J. Tatum,,3,76,69,7,1866.0
4:54.0, ,69-77,D. White makes free throw 1 of 1,,3,77,69,8,1866.0
4:37.0,Personal foul by S. Hauser (drawn by K. Caldwell-Pope),69-77, ,,3,77,69,8,1883.0
4:25.0,Shooting foul by J. Brown (drawn by N. Jokić),69-77, ,,3,77,69,8,1895.0
4:25.0,N. Jokić makes free throw 1 of 2,70-77, ,,3,77,70,7,1895.0
4:25.0,P. Watson enters the game for K. Caldwell-Pope,70-77, ,,3,77,70,7,1895.0
4:25.0,N. Jokić makes free throw 2 of 2,71-77, ,,3,77,71,6,1895.0
