Time,Boston,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:43.0,J. Tatum misses 3-pt jump shot from 23 ft,79-60, ,,3,79,60,19,1697.0
7:41.0, ,79-60,Defensive rebound by V. Wembanyama,,3,79,60,19,1699.0
7:35.0, ,79-60,V. Wembanyama misses 3-pt jump shot from 29 ft,,3,79,60,19,1705.0
7:32.0,Defensive rebound by J. Tatum,79-60, ,,3,79,60,19,1708.0
7:26.0,Shooting foul by J. Champagnie (drawn by J. Brown),79-60, ,,3,79,60,19,1714.0
7:26.0,J. Brown misses free throw 1 of 2,79-60, ,,3,79,60,19,1714.0
7:26.0,Offensive rebound by Team,79-60, ,,3,79,60,19,1714.0
7:26.0,J. Brown misses free throw 2 of 2,79-60, ,,3,79,60,19,1714.0
7:21.0,Offensive rebound by K. Porziņģis,79-60, ,,3,79,60,19,1719.0
7:21.0,K. Porziņģis makes 2-pt layup at rim,81-60, ,,3,81,60,21,1719.0
7:05.0, ,81-62,M. Branham makes 2-pt layup from 2 ft (assist by V. Wembanyama),,3,81,62,19,1735.0
6:58.0,J. Brown makes 3-pt jump shot from 25 ft,84-62, ,,3,84,62,22,1742.0
6:41.0, ,84-62,J. Champagnie misses 3-pt jump shot from 25 ft,,3,84,62,22,1759.0
6:38.0,Defensive rebound by A. Horford,84-62, ,,3,84,62,22,1762.0
6:31.0,A. Horford makes 2-pt jump shot from 16 ft (assist by D. White),86-62, ,,3,86,62,24,1769.0
6:20.0, ,86-62,M. Branham misses 3-pt jump shot from 26 ft,,3,86,62,24,1780.0
6:15.0, ,86-62,Offensive rebound by V. Wembanyama,,3,86,62,24,1785.0
6:15.0, ,86-64,V. Wembanyama makes 2-pt dunk at rim,,3,86,64,22,1785.0
5:54.0,K. Porziņģis misses 2-pt jump shot from 11 ft,86-64, ,,3,86,64,22,1806.0
5:52.0, ,86-64,Defensive rebound by J. Champagnie,,3,86,64,22,1808.0
5:47.0, ,86-64,Turnover by J. Champagnie (bad pass; steal by J. Brown),,3,86,64,22,1813.0
5:45.0,D. White makes 2-pt dunk from 1 ft (assist by J. Brown),88-64, ,,3,88,64,24,1815.0
5:29.0, ,88-64,V. Wembanyama misses 3-pt jump shot from 26 ft,,3,88,64,24,1831.0
5:26.0,Defensive rebound by J. Tatum,88-64, ,,3,88,64,24,1834.0
5:13.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Tatum),90-64, ,,3,90,64,26,1847.0
5:03.0, ,90-64,Turnover by M. Branham (bad pass; steal by J. Brown),,3,90,64,26,1857.0
4:59.0,J. Brown makes 2-pt dunk from 1 ft,92-64, ,,3,92,64,28,1861.0
4:48.0, ,92-64,Shooting foul by K. Porziņģis (drawn by V. Wembanyama),,3,92,64,28,1872.0
4:48.0, ,92-65,V. Wembanyama makes free throw 1 of 2,,3,92,65,27,1872.0
4:48.0,S. Hauser enters the game for J. Tatum,92-65, ,,3,92,65,27,1872.0
4:48.0, ,92-65,T. Jones enters the game for M. Branham,,3,92,65,27,1872.0
4:48.0, ,92-65,C. Osman enters the game for J. Champagnie,,3,92,65,27,1872.0
4:48.0, ,92-66,V. Wembanyama makes free throw 2 of 2,,3,92,66,26,1872.0
4:34.0,Shooting foul by D. Vassell (drawn by J. Brown),92-66, ,,3,92,66,26,1886.0
4:34.0,J. Brown makes free throw 1 of 2,93-66, ,,3,93,66,27,1886.0
4:34.0,O. Brissett enters the game for A. Horford,93-66, ,,3,93,66,27,1886.0
4:34.0, ,93-66,D. Barlow enters the game for J. Sochan,,3,93,66,27,1886.0
4:34.0, ,93-66,M. Branham enters the game for V. Wembanyama,,3,93,66,27,1886.0
4:34.0,J. Brown makes free throw 2 of 2,94-66, ,,3,94,66,28,1886.0
4:21.0, ,94-68,T. Jones makes 2-pt layup from 1 ft,,3,94,68,26,1899.0
4:01.0,K. Porziņģis makes 2-pt jump shot from 6 ft,96-68, ,,3,96,68,28,1919.0
3:51.0, ,96-68,D. Vassell misses 2-pt layup from 5 ft,,3,96,68,28,1929.0
3:49.0,Defensive rebound by K. Porziņģis,96-68, ,,3,96,68,28,1931.0
3:42.0,K. Porziņģis misses 3-pt jump shot from 29 ft,96-68, ,,3,96,68,28,1938.0
3:39.0, ,96-68,Defensive rebound by D. Vassell,,3,96,68,28,1941.0
3:27.0, ,96-68,M. Branham misses 2-pt layup from 4 ft,,3,96,68,28,1953.0
3:22.0, ,96-68,Offensive rebound by D. Barlow,,3,96,68,28,1958.0
3:21.0, ,96-70,D. Vassell makes 2-pt jump shot at rim (assist by D. Barlow),,3,96,70,26,1959.0
3:06.0,J. Brown misses 2-pt layup from 1 ft,96-70, ,,3,96,70,26,1974.0
3:03.0, ,96-70,Defensive rebound by D. Barlow,,3,96,70,26,1977.0
2:59.0, ,96-70,M. Branham misses 3-pt jump shot from 25 ft,,3,96,70,26,1981.0
2:55.0,Defensive rebound by J. Brown,96-70, ,,3,96,70,26,1985.0
2:35.0,J. Brown misses 2-pt jump shot from 17 ft,96-70, ,,3,96,70,26,2005.0
2:29.0,Offensive rebound by O. Brissett,96-70, ,,3,96,70,26,2011.0
2:29.0,O. Brissett misses 2-pt layup at rim,96-70, ,,3,96,70,26,2011.0
2:27.0,Offensive rebound by O. Brissett,96-70, ,,3,96,70,26,2013.0
