Time,Boston,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:23.0,Defensive rebound by K. Porziņģis,72-64, ,,3,72,64,8,1717.0
7:13.0,Turnover by J. Tatum (bad pass; steal by C. McCollum),72-64, ,,3,72,64,8,1727.0
7:02.0, ,72-64,T. Murphy misses 2-pt layup from 3 ft (block by J. Brown),,3,72,64,8,1738.0
7:01.0,Defensive rebound by Team,72-64, ,,3,72,64,8,1739.0
6:46.0,D. White misses 3-pt jump shot from 26 ft,72-64, ,,3,72,64,8,1754.0
6:42.0, ,72-64,Defensive rebound by C. McCollum,,3,72,64,8,1758.0
6:35.0, ,72-64,L. Nance misses 3-pt jump shot from 26 ft,,3,72,64,8,1765.0
6:32.0,Defensive rebound by D. White,72-64, ,,3,72,64,8,1768.0
6:22.0,J. Brown misses 2-pt jump shot from 15 ft,72-64, ,,3,72,64,8,1778.0
6:19.0, ,72-64,Defensive rebound by C. McCollum,,3,72,64,8,1781.0
6:06.0, ,72-64,L. Nance misses 3-pt jump shot from 23 ft,,3,72,64,8,1794.0
6:02.0,Defensive rebound by J. Tatum,72-64, ,,3,72,64,8,1798.0
5:59.0,Shooting foul by H. Jones (drawn by J. Brown),72-64, ,,3,72,64,8,1801.0
5:59.0,J. Brown makes free throw 1 of 2,73-64, ,,3,73,64,9,1801.0
5:59.0,A. Horford enters the game for J. Holiday,73-64, ,,3,73,64,9,1801.0
5:59.0, ,73-64,N. Marshall enters the game for C. McCollum,,3,73,64,9,1801.0
5:59.0, ,73-64,J. Valančiūnas enters the game for L. Nance,,3,73,64,9,1801.0
5:59.0,J. Brown makes free throw 2 of 2,74-64, ,,3,74,64,10,1801.0
5:44.0, ,74-64,Z. Williamson misses 2-pt jump shot from 5 ft,,3,74,64,10,1816.0
5:42.0,Defensive rebound by A. Horford,74-64, ,,3,74,64,10,1818.0
5:35.0,J. Brown misses 2-pt jump shot from 12 ft,74-64, ,,3,74,64,10,1825.0
5:32.0, ,74-64,Defensive rebound by J. Valančiūnas,,3,74,64,10,1828.0
5:23.0, ,74-64,T. Murphy misses 2-pt jump shot from 10 ft,,3,74,64,10,1837.0
5:22.0, ,74-64,Offensive rebound by T. Murphy,,3,74,64,10,1838.0
5:22.0, ,74-64,T. Murphy misses 2-pt layup from 4 ft (block by K. Porziņģis),,3,74,64,10,1838.0
5:22.0, ,74-64,Offensive rebound by Team,,3,74,64,10,1838.0
5:22.0,X. Tillman enters the game for K. Porziņģis,74-64, ,,3,74,64,10,1838.0
5:17.0, ,74-64,Shooting foul by J. Brown (drawn by Z. Williamson),,3,74,64,10,1843.0
5:17.0, ,74-64,Z. Williamson misses free throw 1 of 2,,3,74,64,10,1843.0
5:17.0, ,74-64,Offensive rebound by Team,,3,74,64,10,1843.0
5:17.0, ,74-65,Z. Williamson makes free throw 2 of 2,,3,74,65,9,1843.0
5:01.0,X. Tillman makes 2-pt jump shot from 5 ft (assist by A. Horford),76-65, ,,3,76,65,11,1859.0
4:37.0, ,76-68,T. Murphy makes 3-pt jump shot from 26 ft (assist by N. Marshall),,3,76,68,8,1883.0
4:12.0,J. Tatum makes 3-pt jump shot from 25 ft,79-68, ,,3,79,68,11,1908.0
3:58.0, ,79-68,Z. Williamson misses 2-pt layup from 2 ft,,3,79,68,11,1922.0
3:56.0, ,79-68,Offensive rebound by H. Jones,,3,79,68,11,1924.0
3:43.0, ,79-68,N. Marshall misses 2-pt jump shot from 9 ft,,3,79,68,11,1937.0
3:41.0,Defensive rebound by J. Tatum,79-68, ,,3,79,68,11,1939.0
3:33.0,A. Horford makes 2-pt layup from 2 ft (assist by J. Brown),81-68, ,,3,81,68,13,1947.0
3:14.0, ,81-68,T. Murphy misses 3-pt jump shot from 28 ft,,3,81,68,13,1966.0
3:14.0,Defensive rebound by X. Tillman,81-68, ,,3,81,68,13,1966.0
2:57.0,D. White misses 3-pt jump shot from 26 ft,81-68, ,,3,81,68,13,1983.0
2:52.0,Offensive rebound by J. Tatum,81-68, ,,3,81,68,13,1988.0
