Time,Boston,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:23.0, ,62-53,J. Suggs makes 3-pt jump shot from 25 ft (assist by F. Wagner),,3,62,53,9,1597.0
9:12.0,K. Porziņģis misses 3-pt jump shot from 26 ft,62-53, ,,3,62,53,9,1608.0
9:09.0, ,62-53,Defensive rebound by F. Wagner,,3,62,53,9,1611.0
9:02.0, ,62-55,F. Wagner makes 2-pt layup from 1 ft,,3,62,55,7,1618.0
8:44.0,Personal foul by G. Bitadze (drawn by K. Porziņģis),62-55, ,,3,62,55,7,1636.0
8:35.0,J. Tatum misses 2-pt jump shot from 14 ft,62-55, ,,3,62,55,7,1645.0
8:33.0, ,62-55,Defensive rebound by G. Bitadze,,3,62,55,7,1647.0
8:28.0, ,62-58,F. Wagner makes 3-pt jump shot from 25 ft (assist by P. Banchero),,3,62,58,4,1652.0
8:00.0,J. Brown misses 2-pt layup from 3 ft,62-58, ,,3,62,58,4,1680.0
7:58.0, ,62-58,Defensive rebound by P. Banchero,,3,62,58,4,1682.0
7:51.0, ,62-61,J. Suggs makes 3-pt jump shot from 27 ft (assist by G. Bitadze),,3,62,61,1,1689.0
7:36.0,Turnover by D. White (bad pass; steal by G. Bitadze),62-61, ,,3,62,61,1,1704.0
7:36.0, ,62-61,Personal foul by J. Tatum (drawn by J. Suggs),,3,62,61,1,1704.0
7:36.0, ,62-62,G. Harris makes free throw 1 of 1,Tie,3,62,62,0,1704.0
7:22.0, ,62-62,F. Wagner misses 3-pt jump shot from 27 ft,,3,62,62,0,1718.0
7:19.0,Defensive rebound by D. White,62-62, ,,3,62,62,0,1721.0
7:12.0,A. Horford misses 3-pt jump shot from 29 ft,62-62, ,,3,62,62,0,1728.0
7:09.0, ,62-62,Defensive rebound by J. Suggs,,3,62,62,0,1731.0
6:51.0, ,62-62,Turnover by J. Suggs (lost ball; steal by D. White),,3,62,62,0,1749.0
6:44.0,Personal foul by G. Bitadze (drawn by K. Porziņģis),62-62, ,,3,62,62,0,1756.0
6:44.0, ,62-62,Orlando full timeout,,3,62,62,0,1756.0
6:44.0,L. Kornet enters the game for K. Porziņģis,62-62, ,,3,62,62,0,1756.0
6:34.0,J. Tatum misses 2-pt hook shot from 2 ft (block by G. Bitadze),62-62, ,,3,62,62,0,1766.0
6:33.0,Offensive rebound by Team,62-62, ,,3,62,62,0,1767.0
6:28.0,D. White misses 3-pt jump shot from 27 ft,62-62, ,,3,62,62,0,1772.0
6:26.0, ,62-62,Defensive rebound by J. Suggs,,3,62,62,0,1774.0
6:15.0, ,62-64,G. Bitadze makes 2-pt dunk from 1 ft (assist by J. Suggs),Lead change,3,62,64,-2,1785.0
5:54.0,J. Brown misses 2-pt jump shot from 20 ft,62-64, ,,3,62,64,-2,1806.0
5:53.0, ,62-64,Defensive rebound by Team,,3,62,64,-2,1807.0
