Time,Sacramento,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:50.0,D. Fox enters the game for K. Ellis,52-66, ,,3,66,52,14,1630.0
8:50.0, ,52-66,Boston full timeout,,3,66,52,14,1630.0
8:50.0,K. Ellis enters the game for D. Fox,52-66, ,,3,66,52,14,1630.0
8:50.0, ,52-66,Instant Replay (Challenge: Ruling Stands),,3,66,52,14,1630.0
8:26.0, ,52-66,S. Hauser misses 2-pt jump shot from 14 ft,,3,66,52,14,1654.0
8:25.0,Defensive rebound by D. Sabonis,52-66, ,,3,66,52,14,1655.0
8:11.0,K. Murray misses 2-pt jump shot from 17 ft,52-66, ,,3,66,52,14,1669.0
8:10.0, ,52-66,Defensive rebound by S. Hauser,,3,66,52,14,1670.0
7:55.0, ,52-66,S. Hauser misses 3-pt jump shot from 26 ft,,3,66,52,14,1685.0
7:53.0, ,52-66,Offensive rebound by K. Porziņģis,,3,66,52,14,1687.0
7:51.0, ,52-66,Turnover by K. Porziņģis (bad pass),,3,66,52,14,1689.0
7:37.0,K. Murray misses 3-pt jump shot from 25 ft,52-66, ,,3,66,52,14,1703.0
7:35.0,Offensive rebound by Team,52-66, ,,3,66,52,14,1705.0
7:33.0,D. Fox makes 2-pt layup from 6 ft (assist by D. Mitchell),54-66, ,,3,66,54,12,1707.0
7:18.0, ,54-66,A. Horford misses 3-pt jump shot from 24 ft,,3,66,54,12,1722.0
7:16.0,Defensive rebound by D. Mitchell,54-66, ,,3,66,54,12,1724.0
7:00.0,D. Mitchell misses 3-pt jump shot from 28 ft,54-66, ,,3,66,54,12,1740.0
6:59.0,Offensive rebound by H. Barnes,54-66, ,,3,66,54,12,1741.0
6:54.0,D. Mitchell makes 3-pt jump shot from 24 ft (assist by D. Sabonis),57-66, ,,3,66,57,9,1746.0
6:31.0, ,57-66,J. Tatum misses 2-pt layup from 3 ft,,3,66,57,9,1769.0
6:30.0,Defensive rebound by D. Sabonis,57-66, ,,3,66,57,9,1770.0
6:23.0,D. Fox misses 2-pt layup from 4 ft,57-66, ,,3,66,57,9,1777.0
6:21.0, ,57-66,Defensive rebound by A. Horford,,3,66,57,9,1779.0
6:18.0, ,57-66,A. Horford misses 3-pt jump shot from 26 ft,,3,66,57,9,1782.0
6:16.0,Defensive rebound by D. Sabonis,57-66, ,,3,66,57,9,1784.0
6:10.0,D. Sabonis makes 2-pt layup from 6 ft,59-66, ,,3,66,59,7,1790.0
5:49.0, ,59-66,K. Porziņģis misses 2-pt jump shot from 15 ft,,3,66,59,7,1811.0
5:48.0,Defensive rebound by D. Fox,59-66, ,,3,66,59,7,1812.0
5:33.0,D. Fox makes 3-pt jump shot from 27 ft (assist by D. Sabonis),62-66, ,,3,66,62,4,1827.0
5:18.0, ,62-68,J. Tatum makes 2-pt dunk at rim (assist by J. Holiday),,3,68,62,6,1842.0
5:06.0,D. Mitchell misses 3-pt jump shot from 24 ft,62-68, ,,3,68,62,6,1854.0
5:05.0, ,62-68,Defensive rebound by K. Porziņģis,,3,68,62,6,1855.0
4:48.0, ,62-68,Shooting foul by D. Mitchell (drawn by J. Tatum),,3,68,62,6,1872.0
4:48.0, ,62-69,J. Tatum makes free throw 1 of 2,,3,69,62,7,1872.0
4:48.0,K. Edwards enters the game for H. Barnes,62-69, ,,3,69,62,7,1872.0
4:48.0,T. Lyles enters the game for D. Fox,62-69, ,,3,69,62,7,1872.0
4:48.0, ,62-69,P. Pritchard enters the game for A. Horford,,3,69,62,7,1872.0
4:48.0, ,62-70,J. Tatum makes free throw 2 of 2,,3,70,62,8,1872.0
4:34.0,D. Mitchell misses 2-pt layup from 5 ft,62-70, ,,3,70,62,8,1886.0
4:33.0,Offensive rebound by D. Sabonis,62-70, ,,3,70,62,8,1887.0
4:31.0,T. Lyles makes 3-pt jump shot from 27 ft (assist by D. Sabonis),65-70, ,,3,70,65,5,1889.0
4:18.0, ,65-72,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Holiday),,3,72,65,7,1902.0
3:55.0,Shooting foul by S. Hauser (drawn by D. Sabonis),65-72, ,,3,72,65,7,1925.0
3:55.0,D. Sabonis makes free throw 1 of 2,66-72, ,,3,72,66,6,1925.0
3:55.0,D. Sabonis makes free throw 2 of 2,67-72, ,,3,72,67,5,1925.0
3:46.0, ,67-72,J. Tatum misses 3-pt jump shot from 27 ft,,3,72,67,5,1934.0
3:44.0,Defensive rebound by D. Mitchell,67-72, ,,3,72,67,5,1936.0
3:20.0,Shooting foul by K. Porziņģis (drawn by D. Sabonis),67-72, ,,3,72,67,5,1960.0
3:20.0,D. Sabonis misses free throw 1 of 2,67-72, ,,3,72,67,5,1960.0
3:20.0,Offensive rebound by Team,67-72, ,,3,72,67,5,1960.0
3:20.0,D. Sabonis misses free throw 2 of 2,67-72, ,,3,72,67,5,1960.0
3:20.0, ,67-72,Defensive rebound by K. Porziņģis,,3,72,67,5,1960.0
3:07.0, ,67-72,Shooting foul by D. Mitchell (drawn by J. Tatum),,3,72,67,5,1973.0
3:07.0, ,67-72,J. Tatum misses free throw 1 of 2,,3,72,67,5,1973.0
3:07.0, ,67-72,Offensive rebound by Team,,3,72,67,5,1973.0
