Time,Boston,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:08.0, ,54-51,H. Barnes makes 2-pt jump shot from 14 ft,,2,54,51,3,1072.0
5:54.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Brown),57-51, ,,2,57,51,6,1086.0
5:40.0, ,57-51,K. Murray misses 3-pt jump shot from 27 ft (block by J. Holiday),,2,57,51,6,1100.0
5:37.0,Defensive rebound by J. Brown,57-51, ,,2,57,51,6,1103.0
5:33.0,K. Porziņģis misses 3-pt jump shot from 26 ft,57-51, ,,2,57,51,6,1107.0
5:27.0, ,57-51,Defensive rebound by H. Barnes,,2,57,51,6,1113.0
5:19.0, ,57-53,D. Sabonis makes 2-pt hook shot from 8 ft (assist by H. Barnes),,2,57,53,4,1121.0
5:19.0,Boston full timeout,57-53, ,,2,57,53,4,1121.0
5:19.0,O. Brissett enters the game for J. Holiday,57-53, ,,2,57,53,4,1121.0
5:19.0,D. White enters the game for P. Pritchard,57-53, ,,2,57,53,4,1121.0
5:19.0, ,57-53,D. Fox enters the game for K. Ellis,,2,57,53,4,1121.0
4:59.0,S. Hauser makes 3-pt jump shot from 24 ft (assist by J. Brown),60-53, ,,2,60,53,7,1141.0
4:44.0, ,60-53,K. Murray misses 3-pt jump shot from 24 ft,,2,60,53,7,1156.0
4:41.0, ,60-53,Offensive rebound by Team,,2,60,53,7,1159.0
4:34.0, ,60-55,D. Sabonis makes 2-pt hook shot from 6 ft,,2,60,55,5,1166.0
4:17.0,J. Brown misses 2-pt jump shot from 20 ft,60-55, ,,2,60,55,5,1183.0
4:13.0, ,60-55,Defensive rebound by H. Barnes,,2,60,55,5,1187.0
4:06.0, ,60-55,H. Barnes misses 2-pt layup from 6 ft,,2,60,55,5,1194.0
4:04.0,Defensive rebound by S. Hauser,60-55, ,,2,60,55,5,1196.0
4:01.0,Shooting foul by D. Fox (drawn by K. Porziņģis),60-55, ,,2,60,55,5,1199.0
4:01.0,K. Porziņģis makes free throw 1 of 2,61-55, ,,2,61,55,6,1199.0
4:01.0,K. Porziņģis misses free throw 2 of 2,61-55, ,,2,61,55,6,1199.0
3:58.0, ,61-55,Defensive rebound by D. Sabonis,,2,61,55,6,1202.0
3:49.0, ,61-58,K. Huerter makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,2,61,58,3,1211.0
3:30.0,Personal foul by D. Fox (drawn by K. Porziņģis),61-58, ,,2,61,58,3,1230.0
3:30.0, ,61-58,Sacramento full timeout,,2,61,58,3,1230.0
3:30.0, ,61-58,Instant Replay (Challenge: Ruling Stands),,2,61,58,3,1230.0
3:30.0,J. Holiday enters the game for O. Brissett,61-58, ,,2,61,58,3,1230.0
3:15.0,J. Brown makes 2-pt jump shot from 15 ft,63-58, ,,2,63,58,5,1245.0
2:58.0, ,63-58,D. Fox misses 2-pt layup from 3 ft (block by D. White),,2,63,58,5,1262.0
2:54.0,Defensive rebound by J. Holiday,63-58, ,,2,63,58,5,1266.0
2:52.0,J. Brown makes 2-pt layup from 2 ft (assist by J. Holiday),65-58, ,,2,65,58,7,1268.0
2:33.0, ,65-60,K. Huerter makes 2-pt jump shot from 9 ft,,2,65,60,5,1287.0
2:12.0,K. Porziņģis makes 2-pt jump shot from 15 ft,67-60, ,,2,67,60,7,1308.0
2:03.0, ,67-60,D. Sabonis misses 2-pt layup from 4 ft,,2,67,60,7,1317.0
2:02.0, ,67-60,Offensive rebound by D. Sabonis,,2,67,60,7,1318.0
2:01.0, ,67-62,D. Sabonis makes 2-pt dunk from 1 ft,,2,67,62,5,1319.0
1:48.0,J. Brown misses 2-pt jump shot from 18 ft,67-62, ,,2,67,62,5,1332.0
1:41.0,Offensive rebound by J. Brown,67-62, ,,2,67,62,5,1339.0
1:34.0,D. White makes 3-pt jump shot from 25 ft (assist by J. Holiday),70-62, ,,2,70,62,8,1346.0
1:13.0, ,70-62,Personal foul by J. Holiday (drawn by K. Murray),,2,70,62,8,1367.0
