Time,Golden State,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:20.0,Defensive rebound by M. Moody,50-99, ,,3,99,50,49,1780.0
6:13.0,C. Paul misses 3-pt jump shot from 25 ft,50-99, ,,3,99,50,49,1787.0
6:12.0, ,50-99,Defensive rebound by P. Pritchard,,3,99,50,49,1788.0
6:02.0, ,50-102,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,3,102,50,52,1798.0
5:50.0,D. Šarić misses 3-pt jump shot from 26 ft,50-102, ,,3,102,50,52,1810.0
5:48.0, ,50-102,Defensive rebound by O. Brissett,,3,102,50,52,1812.0
5:31.0, ,50-102,S. Hauser misses 3-pt jump shot from 29 ft,,3,102,50,52,1829.0
5:30.0,Defensive rebound by C. Paul,50-102, ,,3,102,50,52,1830.0
5:18.0,D. Šarić makes 2-pt hook shot from 9 ft (assist by C. Paul),52-102, ,,3,102,52,50,1842.0
5:18.0,Shooting foul by S. Hauser (drawn by D. Šarić),52-102, ,,3,102,52,50,1842.0
5:18.0,K. Looney enters the game for M. Moody,52-102, ,,3,102,52,50,1842.0
5:18.0,J. Robinson enters the game for L. Quinones,52-102, ,,3,102,52,50,1842.0
5:18.0,D. Šarić misses free throw 1 of 1,52-102, ,,3,102,52,50,1842.0
5:17.0, ,52-102,Defensive rebound by S. Hauser,,3,102,52,50,1843.0
5:01.0, ,52-102,O. Brissett misses 2-pt jump shot from 4 ft,,3,102,52,50,1859.0
5:00.0,Defensive rebound by C. Paul,52-102, ,,3,102,52,50,1860.0
4:54.0,J. Robinson makes 2-pt layup from 3 ft (assist by C. Paul),54-102, ,,3,102,54,48,1866.0
4:44.0, ,54-102,S. Mykhailiuk misses 3-pt jump shot from 27 ft,,3,102,54,48,1876.0
4:43.0, ,54-102,Offensive rebound by S. Mykhailiuk,,3,102,54,48,1877.0
4:42.0, ,54-102,S. Mykhailiuk misses 3-pt jump shot from 25 ft,,3,102,54,48,1878.0
4:40.0,Defensive rebound by D. Šarić,54-102, ,,3,102,54,48,1880.0
4:19.0,D. Šarić makes 2-pt layup from 4 ft (assist by C. Paul),56-102, ,,3,102,56,46,1901.0
3:58.0, ,56-104,P. Pritchard makes 2-pt layup from 3 ft,,3,104,56,48,1922.0
3:40.0,Personal foul by P. Pritchard (drawn by D. Šarić),56-104, ,,3,104,56,48,1940.0
3:32.0,G. Santos makes 3-pt jump shot from 23 ft (assist by C. Paul),59-104, ,,3,104,59,45,1948.0
3:22.0, ,59-104,Personal foul by J. Robinson (drawn by P. Pritchard),,3,104,59,45,1958.0
3:13.0, ,59-104,S. Hauser misses 3-pt jump shot from 30 ft,,3,104,59,45,1967.0
3:11.0,Defensive rebound by D. Šarić,59-104, ,,3,104,59,45,1969.0
3:01.0,C. Paul misses 3-pt jump shot from 27 ft,59-104, ,,3,104,59,45,1979.0
2:59.0, ,59-104,Defensive rebound by O. Brissett,,3,104,59,45,1981.0
2:51.0, ,59-104,Turnover by S. Hauser (traveling),,3,104,59,45,1989.0
2:51.0,Golden State full timeout,59-104, ,,3,104,59,45,1989.0
2:51.0,L. Quinones enters the game for C. Paul,59-104, ,,3,104,59,45,1989.0
2:51.0, ,59-104,X. Tillman enters the game for L. Kornet,,3,104,59,45,1989.0
2:38.0,Shooting foul by S. Hauser (drawn by K. Looney),59-104, ,,3,104,59,45,2002.0
2:38.0,K. Looney misses free throw 1 of 2,59-104, ,,3,104,59,45,2002.0
2:38.0,Offensive rebound by Team,59-104, ,,3,104,59,45,2002.0
2:38.0,K. Looney makes free throw 2 of 2,60-104, ,,3,104,60,44,2002.0
