Time,San Antonio,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:10.0,Offensive rebound by D. Barlow,64-81, ,,3,81,64,17,1850.0
5:08.0,D. Barlow makes 2-pt layup from 2 ft,66-81, ,,3,81,66,15,1852.0
4:50.0, ,66-81,J. Holiday misses 2-pt layup from 3 ft,,3,81,66,15,1870.0
4:48.0, ,66-81,Offensive rebound by L. Kornet,,3,81,66,15,1872.0
4:46.0, ,66-81,J. Tatum misses 3-pt jump shot from 28 ft,,3,81,66,15,1874.0
4:44.0,Defensive rebound by J. Sochan,66-81, ,,3,81,66,15,1876.0
4:31.0,Shooting foul by J. Tatum (drawn by D. Vassell),66-81, ,,3,81,66,15,1889.0
4:31.0,D. Vassell makes free throw 1 of 2,67-81, ,,3,81,67,14,1889.0
4:31.0,K. Johnson enters the game for J. Champagnie,67-81, ,,3,81,67,14,1889.0
4:31.0, ,67-81,S. Hauser enters the game for J. Brown,,3,81,67,14,1889.0
4:31.0, ,67-81,P. Pritchard enters the game for J. Holiday,,3,81,67,14,1889.0
4:31.0, ,67-81,N. Queta enters the game for L. Kornet,,3,81,67,14,1889.0
4:31.0,D. Vassell makes free throw 2 of 2,68-81, ,,3,81,68,13,1889.0
4:12.0, ,68-81,P. Pritchard misses 3-pt jump shot from 27 ft,,3,81,68,13,1908.0
4:11.0, ,68-81,Offensive rebound by Team,,3,81,68,13,1909.0
4:11.0,Loose ball foul by T. Jones (drawn by N. Queta),68-81, ,,3,81,68,13,1909.0
4:06.0, ,68-81,Shooting foul by T. Jones (drawn by P. Pritchard),,3,81,68,13,1914.0
4:06.0, ,68-82,P. Pritchard makes free throw 1 of 2,,3,82,68,14,1914.0
4:06.0, ,68-83,P. Pritchard makes free throw 2 of 2,,3,83,68,15,1914.0
3:55.0,Shooting foul by N. Queta (drawn by D. Vassell),68-83, ,,3,83,68,15,1925.0
3:55.0,D. Vassell makes free throw 1 of 2,69-83, ,,3,83,69,14,1925.0
3:55.0,M. Branham enters the game for T. Jones,69-83, ,,3,83,69,14,1925.0
3:55.0,D. Vassell misses free throw 2 of 2,69-83, ,,3,83,69,14,1925.0
3:55.0, ,69-83,Defensive rebound by N. Queta,,3,83,69,14,1925.0
3:35.0, ,69-85,P. Pritchard makes 2-pt layup from 2 ft (assist by S. Hauser),,3,85,69,16,1945.0
3:16.0,M. Branham misses 2-pt layup from 6 ft (block by N. Queta),69-85, ,,3,85,69,16,1964.0
3:16.0, ,69-85,Defensive rebound by N. Queta,,3,85,69,16,1964.0
3:16.0,C. Osman enters the game for J. Sochan,69-85, ,,3,85,69,16,1964.0
2:53.0, ,69-85,J. Tatum misses 2-pt layup from 5 ft,,3,85,69,16,1987.0
2:51.0, ,69-85,Offensive rebound by N. Queta,,3,85,69,16,1989.0
2:51.0, ,69-85,N. Queta misses 2-pt layup at rim,,3,85,69,16,1989.0
