Time,Boston,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:09.0, ,54-44,B. Sensabaugh misses 2-pt jump shot from 10 ft,,2,54,44,10,1011.0
7:06.0,Defensive rebound by L. Kornet,54-44, ,,2,54,44,10,1014.0
7:00.0,S. Hauser misses 3-pt jump shot from 25 ft,54-44, ,,2,54,44,10,1020.0
6:58.0, ,54-44,Defensive rebound by B. Sensabaugh,,2,54,44,10,1022.0
6:48.0, ,54-47,T. Horton-Tucker makes 3-pt jump shot from 25 ft,,2,54,47,7,1032.0
6:24.0,S. Hauser misses 3-pt jump shot from 27 ft,54-47, ,,2,54,47,7,1056.0
6:22.0, ,54-47,Defensive rebound by B. Sensabaugh,,2,54,47,7,1058.0
6:07.0, ,54-50,J. Clarkson makes 3-pt jump shot from 26 ft,,2,54,50,4,1073.0
5:52.0,J. Holiday makes 2-pt layup from 5 ft (assist by D. White),56-50, ,,2,56,50,6,1088.0
5:32.0, ,56-50,T. Horton-Tucker misses 2-pt layup from 6 ft (block by J. Holiday),,2,56,50,6,1108.0
5:32.0,Defensive rebound by Team,56-50, ,,2,56,50,6,1108.0
5:32.0,J. Tatum enters the game for O. Brissett,56-50, ,,2,56,50,6,1108.0
5:32.0, ,56-50,J. Collins enters the game for T. Horton-Tucker,,2,56,50,6,1108.0
5:32.0, ,56-50,K. George enters the game for W. Kessler,,2,56,50,6,1108.0
5:32.0, ,56-50,C. Sexton enters the game for M. Potter,,2,56,50,6,1108.0
5:21.0,J. Tatum misses 2-pt jump shot from 15 ft,56-50, ,,2,56,50,6,1119.0
5:17.0,Offensive rebound by L. Kornet,56-50, ,,2,56,50,6,1123.0
5:16.0, ,56-50,Violation by Team (kicked ball),,2,56,50,6,1124.0
5:08.0,L. Kornet makes 2-pt dunk from 3 ft (assist by J. Holiday),58-50, ,,2,58,50,8,1132.0
5:08.0, ,58-50,Utah full timeout,,2,58,50,8,1132.0
4:43.0, ,58-50,B. Sensabaugh misses 2-pt jump shot from 10 ft,,2,58,50,8,1157.0
4:42.0,Defensive rebound by Team,58-50, ,,2,58,50,8,1158.0
4:29.0,S. Hauser misses 2-pt jump shot from 12 ft,58-50, ,,2,58,50,8,1171.0
4:25.0, ,58-50,Defensive rebound by K. George,,2,58,50,8,1175.0
4:15.0, ,58-50,B. Sensabaugh misses 3-pt jump shot from 22 ft,,2,58,50,8,1185.0
4:13.0,Defensive rebound by L. Kornet,58-50, ,,2,58,50,8,1187.0
4:05.0,J. Tatum makes 3-pt jump shot from 26 ft,61-50, ,,2,61,50,11,1195.0
3:47.0, ,61-50,C. Sexton misses 3-pt jump shot from 27 ft,,2,61,50,11,1213.0
3:43.0, ,61-50,Offensive rebound by C. Sexton,,2,61,50,11,1217.0
3:42.0, ,61-50,Turnover by C. Sexton (bad pass; steal by D. White),,2,61,50,11,1218.0
3:39.0,J. Holiday misses 3-pt jump shot from 25 ft,61-50, ,,2,61,50,11,1221.0
3:36.0, ,61-50,Defensive rebound by J. Collins,,2,61,50,11,1224.0
3:25.0, ,61-53,K. George makes 3-pt jump shot from 26 ft (assist by C. Sexton),,2,61,53,8,1235.0
3:00.0,L. Kornet makes 2-pt dunk from 4 ft (assist by J. Holiday),63-53, ,,2,63,53,10,1260.0
2:46.0, ,63-53,K. George misses 3-pt jump shot from 27 ft,,2,63,53,10,1274.0
2:45.0,Defensive rebound by J. Holiday,63-53, ,,2,63,53,10,1275.0
2:35.0,D. White misses 2-pt jump shot from 10 ft,63-53, ,,2,63,53,10,1285.0
2:33.0,Offensive rebound by L. Kornet,63-53, ,,2,63,53,10,1287.0
2:33.0,D. White makes 2-pt layup from 3 ft (assist by L. Kornet),65-53, ,,2,65,53,12,1287.0
2:33.0,Shooting foul by K. George (drawn by D. White),65-53, ,,2,65,53,12,1287.0
2:33.0, ,65-53,K. Dunn enters the game for B. Sensabaugh,,2,65,53,12,1287.0
2:33.0,D. White makes free throw 1 of 1,66-53, ,,2,66,53,13,1287.0
2:17.0, ,66-53,C. Sexton misses 3-pt jump shot from 26 ft,,2,66,53,13,1303.0
2:14.0,Defensive rebound by L. Kornet,66-53, ,,2,66,53,13,1306.0
2:09.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by D. White),69-53, ,,2,69,53,16,1311.0
1:57.0, ,69-53,J. Collins misses 2-pt hook shot from 7 ft (block by L. Kornet),,2,69,53,16,1323.0
1:55.0,Defensive rebound by L. Kornet,69-53, ,,2,69,53,16,1325.0
1:44.0,Offensive foul by J. Tatum (drawn by K. George),69-53, ,,2,69,53,16,1336.0
1:44.0,Turnover by J. Tatum (offensive foul),69-53, ,,2,69,53,16,1336.0
1:28.0, ,69-55,C. Sexton makes 2-pt jump shot from 6 ft (assist by J. Clarkson),,2,69,55,14,1352.0
1:19.0,Turnover by J. Holiday (traveling),69-55, ,,2,69,55,14,1361.0
1:19.0,X. Tillman enters the game for L. Kornet,69-55, ,,2,69,55,14,1361.0
1:02.0, ,69-55,J. Collins misses 2-pt layup from 5 ft,,2,69,55,14,1378.0
1:00.0,Defensive rebound by J. Holiday,69-55, ,,2,69,55,14,1380.0
0:38.0,S. Hauser makes 3-pt jump shot from 25 ft,72-55, ,,2,72,55,17,1402.0
0:26.0, ,72-55,C. Sexton misses 2-pt jump shot from 5 ft,,2,72,55,17,1414.0
0:24.0, ,72-55,Offensive rebound by C. Sexton,,2,72,55,17,1416.0
0:24.0, ,72-57,C. Sexton makes 2-pt layup at rim,,2,72,57,15,1416.0
0:08.0,Personal foul by K. George (drawn by J. Tatum),72-57, ,,2,72,57,15,1432.0
0:08.0,P. Pritchard enters the game for X. Tillman,72-57, ,,2,72,57,15,1432.0
0:08.0, ,72-57,T. Horton-Tucker enters the game for K. George,,2,72,57,15,1432.0
0:00.0,Turnover by J. Tatum (lost ball; steal by K. Dunn),72-57, ,,2,72,57,15,1440.0
0:00.0,End of 2nd quarter,72-57,,,2,72,57,15,1440.0
12:00.0,Start of 3rd quarter,72-57,,,3,72,57,15,1440.0
11:54.0, ,72-57,Offensive foul by K. George (drawn by J. Holiday),,3,72,57,15,1446.0
11:54.0, ,72-57,Turnover by K. George (offensive foul),,3,72,57,15,1446.0
11:39.0,S. Hauser misses 3-pt jump shot from 23 ft,72-57, ,,3,72,57,15,1461.0
11:35.0, ,72-57,Defensive rebound by J. Collins,,3,72,57,15,1465.0
11:17.0, ,72-57,B. Sensabaugh misses 3-pt jump shot from 25 ft,,3,72,57,15,1483.0
11:13.0,Defensive rebound by D. White,72-57, ,,3,72,57,15,1487.0
11:09.0,J. Tatum misses 2-pt layup from 5 ft (block by K. George),72-57, ,,3,72,57,15,1491.0
11:04.0,Offensive rebound by J. Tatum,72-57, ,,3,72,57,15,1496.0
11:04.0,J. Tatum makes 2-pt layup at rim,74-57, ,,3,74,57,17,1496.0
10:52.0, ,74-59,C. Sexton makes 2-pt layup from 8 ft (assist by K. George),,3,74,59,15,1508.0
10:52.0, ,74-59,Shooting foul by D. White (drawn by C. Sexton),,3,74,59,15,1508.0
10:52.0, ,74-60,C. Sexton makes free throw 1 of 1,,3,74,60,14,1508.0
10:40.0,D. White makes 3-pt jump shot from 27 ft (assist by L. Kornet),77-60, ,,3,77,60,17,1520.0
10:25.0, ,77-62,K. George makes 2-pt jump shot from 18 ft,,3,77,62,15,1535.0
10:12.0,J. Tatum misses 2-pt jump shot from 15 ft,77-62, ,,3,77,62,15,1548.0
10:09.0, ,77-62,Defensive rebound by L. Šamanić,,3,77,62,15,1551.0
10:03.0, ,77-65,J. Collins makes 3-pt jump shot from 25 ft (assist by K. George),,3,77,65,12,1557.0
9:38.0,D. White misses 2-pt jump shot from 12 ft,77-65, ,,3,77,65,12,1582.0
9:35.0,Offensive rebound by L. Kornet,77-65, ,,3,77,65,12,1585.0
9:35.0,L. Kornet makes 2-pt layup at rim,79-65, ,,3,79,65,14,1585.0
9:17.0, ,79-67,C. Sexton makes 2-pt jump shot from 8 ft (assist by K. George),,3,79,67,12,1603.0
9:06.0,D. White makes 3-pt jump shot from 27 ft (assist by J. Tatum),82-67, ,,3,82,67,15,1614.0
8:52.0, ,82-67,K. George misses 3-pt jump shot from 25 ft,,3,82,67,15,1628.0
8:50.0,Defensive rebound by S. Hauser,82-67, ,,3,82,67,15,1630.0
8:41.0,J. Holiday makes 2-pt layup from 8 ft,84-67, ,,3,84,67,17,1639.0
8:41.0, ,84-67,Utah full timeout,,3,84,67,17,1639.0
8:18.0, ,84-70,L. Šamanić makes 3-pt jump shot from 25 ft (assist by C. Sexton),,3,84,70,14,1662.0
7:56.0,J. Tatum misses 3-pt jump shot from 26 ft,84-70, ,,3,84,70,14,1684.0
7:52.0,Offensive rebound by L. Kornet,84-70, ,,3,84,70,14,1688.0
7:51.0,L. Kornet misses 2-pt layup from 5 ft (block by J. Collins),84-70, ,,3,84,70,14,1689.0
7:51.0,Offensive rebound by Team,84-70, ,,3,84,70,14,1689.0
7:50.0,D. White misses 3-pt jump shot from 24 ft,84-70, ,,3,84,70,14,1690.0
7:45.0, ,84-70,Defensive rebound by L. Šamanić,,3,84,70,14,1695.0
7:37.0, ,84-70,L. Šamanić misses 2-pt layup from 7 ft,,3,84,70,14,1703.0
7:35.0,Defensive rebound by S. Hauser,84-70, ,,3,84,70,14,1705.0
7:27.0,J. Tatum misses 3-pt jump shot from 26 ft,84-70, ,,3,84,70,14,1713.0
7:22.0, ,84-70,Defensive rebound by L. Šamanić,,3,84,70,14,1718.0
7:21.0, ,84-70,L. Šamanić misses 2-pt layup from 5 ft (block by S. Hauser),,3,84,70,14,1719.0
7:21.0, ,84-70,Offensive rebound by Team,,3,84,70,14,1719.0
7:19.0, ,84-70,J. Collins misses 3-pt jump shot from 25 ft,,3,84,70,14,1721.0
7:17.0, ,84-70,Offensive rebound by L. Šamanić,,3,84,70,14,1723.0
7:17.0, ,84-70,Shooting foul by S. Hauser (drawn by L. Šamanić),,3,84,70,14,1723.0
7:17.0, ,84-71,L. Šamanić makes free throw 1 of 2,,3,84,71,13,1723.0
7:17.0, ,84-72,L. Šamanić makes free throw 2 of 2,,3,84,72,12,1723.0
7:06.0,L. Kornet misses 2-pt layup from 4 ft (block by C. Sexton),84-72, ,,3,84,72,12,1734.0
7:06.0, ,84-72,Defensive rebound by Team,,3,84,72,12,1734.0
6:46.0, ,84-74,C. Sexton makes 2-pt jump shot from 11 ft,,3,84,74,10,1754.0
6:27.0,J. Tatum makes 2-pt layup from 3 ft,86-74, ,,3,86,74,12,1773.0
6:17.0, ,86-74,Offensive foul by C. Sexton (drawn by J. Holiday),,3,86,74,12,1783.0
6:17.0, ,86-74,Turnover by C. Sexton (offensive foul),,3,86,74,12,1783.0
6:17.0,O. Brissett enters the game for S. Hauser,86-74, ,,3,86,74,12,1783.0
6:17.0,P. Pritchard enters the game for D. White,86-74, ,,3,86,74,12,1783.0
6:17.0, ,86-74,K. Dunn enters the game for K. George,,3,86,74,12,1783.0
5:59.0,Shooting foul by C. Sexton (drawn by P. Pritchard),86-74, ,,3,86,74,12,1801.0
5:59.0,P. Pritchard makes free throw 1 of 2,87-74, ,,3,87,74,13,1801.0
5:59.0,P. Pritchard makes free throw 2 of 2,88-74, ,,3,88,74,14,1801.0
5:48.0, ,88-74,J. Collins misses 3-pt jump shot from 24 ft,,3,88,74,14,1812.0
5:45.0,Defensive rebound by J. Tatum,88-74, ,,3,88,74,14,1815.0
5:34.0,J. Holiday misses 2-pt layup from 7 ft (block by J. Collins),88-74, ,,3,88,74,14,1826.0
5:31.0, ,88-74,Defensive rebound by B. Sensabaugh,,3,88,74,14,1829.0
