Time,Boston,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:05.0, ,60-59,K. Thompson misses 3-pt jump shot from 24 ft,,2,60,59,1,1315.0
2:00.0, ,60-59,Offensive rebound by J. Kuminga,,2,60,59,1,1320.0
1:59.0, ,60-59,Turnover by J. Kuminga (lost ball; steal by N. Queta),,2,60,59,1,1321.0
1:56.0,Turnover by A. Horford (bad pass; steal by J. Kuminga),60-59, ,,2,60,59,1,1324.0
1:53.0, ,60-59,S. Curry misses 3-pt jump shot from 27 ft,,2,60,59,1,1327.0
1:49.0,Defensive rebound by D. White,60-59, ,,2,60,59,1,1331.0
1:37.0,A. Horford misses 3-pt jump shot from 28 ft,60-59, ,,2,60,59,1,1343.0
1:33.0, ,60-59,Defensive rebound by C. Paul,,2,60,59,1,1347.0
1:28.0, ,60-59,C. Paul misses 2-pt jump shot from 12 ft,,2,60,59,1,1352.0
1:25.0,Defensive rebound by A. Horford,60-59, ,,2,60,59,1,1355.0
1:11.0,Personal foul by S. Curry (drawn by D. White),60-59, ,,2,60,59,1,1369.0
1:11.0, ,60-59,B. Podziemski enters the game for S. Curry,,2,60,59,1,1369.0
1:05.0,D. White makes 3-pt jump shot from 27 ft,63-59, ,,2,63,59,4,1375.0
0:55.0, ,63-59,Golden State full timeout,,2,63,59,4,1385.0
0:55.0, ,63-59,A. Wiggins enters the game for B. Podziemski,,2,63,59,4,1385.0
0:47.0, ,63-59,C. Paul misses 2-pt jump shot from 9 ft,,2,63,59,4,1393.0
0:44.0,Defensive rebound by N. Queta,63-59, ,,2,63,59,4,1396.0
0:34.0,J. Tatum makes 2-pt layup from 8 ft,65-59, ,,2,65,59,6,1406.0
0:19.0, ,65-62,J. Kuminga makes 3-pt jump shot from 24 ft (assist by C. Paul),,2,65,62,3,1421.0
0:03.0,J. Tatum misses 3-pt jump shot from 27 ft,65-62, ,,2,65,62,3,1437.0
0:03.0, ,65-62,Defensive rebound by K. Thompson,,2,65,62,3,1437.0
0:01.0, ,65-62,K. Thompson misses 3-pt jump shot from 52 ft,,2,65,62,3,1439.0
0:00.0, ,65-62,Offensive rebound by Team,,2,65,62,3,1440.0
0:00.0,End of 2nd quarter,65-62,,,2,65,62,3,1440.0
12:00.0,Start of 3rd quarter,65-62,,,3,65,62,3,1440.0
11:43.0, ,65-62,S. Curry misses 2-pt jump shot from 18 ft,,3,65,62,3,1457.0
11:41.0,Defensive rebound by J. Brown,65-62, ,,3,65,62,3,1459.0
11:30.0,A. Horford misses 3-pt jump shot from 27 ft,65-62, ,,3,65,62,3,1470.0
11:28.0, ,65-62,Defensive rebound by K. Thompson,,3,65,62,3,1472.0
11:18.0, ,65-62,A. Wiggins misses 3-pt jump shot from 27 ft,,3,65,62,3,1482.0
11:17.0,Defensive rebound by Team,65-62, ,,3,65,62,3,1483.0
11:07.0,J. Holiday misses 2-pt jump shot from 8 ft,65-62, ,,3,65,62,3,1493.0
11:04.0, ,65-62,Defensive rebound by A. Wiggins,,3,65,62,3,1496.0
11:01.0, ,65-62,K. Thompson misses 3-pt jump shot from 28 ft,,3,65,62,3,1499.0
10:58.0,Defensive rebound by D. White,65-62, ,,3,65,62,3,1502.0
10:52.0,A. Horford misses 3-pt jump shot from 27 ft,65-62, ,,3,65,62,3,1508.0
10:48.0, ,65-62,Defensive rebound by K. Looney,,3,65,62,3,1512.0
10:30.0, ,65-62,K. Thompson misses 2-pt jump shot from 14 ft,,3,65,62,3,1530.0
10:28.0,Defensive rebound by A. Horford,65-62, ,,3,65,62,3,1532.0
10:26.0,Turnover by J. Brown (bad pass),65-62, ,,3,65,62,3,1534.0
10:07.0, ,65-62,K. Looney misses 2-pt jump shot from 7 ft,,3,65,62,3,1553.0
10:04.0,Defensive rebound by A. Horford,65-62, ,,3,65,62,3,1556.0
10:01.0,J. Brown makes 2-pt layup from 5 ft (assist by A. Horford),67-62, ,,3,67,62,5,1559.0
9:49.0, ,67-62,S. Curry misses 3-pt jump shot from 26 ft,,3,67,62,5,1571.0
9:49.0,Defensive rebound by J. Holiday,67-62, ,,3,67,62,5,1571.0
9:41.0,D. White makes 2-pt layup from 5 ft (assist by J. Brown),69-62, ,,3,69,62,7,1579.0
