Time,New Orleans,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:41.0, ,46-37,Turnover by J. Tatum (bad pass; steal by B. Ingram),,2,37,46,-9,1099.0
5:32.0,B. Ingram misses 2-pt jump shot from 16 ft,46-37, ,,2,37,46,-9,1108.0
5:30.0, ,46-37,Defensive rebound by O. Brissett,,2,37,46,-9,1110.0
5:22.0, ,46-37,Shooting foul by T. Murphy (drawn by D. White),,2,37,46,-9,1118.0
5:22.0, ,46-37,D. White misses free throw 1 of 2,,2,37,46,-9,1118.0
5:22.0, ,46-37,Offensive rebound by Team,,2,37,46,-9,1118.0
5:22.0, ,46-38,D. White makes free throw 2 of 2,,2,38,46,-8,1118.0
5:01.0,B. Ingram makes 2-pt jump shot from 12 ft,48-38, ,,2,38,48,-10,1139.0
5:01.0,Shooting foul by O. Brissett (drawn by B. Ingram),48-38, ,,2,38,48,-10,1139.0
5:01.0,B. Ingram makes free throw 1 of 1,49-38, ,,2,38,49,-11,1139.0
4:38.0, ,49-38,D. White misses 3-pt jump shot from 26 ft,,2,38,49,-11,1162.0
4:36.0,Defensive rebound by L. Nance,49-38, ,,2,38,49,-11,1164.0
4:21.0,H. Jones misses 3-pt jump shot from 24 ft,49-38, ,,2,38,49,-11,1179.0
4:19.0, ,49-38,Defensive rebound by O. Brissett,,2,38,49,-11,1181.0
4:11.0, ,49-41,J. Tatum makes 3-pt jump shot from 27 ft (assist by D. White),,2,41,49,-8,1189.0
3:44.0,Shooting foul by O. Brissett (drawn by B. Ingram),49-41, ,,2,41,49,-8,1216.0
3:44.0,B. Ingram misses free throw 1 of 2,49-41, ,,2,41,49,-8,1216.0
3:44.0,Offensive rebound by Team,49-41, ,,2,41,49,-8,1216.0
3:44.0,C. McCollum enters the game for D. Daniels,49-41, ,,2,41,49,-8,1216.0
3:44.0, ,49-41,J. Holiday enters the game for O. Brissett,,2,41,49,-8,1216.0
3:44.0,B. Ingram makes free throw 2 of 2,50-41, ,,2,41,50,-9,1216.0
3:27.0, ,50-43,J. Brown makes 2-pt layup from 3 ft (assist by A. Horford),,2,43,50,-7,1233.0
3:10.0,T. Murphy makes 2-pt dunk from 1 ft (assist by H. Jones),52-43, ,,2,43,52,-9,1250.0
2:55.0, ,52-45,J. Tatum makes 2-pt layup from 2 ft,,2,45,52,-7,1265.0
2:39.0,L. Nance makes 3-pt jump shot from 25 ft (assist by B. Ingram),55-45, ,,2,45,55,-10,1281.0
2:21.0, ,55-45,J. Tatum misses 3-pt jump shot from 27 ft,,2,45,55,-10,1299.0
2:20.0,Defensive rebound by B. Ingram,55-45, ,,2,45,55,-10,1300.0
