Time,Orlando,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:49.0,J. Suggs misses 3-pt jump shot from 28 ft,65-85, ,,3,85,65,20,1931.0
3:44.0,Offensive rebound by M. Wagner,65-85, ,,3,85,65,20,1936.0
3:44.0,M. Wagner misses 2-pt layup at rim,65-85, ,,3,85,65,20,1936.0
3:41.0, ,65-85,Defensive rebound by S. Hauser,,3,85,65,20,1939.0
3:35.0, ,65-85,S. Hauser misses 3-pt jump shot from 24 ft,,3,85,65,20,1945.0
3:35.0,Defensive rebound by C. Houstan,65-85, ,,3,85,65,20,1945.0
3:19.0,P. Banchero makes 3-pt jump shot from 28 ft,68-85, ,,3,85,68,17,1961.0
2:59.0, ,68-88,P. Pritchard makes 3-pt jump shot from 24 ft (assist by S. Hauser),,3,88,68,20,1981.0
2:42.0,J. Suggs makes 3-pt jump shot from 24 ft (assist by C. Anthony),71-88, ,,3,88,71,17,1998.0
2:23.0, ,71-88,Turnover by J. Brown (bad pass),,3,88,71,17,2017.0
2:09.0,P. Banchero misses 2-pt layup from 7 ft,71-88, ,,3,88,71,17,2031.0
2:06.0, ,71-88,Defensive rebound by J. Holiday,,3,88,71,17,2034.0
2:02.0, ,71-91,S. Hauser makes 3-pt jump shot from 28 ft (assist by J. Holiday),,3,91,71,20,2038.0
1:48.0,Shooting foul by N. Queta (drawn by C. Anthony),71-91, ,,3,91,71,20,2052.0
1:48.0,C. Anthony makes free throw 1 of 2,72-91, ,,3,91,72,19,2052.0
1:48.0,J. Isaac enters the game for P. Banchero,72-91, ,,3,91,72,19,2052.0
1:48.0,F. Wagner enters the game for C. Houstan,72-91, ,,3,91,72,19,2052.0
1:48.0, ,72-91,O. Brissett enters the game for J. Brown,,3,91,72,19,2052.0
1:48.0, ,72-91,J. Tatum enters the game for N. Queta,,3,91,72,19,2052.0
1:48.0,C. Anthony makes free throw 2 of 2,73-91, ,,3,91,73,18,2052.0
1:40.0, ,73-91,Personal foul by C. Anthony (drawn by P. Pritchard),,3,91,73,18,2060.0
1:40.0, ,73-91,P. Pritchard misses free throw 1 of 2,,3,91,73,18,2060.0
1:40.0, ,73-91,Offensive rebound by Team,,3,91,73,18,2060.0
1:40.0, ,73-92,P. Pritchard makes free throw 2 of 2,,3,92,73,19,2060.0
