Time,Boston,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:11.0, ,81-64,Turnover by C. Thomas (step out of bounds),,3,81,64,17,1669.0
7:55.0,J. Brown misses 2-pt jump shot from 18 ft,81-64, ,,3,81,64,17,1685.0
7:52.0, ,81-64,Defensive rebound by B. Simmons,,3,81,64,17,1688.0
7:44.0, ,81-64,B. Simmons misses 2-pt hook shot from 7 ft,,3,81,64,17,1696.0
7:40.0, ,81-64,Offensive rebound by J. Wilson,,3,81,64,17,1700.0
7:37.0, ,81-66,M. Bridges makes 2-pt jump shot from 13 ft (assist by B. Simmons),,3,81,66,15,1703.0
7:22.0,J. Tatum misses 3-pt jump shot from 27 ft,81-66, ,,3,81,66,15,1718.0
7:19.0, ,81-66,Defensive rebound by B. Simmons,,3,81,66,15,1721.0
7:16.0, ,81-66,Turnover by M. Bridges (back court),,3,81,66,15,1724.0
7:04.0,Turnover by J. Holiday (bad pass; steal by M. Bridges),81-66, ,,3,81,66,15,1736.0
6:53.0, ,81-66,C. Thomas misses 3-pt jump shot from 26 ft,,3,81,66,15,1747.0
6:49.0,Defensive rebound by J. Tatum,81-66, ,,3,81,66,15,1751.0
6:49.0,Personal foul by M. Bridges (drawn by J. Tatum),81-66, ,,3,81,66,15,1751.0
6:49.0, ,81-66,Brooklyn full timeout,,3,81,66,15,1751.0
6:49.0, ,81-66,Instant Replay,,3,81,66,15,1751.0
6:31.0,D. White makes 3-pt jump shot from 25 ft (assist by J. Holiday),84-66, ,,3,84,66,18,1769.0
6:14.0, ,84-66,M. Bridges misses 3-pt jump shot from 24 ft,,3,84,66,18,1786.0
6:09.0, ,84-66,Offensive rebound by N. Claxton,,3,84,66,18,1791.0
6:09.0, ,84-68,N. Claxton makes 2-pt layup at rim,,3,84,68,16,1791.0
5:54.0,D. White makes 2-pt layup from 2 ft,86-68, ,,3,86,68,18,1806.0
5:29.0, ,86-70,C. Thomas makes 2-pt layup from 3 ft (assist by B. Simmons),,3,86,70,16,1831.0
5:12.0,Shooting foul by C. Thomas (drawn by J. Brown),86-70, ,,3,86,70,16,1848.0
5:12.0,J. Brown makes free throw 1 of 2,87-70, ,,3,87,70,17,1848.0
5:12.0,S. Hauser enters the game for A. Horford,87-70, ,,3,87,70,17,1848.0
5:12.0,L. Kornet enters the game for D. White,87-70, ,,3,87,70,17,1848.0
5:12.0, ,87-70,D. Schröder enters the game for M. Bridges,,3,87,70,17,1848.0
5:12.0, ,87-70,D. Smith enters the game for B. Simmons,,3,87,70,17,1848.0
5:12.0,J. Brown makes free throw 2 of 2,88-70, ,,3,88,70,18,1848.0
4:59.0, ,88-70,C. Thomas misses 2-pt layup from 3 ft,,3,88,70,18,1861.0
4:57.0,Defensive rebound by J. Tatum,88-70, ,,3,88,70,18,1863.0
4:39.0,J. Tatum makes 3-pt jump shot from 30 ft,91-70, ,,3,91,70,21,1881.0
4:23.0, ,91-70,Turnover by D. Schröder (bad pass; steal by J. Brown),,3,91,70,21,1897.0
4:19.0,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Brown),93-70, ,,3,93,70,23,1901.0
4:19.0, ,93-70,Brooklyn full timeout,,3,93,70,23,1901.0
4:19.0, ,93-70,D. Sharpe enters the game for N. Claxton,,3,93,70,23,1901.0
3:58.0, ,93-73,J. Wilson makes 3-pt jump shot from 26 ft (assist by D. Sharpe),,3,93,73,20,1922.0
3:52.0,Turnover by J. Tatum (bad pass; steal by C. Thomas),93-73, ,,3,93,73,20,1928.0
3:50.0, ,93-73,C. Thomas misses 3-pt jump shot from 25 ft,,3,93,73,20,1930.0
3:48.0,Defensive rebound by Team,93-73, ,,3,93,73,20,1932.0
3:48.0,Boston full timeout,93-73, ,,3,93,73,20,1932.0
3:48.0,Instant Replay (Challenge: Ruling Stands),93-73, ,,3,93,73,20,1932.0
3:38.0,L. Kornet makes 2-pt layup from 1 ft (assist by J. Holiday),95-73, ,,3,95,73,22,1942.0
3:18.0, ,95-76,J. Wilson makes 3-pt jump shot from 24 ft (assist by D. Schröder),,3,95,76,19,1962.0
2:50.0,S. Hauser misses 3-pt jump shot from 26 ft,95-76, ,,3,95,76,19,1990.0
2:48.0,Offensive rebound by Team,95-76, ,,3,95,76,19,1992.0
2:48.0,P. Pritchard enters the game for J. Brown,95-76, ,,3,95,76,19,1992.0
2:48.0, ,95-76,L. Walker enters the game for C. Thomas,,3,95,76,19,1992.0
2:43.0,J. Holiday misses 3-pt jump shot from 23 ft,95-76, ,,3,95,76,19,1997.0
2:41.0,Offensive rebound by L. Kornet,95-76, ,,3,95,76,19,1999.0
2:40.0,J. Holiday makes 2-pt jump shot from 6 ft (assist by L. Kornet),97-76, ,,3,97,76,21,2000.0
2:24.0, ,97-76,D. Schröder misses 3-pt jump shot from 25 ft,,3,97,76,21,2016.0
2:21.0,Defensive rebound by S. Hauser,97-76, ,,3,97,76,21,2019.0
2:07.0,J. Tatum misses 2-pt jump shot from 15 ft,97-76, ,,3,97,76,21,2033.0
2:03.0, ,97-76,Defensive rebound by D. Sharpe,,3,97,76,21,2037.0
1:58.0, ,97-76,Shooting foul by P. Pritchard (drawn by L. Walker),,3,97,76,21,2042.0
1:58.0, ,97-77,L. Walker makes free throw 1 of 3,,3,97,77,20,2042.0
1:58.0, ,97-77,L. Walker misses free throw 2 of 3,,3,97,77,20,2042.0
1:58.0, ,97-77,Offensive rebound by Team,,3,97,77,20,2042.0
1:58.0, ,97-77,B. Simmons enters the game for D. Sharpe,,3,97,77,20,2042.0
1:58.0, ,97-78,L. Walker makes free throw 3 of 3,,3,97,78,19,2042.0
1:44.0,J. Tatum misses 3-pt jump shot from 26 ft,97-78, ,,3,97,78,19,2056.0
1:43.0, ,97-78,Defensive rebound by Team,,3,97,78,19,2057.0
1:33.0, ,97-78,Shooting foul by J. Holiday (drawn by D. Schröder),,3,97,78,19,2067.0
1:33.0, ,97-79,D. Schröder makes free throw 1 of 2,,3,97,79,18,2067.0
1:33.0,D. White enters the game for J. Holiday,97-79, ,,3,97,79,18,2067.0
1:33.0, ,97-79,D. Schröder misses free throw 2 of 2,,3,97,79,18,2067.0
1:31.0, ,97-79,Offensive rebound by Team,,3,97,79,18,2069.0
1:28.0, ,97-79,Turnover by B. Simmons (bad pass; steal by J. Tatum),,3,97,79,18,2072.0
