Time,Boston,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:19.0, ,76-64,Defensive rebound by K. Irving,,3,76,64,12,1661.0
8:14.0, ,76-64,K. Irving misses 3-pt jump shot from 25 ft,,3,76,64,12,1666.0
8:11.0,Defensive rebound by A. Horford,76-64, ,,3,76,64,12,1669.0
8:00.0,J. Tatum misses 3-pt jump shot from 25 ft,76-64, ,,3,76,64,12,1680.0
7:58.0, ,76-64,Defensive rebound by Team,,3,76,64,12,1682.0
7:43.0, ,76-64,D. Jones misses 3-pt jump shot from 27 ft,,3,76,64,12,1697.0
7:40.0,Defensive rebound by J. Tatum,76-64, ,,3,76,64,12,1700.0
7:31.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),79-64, ,,3,79,64,15,1709.0
7:30.0, ,79-64,Dallas full timeout,,3,79,64,15,1710.0
7:30.0, ,79-64,G. Williams enters the game for D. Jones,,3,79,64,15,1710.0
7:12.0, ,79-66,G. Williams makes 2-pt layup from 2 ft (assist by L. Dončić),,3,79,66,13,1728.0
6:51.0,J. Tatum misses 2-pt layup from 2 ft,79-66, ,,3,79,66,13,1749.0
6:48.0, ,79-66,Defensive rebound by T. Hardaway,,3,79,66,13,1752.0
6:45.0, ,79-66,Personal foul by D. White (drawn by M. Kleber),,3,79,66,13,1755.0
6:39.0, ,79-68,L. Dončić makes 2-pt jump shot from 8 ft,,3,79,68,11,1761.0
6:39.0, ,79-68,Shooting foul by J. Tatum (drawn by L. Dončić),,3,79,68,11,1761.0
6:39.0,P. Pritchard enters the game for D. White,79-68, ,,3,79,68,11,1761.0
6:39.0, ,79-68,L. Dončić misses free throw 1 of 1,,3,79,68,11,1761.0
6:36.0,Defensive rebound by J. Tatum,79-68, ,,3,79,68,11,1764.0
6:24.0,J. Brown makes 2-pt layup from 1 ft (assist by A. Horford),81-68, ,,3,81,68,13,1776.0
6:05.0, ,81-70,L. Dončić makes 2-pt layup from 2 ft,,3,81,70,11,1795.0
5:44.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Brown),84-70, ,,3,84,70,14,1816.0
5:28.0, ,84-70,Shooting foul by J. Brown (drawn by L. Dončić),,3,84,70,14,1832.0
5:28.0, ,84-71,L. Dončić makes free throw 1 of 2,,3,84,71,13,1832.0
5:28.0, ,84-71,J. Green enters the game for K. Irving,,3,84,71,13,1832.0
5:28.0, ,84-71,L. Dončić misses free throw 2 of 2,,3,84,71,13,1832.0
5:26.0,Defensive rebound by J. Tatum,84-71, ,,3,84,71,13,1834.0
5:13.0,P. Pritchard misses 3-pt jump shot from 28 ft,84-71, ,,3,84,71,13,1847.0
5:09.0, ,84-71,Defensive rebound by J. Green,,3,84,71,13,1851.0
