Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:34.0,M. Strus misses 3-pt jump shot from 28 ft,44-57, ,,2,57,44,13,1226.0
3:34.0,Offensive rebound by C. LeVert,44-57, ,,2,57,44,13,1226.0
3:29.0,D. Mitchell makes 3-pt jump shot from 29 ft (assist by C. LeVert),47-57, ,,2,57,47,10,1231.0
3:18.0, ,47-59,J. Brown makes 2-pt layup from 2 ft (assist by D. White),,2,59,47,12,1242.0
2:59.0,D. Mitchell misses 3-pt jump shot from 27 ft,47-59, ,,2,59,47,12,1261.0
2:57.0,Offensive rebound by D. Garland,47-59, ,,2,59,47,12,1263.0
2:51.0,Turnover by D. Garland (bad pass; steal by D. White),47-59, ,,2,59,47,12,1269.0
2:45.0, ,47-59,Shooting foul by C. LeVert (drawn by K. Porziņģis),,2,59,47,12,1275.0
2:45.0,Cleveland full timeout,47-59, ,,2,59,47,12,1275.0
2:45.0, ,47-59,P. Pritchard enters the game for J. Holiday,,2,59,47,12,1275.0
2:45.0, ,47-60,K. Porziņģis makes free throw 1 of 2,,2,60,47,13,1275.0
2:45.0, ,47-61,K. Porziņģis makes free throw 2 of 2,,2,61,47,14,1275.0
2:23.0,Turnover by D. Garland (bad pass),47-61, ,,2,61,47,14,1297.0
2:14.0, ,47-61,Turnover by J. Brown (lost ball; steal by C. LeVert),,2,61,47,14,1306.0
2:07.0,Shooting foul by K. Porziņģis (drawn by C. LeVert),47-61, ,,2,61,47,14,1313.0
2:07.0,C. LeVert makes free throw 1 of 2,48-61, ,,2,61,48,13,1313.0
2:07.0,C. LeVert misses free throw 2 of 2,48-61, ,,2,61,48,13,1313.0
2:06.0,Offensive rebound by Team,48-61, ,,2,61,48,13,1314.0
2:00.0,D. Mitchell makes 2-pt jump shot from 20 ft,50-61, ,,2,61,50,11,1320.0
1:43.0, ,50-63,J. Tatum makes 2-pt layup from 2 ft,,2,63,50,13,1337.0
1:30.0,Shooting foul by K. Porziņģis (drawn by C. LeVert),50-63, ,,2,63,50,13,1350.0
1:30.0,C. LeVert makes free throw 1 of 2,51-63, ,,2,63,51,12,1350.0
1:30.0, ,51-63,A. Horford enters the game for K. Porziņģis,,2,63,51,12,1350.0
1:30.0,C. LeVert makes free throw 2 of 2,52-63, ,,2,63,52,11,1350.0
1:20.0, ,52-63,J. Tatum misses 3-pt jump shot from 26 ft,,2,63,52,11,1360.0
1:16.0, ,52-63,Offensive rebound by J. Tatum,,2,63,52,11,1364.0
1:14.0, ,52-63,J. Tatum misses 3-pt jump shot from 25 ft,,2,63,52,11,1366.0
1:13.0,Defensive rebound by Team,52-63, ,,2,63,52,11,1367.0
0:54.0,D. Garland misses 3-pt jump shot from 24 ft,52-63, ,,2,63,52,11,1386.0
0:52.0, ,52-63,Defensive rebound by P. Pritchard,,2,63,52,11,1388.0
0:39.0, ,52-65,J. Brown makes 2-pt dunk from 1 ft (assist by J. Tatum),,2,65,52,13,1401.0
0:32.0,C. LeVert makes 2-pt layup from 4 ft,54-65, ,,2,65,54,11,1408.0
0:32.0, ,54-65,Violation by Team (def goaltending),,2,65,54,11,1408.0
0:27.0, ,54-65,J. Tatum misses 3-pt jump shot from 25 ft,,2,65,54,11,1413.0
0:25.0,Defensive rebound by J. Allen,54-65, ,,2,65,54,11,1415.0
0:02.0,C. LeVert misses 2-pt jump shot from 6 ft,54-65, ,,2,65,54,11,1438.0
0:01.0, ,54-65,Defensive rebound by A. Horford,,2,65,54,11,1439.0
0:00.0,End of 2nd quarter,54-65,,,2,65,54,11,1440.0
12:00.0,Start of 3rd quarter,54-65,,,3,65,54,11,1440.0
11:44.0,J. Allen misses 2-pt jump shot from 6 ft (block by J. Tatum),54-65, ,,3,65,54,11,1456.0
11:42.0, ,54-65,Defensive rebound by D. White,,3,65,54,11,1458.0
11:33.0, ,54-65,Turnover by J. Tatum (discontinued dribble),,3,65,54,11,1467.0
11:25.0,Cleveland full timeout,54-65, ,,3,65,54,11,1475.0
11:25.0,C. LeVert enters the game for D. Garland,54-65, ,,3,65,54,11,1475.0
11:16.0,D. Mitchell misses 2-pt layup from 5 ft (block by J. Tatum),54-65, ,,3,65,54,11,1484.0
11:15.0,Offensive rebound by D. Mitchell,54-65, ,,3,65,54,11,1485.0
11:13.0,D. Mitchell makes 2-pt layup from 3 ft,56-65, ,,3,65,56,9,1487.0
10:51.0, ,56-67,J. Holiday makes 2-pt layup from 4 ft,,3,67,56,11,1509.0
10:40.0,D. Mitchell misses 3-pt jump shot from 27 ft,56-67, ,,3,67,56,11,1520.0
10:37.0, ,56-67,Defensive rebound by J. Tatum,,3,67,56,11,1523.0
10:28.0, ,56-67,Turnover by J. Holiday (bad pass; steal by I. Okoro),,3,67,56,11,1532.0
10:21.0,C. LeVert makes 3-pt jump shot from 23 ft (assist by D. Mitchell),59-67, ,,3,67,59,8,1539.0
10:01.0, ,59-67,J. Brown misses 2-pt jump shot from 11 ft,,3,67,59,8,1559.0
9:58.0,Defensive rebound by D. Mitchell,59-67, ,,3,67,59,8,1562.0
9:50.0,D. Mitchell misses 2-pt layup from 3 ft,59-67, ,,3,67,59,8,1570.0
9:48.0, ,59-67,Defensive rebound by K. Porziņģis,,3,67,59,8,1572.0
9:42.0, ,59-70,J. Holiday makes 3-pt jump shot from 26 ft,,3,70,59,11,1578.0
9:22.0,I. Okoro makes 2-pt layup from 3 ft (assist by D. Mitchell),61-70, ,,3,70,61,9,1598.0
8:58.0, ,61-72,J. Brown makes 2-pt jump shot from 11 ft,,3,72,61,11,1622.0
8:48.0,Personal foul by J. Brown (drawn by I. Okoro),61-72, ,,3,72,61,11,1632.0
8:37.0,C. LeVert misses 2-pt layup from 3 ft (block by K. Porziņģis),61-72, ,,3,72,61,11,1643.0
8:35.0, ,61-72,Defensive rebound by D. White,,3,72,61,11,1645.0
8:21.0, ,61-72,K. Porziņģis misses 3-pt jump shot from 30 ft,,3,72,61,11,1659.0
8:20.0,Defensive rebound by I. Okoro,61-72, ,,3,72,61,11,1660.0
8:11.0,J. Allen makes 2-pt jump shot from 11 ft (assist by I. Okoro),63-72, ,,3,72,63,9,1669.0
7:49.0, ,63-74,D. White makes 2-pt layup from 2 ft (assist by J. Holiday),,3,74,63,11,1691.0
7:29.0,C. LeVert makes 3-pt jump shot from 25 ft (assist by M. Strus),66-74, ,,3,74,66,8,1711.0
7:12.0, ,66-76,J. Tatum makes 2-pt jump shot from 15 ft,,3,76,66,10,1728.0
6:58.0,Turnover by D. Mitchell (lost ball; steal by J. Brown),66-76, ,,3,76,66,10,1742.0
6:53.0, ,66-78,J. Tatum makes 2-pt dunk from 4 ft (assist by J. Brown),,3,78,66,12,1747.0
6:52.0,Cleveland full timeout,66-78, ,,3,78,66,12,1748.0
6:40.0,C. LeVert makes 2-pt jump shot from 13 ft (assist by I. Okoro),68-78, ,,3,78,68,10,1760.0
6:27.0, ,68-78,Personal foul by M. Strus (drawn by K. Porziņģis),,3,78,68,10,1773.0
6:24.0, ,68-78,Personal foul by I. Okoro (drawn by K. Porziņģis),,3,78,68,10,1776.0
6:17.0, ,68-80,K. Porziņģis makes 2-pt layup from 3 ft (assist by J. Holiday),,3,80,68,12,1783.0
6:04.0,C. LeVert makes 2-pt layup from 2 ft,70-80, ,,3,80,70,10,1796.0
5:47.0, ,70-80,Turnover by K. Porziņģis (lost ball; steal by C. LeVert),,3,80,70,10,1813.0
5:37.0,I. Okoro makes 3-pt jump shot from 24 ft (assist by C. LeVert),73-80, ,,3,80,73,7,1823.0
5:19.0, ,73-80,J. Brown misses 2-pt layup from 4 ft,,3,80,73,7,1841.0
5:19.0,Defensive rebound by I. Okoro,73-80, ,,3,80,73,7,1841.0
5:10.0,D. Mitchell makes 2-pt layup from 1 ft,75-80, ,,3,80,75,5,1850.0
5:10.0, ,75-80,Boston full timeout,,3,80,75,5,1850.0
5:10.0,D. Garland enters the game for M. Strus,75-80, ,,3,80,75,5,1850.0
5:10.0, ,75-80,S. Hauser enters the game for J. Holiday,,3,80,75,5,1850.0
5:10.0, ,75-80,A. Horford enters the game for J. Tatum,,3,80,75,5,1850.0
4:54.0, ,75-83,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Brown),,3,83,75,8,1866.0
4:35.0,D. Mitchell misses 2-pt layup from 3 ft (block by K. Porziņģis),75-83, ,,3,83,75,8,1885.0
4:34.0, ,75-83,Defensive rebound by K. Porziņģis,,3,83,75,8,1886.0
