Time,Boston,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:23.0,S. Hauser misses 3-pt jump shot from 24 ft,55-73, ,,3,55,73,-18,1897.0
4:19.0, ,55-73,Defensive rebound by P. Connaughton,,3,55,73,-18,1901.0
4:06.0, ,55-73,Milwaukee full timeout,,3,55,73,-18,1914.0
4:06.0, ,55-73,M. Beasley enters the game for B. Lopez,,3,55,73,-18,1914.0
4:06.0, ,55-73,B. Portis enters the game for K. Middleton,,3,55,73,-18,1914.0
3:59.0, ,55-73,Turnover by Team (shot clock),,3,55,73,-18,1921.0
3:46.0,D. White makes 3-pt jump shot from 24 ft (assist by J. Tatum),58-73, ,,3,58,73,-15,1934.0
3:37.0, ,58-73,Milwaukee full timeout,,3,58,73,-15,1943.0
3:37.0, ,58-73,A. Green enters the game for G. Antetokounmpo,,3,58,73,-15,1943.0
3:30.0, ,58-73,P. Connaughton misses 2-pt jump shot from 8 ft,,3,58,73,-15,1950.0
3:27.0, ,58-73,Offensive rebound by P. Connaughton,,3,58,73,-15,1953.0
3:22.0, ,58-73,M. Beasley misses 3-pt jump shot from 23 ft,,3,58,73,-15,1958.0
3:19.0,Defensive rebound by J. Holiday,58-73, ,,3,58,73,-15,1961.0
3:09.0,J. Brown makes 2-pt jump shot from 5 ft (assist by J. Holiday),60-73, ,,3,60,73,-13,1971.0
2:53.0, ,60-76,A. Green makes 3-pt jump shot from 29 ft (assist by D. Lillard),,3,60,76,-16,1987.0
2:29.0,D. White misses 3-pt jump shot from 28 ft,60-76, ,,3,60,76,-16,2011.0
2:25.0,Offensive rebound by J. Brown,60-76, ,,3,60,76,-16,2015.0
2:24.0,J. Tatum misses 3-pt jump shot from 28 ft,60-76, ,,3,60,76,-16,2016.0
2:22.0, ,60-76,Defensive rebound by B. Portis,,3,60,76,-16,2018.0
2:02.0, ,60-76,D. Lillard misses 2-pt jump shot from 18 ft,,3,60,76,-16,2038.0
1:59.0,Defensive rebound by J. Holiday,60-76, ,,3,60,76,-16,2041.0
1:52.0,J. Tatum makes 2-pt dunk from 1 ft,62-76, ,,3,62,76,-14,2048.0
1:31.0, ,62-78,B. Portis makes 2-pt hook shot from 5 ft,,3,62,78,-16,2069.0
1:21.0,Personal foul by B. Portis (drawn by J. Holiday),62-78, ,,3,62,78,-16,2079.0
1:21.0,P. Pritchard enters the game for D. White,62-78, ,,3,62,78,-16,2079.0
1:15.0,J. Tatum makes 3-pt jump shot from 30 ft (assist by J. Holiday),65-78, ,,3,65,78,-13,2085.0
0:53.0, ,65-78,M. Beasley misses 3-pt jump shot from 24 ft,,3,65,78,-13,2107.0
0:50.0, ,65-78,Offensive rebound by B. Portis,,3,65,78,-13,2110.0
0:43.0, ,65-78,Turnover by B. Portis (bad pass; steal by J. Brown),,3,65,78,-13,2117.0
0:40.0,J. Brown makes 2-pt layup from 2 ft,67-78, ,,3,67,78,-11,2120.0
0:29.0, ,67-78,B. Portis misses 2-pt hook shot from 11 ft,,3,67,78,-11,2131.0
0:27.0,Defensive rebound by J. Tatum,67-78, ,,3,67,78,-11,2133.0
0:08.0,J. Tatum misses 3-pt jump shot from 27 ft,67-78, ,,3,67,78,-11,2152.0
0:05.0, ,67-78,Defensive rebound by B. Portis,,3,67,78,-11,2155.0
