Time,Boston,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:40.0, ,84-70,Personal foul by J. Brown (drawn by S. Henderson),,3,84,70,14,2000.0
2:40.0,O. Brissett enters the game for A. Horford,84-70, ,,3,84,70,14,2000.0
2:40.0, ,84-70,D. Banton enters the game for D. Ayton,,3,84,70,14,2000.0
2:40.0, ,84-70,D. Reath enters the game for T. Camara,,3,84,70,14,2000.0
2:28.0, ,84-70,J. Grant misses 2-pt jump shot from 9 ft (block by D. White),,3,84,70,14,2012.0
2:25.0,Defensive rebound by D. White,84-70, ,,3,84,70,14,2015.0
2:20.0,D. White misses 2-pt jump shot from 8 ft,84-70, ,,3,84,70,14,2020.0
2:19.0,Offensive rebound by O. Brissett,84-70, ,,3,84,70,14,2021.0
2:19.0,Personal foul by S. Henderson (drawn by O. Brissett),84-70, ,,3,84,70,14,2021.0
2:11.0,J. Brown misses 2-pt jump shot from 7 ft (block by M. Thybulle),84-70, ,,3,84,70,14,2029.0
2:11.0, ,84-70,Defensive rebound by Team,,3,84,70,14,2029.0
2:11.0,Jump ball: M. Thybulle vs. J. Brown (S. Henderson gains possession),84-70,,,3,84,70,14,2029.0
2:05.0, ,84-72,S. Henderson makes 2-pt layup from 1 ft,,3,84,72,12,2035.0
1:45.0,D. White misses 2-pt jump shot from 11 ft,84-72, ,,3,84,72,12,2055.0
1:43.0, ,84-72,Defensive rebound by M. Thybulle,,3,84,72,12,2057.0
